epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.745,1.65591,3.20736,1.71481,0.51851,0.14406,0.13094,0.08165,1.71675,3.07411,1.93061,0.0669269,8.28901e-05,8.28901e-05
2,220.682,1.53401,2.40452,1.59022,0.57637,0.33081,0.3605,0.23889,1.45717,1.99091,1.65431,0.0336752,0.000164578,0.000164578
3,325.324,1.46712,2.13782,1.55341,0.62149,0.40521,0.44336,0.29659,1.41385,1.77759,1.5828,0.00042192,0.000244616,0.000244616
4,414.612,1.43085,2.00095,1.52917,0.65562,0.44243,0.48524,0.32893,1.34022,1.71872,1.54616,0.000242575,0.000242575,0.000242575
5,498.014,1.37976,1.90023,1.49683,0.65457,0.42627,0.47522,0.32362,1.3469,1.60829,1.51081,0.0002401,0.0002401,0.0002401
6,582.34,1.37099,1.81916,1.48152,0.69267,0.47323,0.53241,0.37142,1.3022,1.53458,1.52439,0.000237625,0.000237625,0.000237625
7,665.219,1.34308,1.74145,1.46325,0.73552,0.51503,0.57354,0.39955,1.27518,1.41778,1.47489,0.00023515,0.00023515,0.00023515
8,747.206,1.30592,1.6579,1.43444,0.74061,0.53725,0.59382,0.41969,1.26397,1.46351,1.48525,0.000232675,0.000232675,0.000232675
9,830.849,1.29352,1.63149,1.43419,0.78523,0.52151,0.59635,0.42652,1.24383,1.38475,1.47706,0.0002302,0.0002302,0.0002302
10,912.935,1.26709,1.58093,1.40759,0.75067,0.54878,0.59953,0.4324,1.22951,1.32458,1.42349,0.000227725,0.000227725,0.000227725
11,995.856,1.24787,1.55838,1.40718,0.75418,0.56201,0.61784,0.4474,1.20873,1.29216,1.42094,0.00022525,0.00022525,0.00022525
12,1078.95,1.24527,1.52489,1.4054,0.76248,0.59329,0.63657,0.4572,1.22218,1.30497,1.47002,0.000222775,0.000222775,0.000222775
13,1161.03,1.2138,1.47164,1.37527,0.79302,0.59569,0.6568,0.4812,1.18735,1.23456,1.41447,0.0002203,0.0002203,0.0002203
14,1244.13,1.21244,1.46843,1.37967,0.77716,0.59399,0.65906,0.48628,1.162,1.25156,1.40832,0.000217825,0.000217825,0.000217825
15,1327.43,1.20553,1.44922,1.37563,0.78484,0.58209,0.64111,0.47295,1.17507,1.25427,1.39978,0.00021535,0.00021535,0.00021535
16,1409.71,1.17748,1.3926,1.35126,0.81443,0.59726,0.66341,0.4949,1.14837,1.2024,1.39116,0.000212875,0.000212875,0.000212875
17,1491.6,1.17767,1.38396,1.35092,0.82126,0.58292,0.66343,0.49508,1.13726,1.22212,1.38102,0.0002104,0.0002104,0.0002104
18,1575.51,1.16255,1.35387,1.33652,0.81494,0.60719,0.676,0.49922,1.15539,1.20977,1.37851,0.000207925,0.000207925,0.000207925
19,1658.17,1.15129,1.32445,1.3301,0.8343,0.6107,0.67571,0.50372,1.1387,1.17223,1.38183,0.00020545,0.00020545,0.00020545
20,1739.27,1.14176,1.3264,1.32317,0.81664,0.62249,0.68017,0.50786,1.13168,1.16892,1.37987,0.000202975,0.000202975,0.000202975
21,1821.21,1.15189,1.32099,1.33711,0.80046,0.63287,0.68632,0.51677,1.1123,1.14468,1.36518,0.0002005,0.0002005,0.0002005
22,1903.96,1.12404,1.28354,1.31766,0.82919,0.63016,0.68833,0.51756,1.10835,1.14403,1.35723,0.000198025,0.000198025,0.000198025
23,1985.78,1.11853,1.27808,1.31962,0.83628,0.63204,0.69226,0.52916,1.08983,1.1349,1.35971,0.00019555,0.00019555,0.00019555
24,2067.16,1.10864,1.26555,1.30668,0.84919,0.63429,0.69686,0.53278,1.08876,1.117,1.36035,0.000193075,0.000193075,0.000193075
25,2149.24,1.11136,1.26916,1.31401,0.85377,0.63674,0.70513,0.53963,1.09268,1.10705,1.35228,0.0001906,0.0001906,0.0001906
26,2232.57,1.08949,1.22105,1.29238,0.8455,0.64446,0.69924,0.53766,1.08207,1.10869,1.33793,0.000188125,0.000188125,0.000188125
27,2314.12,1.08757,1.20751,1.2862,0.86339,0.63396,0.69438,0.52632,1.09099,1.12214,1.33849,0.00018565,0.00018565,0.00018565
28,2397.41,1.07049,1.20623,1.28325,0.84375,0.64012,0.70289,0.53946,1.07376,1.1103,1.34632,0.000183175,0.000183175,0.000183175
29,2480.11,1.06137,1.1843,1.28535,0.85127,0.63589,0.70444,0.54236,1.06763,1.08357,1.33093,0.0001807,0.0001807,0.0001807
30,2562.95,1.0558,1.18108,1.284,0.86101,0.6387,0.70187,0.53601,1.07419,1.07542,1.33495,0.000178225,0.000178225,0.000178225
31,2644.74,1.05348,1.16865,1.27245,0.88867,0.65431,0.71745,0.55,1.0688,1.09702,1.35452,0.00017575,0.00017575,0.00017575
32,2728.93,1.06493,1.17395,1.28112,0.8301,0.65768,0.71085,0.54625,1.04588,1.08172,1.3321,0.000173275,0.000173275,0.000173275
33,2812.69,1.04791,1.14878,1.26561,0.88324,0.65376,0.71637,0.5567,1.04797,1.04799,1.31939,0.0001708,0.0001708,0.0001708
34,2895.03,1.02892,1.12173,1.25396,0.87603,0.66317,0.72143,0.55936,1.04131,1.05128,1.32169,0.000168325,0.000168325,0.000168325
35,2979.79,1.01767,1.10338,1.25011,0.87764,0.65618,0.71679,0.5594,1.02721,1.04819,1.30342,0.00016585,0.00016585,0.00016585
36,3062.62,1.02003,1.11205,1.24835,0.86886,0.66152,0.71336,0.55834,1.03438,1.07084,1.32522,0.000163375,0.000163375,0.000163375
