epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.748,1.61993,3.14113,1.72781,0.46766,0.25228,0.24407,0.15874,1.55327,2.35121,1.70872,0.0669269,8.28901e-05,8.28901e-05
2,193.067,1.4724,2.20788,1.59509,0.52805,0.30981,0.32981,0.22326,1.43865,2.0593,1.58737,0.0336752,0.000164578,0.000164578
3,262.48,1.40303,1.94041,1.53662,0.53897,0.42141,0.4202,0.28055,1.38854,1.86179,1.5219,0.00042192,0.000244616,0.000244616
4,330.827,1.35079,1.79177,1.48992,0.57335,0.46043,0.48766,0.32758,1.35639,1.67155,1.54237,0.000242575,0.000242575,0.000242575
5,399.681,1.30388,1.65884,1.44452,0.68425,0.46369,0.51072,0.3553,1.30513,1.62699,1.46591,0.0002401,0.0002401,0.0002401
6,468.697,1.25397,1.54753,1.4108,0.7227,0.51051,0.55968,0.39475,1.27661,1.47247,1.43977,0.000237625,0.000237625,0.000237625
7,537.458,1.2356,1.50383,1.40118,0.71959,0.51511,0.57139,0.40578,1.26386,1.38965,1.36797,0.00023515,0.00023515,0.00023515
8,605.847,1.19263,1.40345,1.37153,0.74806,0.55626,0.60757,0.43946,1.2597,1.43028,1.44237,0.000232675,0.000232675,0.000232675
9,674.948,1.16656,1.34957,1.35847,0.74473,0.56311,0.61347,0.4423,1.21744,1.32462,1.38198,0.0002302,0.0002302,0.0002302
10,743.093,1.14727,1.30289,1.33578,0.78391,0.57095,0.62855,0.45363,1.20377,1.2965,1.36222,0.000227725,0.000227725,0.000227725
11,811.65,1.13324,1.2634,1.3317,0.74992,0.58316,0.63573,0.46297,1.19458,1.33379,1.38765,0.00022525,0.00022525,0.00022525
12,880.747,1.10082,1.20512,1.30317,0.82547,0.5654,0.64507,0.4758,1.16974,1.26356,1.36625,0.000222775,0.000222775,0.000222775
13,948.917,1.08301,1.18502,1.29973,0.80828,0.56553,0.64525,0.47629,1.16559,1.23583,1.37074,0.0002203,0.0002203,0.0002203
14,1017.15,1.06345,1.14018,1.28309,0.79618,0.60148,0.65869,0.49252,1.12869,1.20516,1.33595,0.000217825,0.000217825,0.000217825
15,1086.13,1.04132,1.09115,1.26617,0.78097,0.6058,0.65759,0.49031,1.13576,1.19082,1.33378,0.00021535,0.00021535,0.00021535
16,1154.94,1.02971,1.07947,1.25911,0.83678,0.60895,0.67283,0.50475,1.12743,1.15353,1.32702,0.000212875,0.000212875,0.000212875
17,1223.16,1.00618,1.03416,1.24524,0.83684,0.60608,0.67463,0.51317,1.10113,1.13999,1.31511,0.0002104,0.0002104,0.0002104
18,1291.36,0.99397,1.01465,1.23605,0.86592,0.60637,0.68163,0.51739,1.10348,1.1703,1.32423,0.000207925,0.000207925,0.000207925
19,1360.45,0.97561,0.99616,1.22249,0.86096,0.60007,0.6805,0.5197,1.08693,1.11789,1.31241,0.00020545,0.00020545,0.00020545
20,1428.61,0.96841,0.97502,1.22328,0.8503,0.61755,0.68129,0.52204,1.08029,1.1129,1.29301,0.000202975,0.000202975,0.000202975
21,1497.31,0.95461,0.94516,1.21184,0.85903,0.60974,0.68179,0.52385,1.07654,1.12238,1.30786,0.0002005,0.0002005,0.0002005
22,1566.4,0.94424,0.93045,1.20246,0.84477,0.62007,0.68608,0.52633,1.08418,1.09596,1.29343,0.000198025,0.000198025,0.000198025
23,1634.85,0.92314,0.9016,1.18888,0.84677,0.61751,0.6836,0.52527,1.09243,1.13732,1.32868,0.00019555,0.00019555,0.00019555
24,1702.98,0.9057,0.86848,1.17815,0.86762,0.62878,0.69091,0.53099,1.07026,1.08271,1.29811,0.000193075,0.000193075,0.000193075
25,1772.07,0.90531,0.86296,1.18191,0.8719,0.63094,0.69833,0.53816,1.07696,1.10378,1.31249,0.0001906,0.0001906,0.0001906
26,1840.64,0.88637,0.849,1.16842,0.86863,0.6319,0.69879,0.53891,1.05319,1.065,1.28735,0.000188125,0.000188125,0.000188125
27,1908.82,0.87766,0.82142,1.16285,0.90836,0.63124,0.71075,0.54967,1.04549,1.05081,1.27486,0.00018565,0.00018565,0.00018565
28,1977.23,0.87857,0.80832,1.15718,0.90124,0.62789,0.69996,0.54317,1.06541,1.0828,1.30711,0.000183175,0.000183175,0.000183175
29,2051.72,0.8601,0.79329,1.15202,0.89499,0.62318,0.69881,0.54471,1.05525,1.07546,1.29445,0.0001807,0.0001807,0.0001807
30,2120.5,0.84793,0.77896,1.14442,0.86626,0.63837,0.70408,0.54675,1.04878,1.07497,1.28974,0.000178225,0.000178225,0.000178225
31,2189.22,0.84321,0.76366,1.14195,0.88147,0.63745,0.69933,0.54368,1.04806,1.06577,1.28449,0.00017575,0.00017575,0.00017575
32,2257.62,0.82557,0.74298,1.13185,0.87346,0.64807,0.70856,0.5582,1.04304,1.10583,1.29515,0.000173275,0.000173275,0.000173275
33,2326.41,0.81098,0.71527,1.12119,0.88875,0.63868,0.70618,0.55546,1.02305,1.04928,1.27287,0.0001708,0.0001708,0.0001708
34,2395.43,0.80524,0.71646,1.11983,0.89003,0.6415,0.70777,0.55787,1.03186,1.07583,1.28531,0.000168325,0.000168325,0.000168325
35,2463.75,0.79014,0.69327,1.1038,0.88583,0.6456,0.70622,0.55878,1.02416,1.05005,1.2743,0.00016585,0.00016585,0.00016585
36,2532.15,0.78791,0.67763,1.10217,0.88741,0.64246,0.7026,0.55887,1.01305,1.05242,1.27139,0.000163375,0.000163375,0.000163375
37,2601.03,0.77453,0.67249,1.09598,0.87931,0.64989,0.707,0.55849,1.02945,1.06377,1.29325,0.0001609,0.0001609,0.0001609
38,2669.25,0.77138,0.65999,1.09163,0.90319,0.63487,0.70216,0.55279,1.03311,1.0626,1.29569,0.000158425,0.000158425,0.000158425
39,2737.4,0.76079,0.65104,1.08989,0.89366,0.63877,0.70834,0.56071,1.01605,1.06176,1.27978,0.00015595,0.00015595,0.00015595
40,2805.25,0.74642,0.64157,1.0809,0.88557,0.6565,0.71731,0.5717,1.01244,1.0561,1.28286,0.000153475,0.000153475,0.000153475
41,2874.76,0.74429,0.6181,1.07428,0.90289,0.64034,0.71039,0.56313,1.01601,1.05867,1.28275,0.000151,0.000151,0.000151
42,2942.87,0.72994,0.6113,1.06763,0.91116,0.64061,0.71315,0.5687,1.01103,1.03589,1.29018,0.000148525,0.000148525,0.000148525
43,3010.93,0.72483,0.60842,1.06574,0.88927,0.64722,0.70818,0.56495,1.00303,1.05323,1.27017,0.00014605,0.00014605,0.00014605
44,3079.77,0.72289,0.59162,1.0676,0.89255,0.65215,0.70973,0.5629,1.00215,1.03931,1.27985,0.000143575,0.000143575,0.000143575
45,3147.55,0.71065,0.58442,1.05816,0.89578,0.6426,0.70925,0.56833,0.99662,1.0604,1.27431,0.0001411,0.0001411,0.0001411
46,3215.71,0.70329,0.56845,1.05776,0.88156,0.65004,0.71225,0.56977,0.99857,1.06056,1.27171,0.000138625,0.000138625,0.000138625
47,3284.1,0.70027,0.56454,1.05033,0.89467,0.6278,0.70461,0.56393,0.99625,1.04911,1.27857,0.00013615,0.00013615,0.00013615
48,3352.22,0.68954,0.5462,1.03624,0.89292,0.63899,0.70859,0.56687,0.99237,1.06106,1.28442,0.000133675,0.000133675,0.000133675
49,3420.01,0.68655,0.5509,1.04218,0.90236,0.64075,0.70923,0.56888,0.98805,1.03996,1.27754,0.0001312,0.0001312,0.0001312
50,3488.01,0.67709,0.54221,1.03452,0.91463,0.63804,0.71141,0.5681,0.98861,1.04693,1.28144,0.000128725,0.000128725,0.000128725
51,3556.71,0.67099,0.52628,1.03021,0.87577,0.6518,0.71109,0.57012,0.99468,1.06343,1.29569,0.00012625,0.00012625,0.00012625
52,3624.4,0.65366,0.51078,1.02619,0.90923,0.63123,0.70764,0.5735,0.97925,1.04496,1.27539,0.000123775,0.000123775,0.000123775
53,3692.16,0.65266,0.50836,1.01934,0.89536,0.64339,0.71389,0.57676,0.9784,1.05008,1.27268,0.0001213,0.0001213,0.0001213
54,3759.85,0.64332,0.50033,1.01542,0.92011,0.63681,0.71381,0.57692,0.97599,1.07712,1.28055,0.000118825,0.000118825,0.000118825
