epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.1314,1.31415,4.28481,1.5361,0.42885,0.25298,0.19336,0.13648,1.00838,2.74051,1.36984,8.14815e-05,8.14815e-05,8.14815e-05
2,90.6808,1.08927,2.18755,1.30849,0.67251,0.46653,0.48744,0.34028,1.00662,1.41238,1.2872,0.000159376,0.000159376,0.000159376
3,120.705,1.06682,1.6276,1.27715,0.53087,0.49002,0.47177,0.31817,1.0035,1.46456,1.27145,0.00023177,0.00023177,0.00023177
4,151.135,1.05015,1.45298,1.27159,0.58667,0.59203,0.62026,0.42625,0.98862,1.30927,1.33495,0.00022525,0.00022525,0.00022525
5,181.901,1.04218,1.32343,1.26115,0.71496,0.61335,0.70258,0.48732,0.97464,1.23585,1.27644,0.000217,0.000217,0.000217
6,214.566,1.02554,1.23017,1.2605,0.62356,0.58455,0.67547,0.46217,0.99346,1.26209,1.25627,0.00020875,0.00020875,0.00020875
7,245.739,1.00192,1.12435,1.22821,0.73168,0.67465,0.74099,0.52851,0.92986,0.97415,1.23209,0.0002005,0.0002005,0.0002005
8,278.52,0.9666,1.06538,1.21911,0.58344,0.66881,0.6986,0.48087,0.99712,1.06296,1.3146,0.00019225,0.00019225,0.00019225
9,309.236,0.96769,1.00342,1.21865,0.65664,0.69398,0.7196,0.51262,0.95143,1.00102,1.26209,0.000184,0.000184,0.000184
10,340.371,0.95249,0.97897,1.20028,0.74994,0.67779,0.74801,0.54621,0.95048,0.96287,1.23737,0.00017575,0.00017575,0.00017575
11,372.277,0.93725,0.91633,1.19664,0.72734,0.72831,0.77115,0.56121,0.92105,0.93783,1.21043,0.0001675,0.0001675,0.0001675
12,403.454,0.90949,0.87372,1.17856,0.70781,0.78982,0.82561,0.59539,0.9,0.88614,1.2152,0.00015925,0.00015925,0.00015925
13,435.834,0.90693,0.85055,1.18064,0.70278,0.7863,0.79942,0.60552,0.87688,0.85318,1.20372,0.000151,0.000151,0.000151
14,467.052,0.90477,0.81541,1.17383,0.71777,0.73012,0.77736,0.59474,0.87983,0.81197,1.19356,0.00014275,0.00014275,0.00014275
15,499.793,0.86477,0.7763,1.15595,0.80187,0.77841,0.83362,0.62306,0.87999,0.81757,1.20681,0.0001345,0.0001345,0.0001345
16,531.622,0.85999,0.76922,1.14783,0.71141,0.80224,0.83015,0.63152,0.89553,0.79024,1.21257,0.00012625,0.00012625,0.00012625
17,562.56,0.83617,0.73936,1.14519,0.77519,0.73638,0.83285,0.62824,0.8725,0.81079,1.18602,0.000118,0.000118,0.000118
18,593.459,0.83574,0.73348,1.14033,0.79688,0.72622,0.80638,0.61164,0.87923,0.76412,1.20136,0.00010975,0.00010975,0.00010975
19,625.323,0.83019,0.71977,1.12953,0.84011,0.7205,0.85166,0.64976,0.86357,0.73466,1.19067,0.0001015,0.0001015,0.0001015
20,658.909,0.82199,0.70235,1.13041,0.79198,0.73498,0.8261,0.64216,0.84908,0.74833,1.15745,9.325e-05,9.325e-05,9.325e-05
21,692.618,0.74512,0.60704,1.09679,0.84245,0.74696,0.83213,0.62677,0.85438,0.71393,1.16819,8.5e-05,8.5e-05,8.5e-05
22,723.534,0.72221,0.59399,1.09035,0.82371,0.79962,0.85822,0.67064,0.8285,0.72043,1.1539,7.675e-05,7.675e-05,7.675e-05
23,754.287,0.70312,0.54738,1.06766,0.84995,0.7973,0.85899,0.66903,0.82175,0.7123,1.15014,6.85e-05,6.85e-05,6.85e-05
24,784.386,0.68391,0.51722,1.05868,0.82202,0.77835,0.85431,0.66819,0.82987,0.71523,1.15899,6.025e-05,6.025e-05,6.025e-05
25,814.013,0.67753,0.5011,1.0482,0.81952,0.79695,0.85114,0.66873,0.81934,0.70634,1.15783,5.2e-05,5.2e-05,5.2e-05
26,844.179,0.66393,0.48363,1.03604,0.83153,0.78804,0.8462,0.65362,0.81348,0.69772,1.14302,4.375e-05,4.375e-05,4.375e-05
27,874.516,0.64111,0.46909,1.02353,0.81097,0.81314,0.85032,0.65785,0.80766,0.67711,1.14819,3.55e-05,3.55e-05,3.55e-05
28,904.355,0.6285,0.45342,1.02374,0.7674,0.83558,0.85145,0.66904,0.81327,0.67962,1.15383,2.725e-05,2.725e-05,2.725e-05
29,934.37,0.6235,0.44759,1.0233,0.85112,0.81081,0.85978,0.68129,0.80301,0.68028,1.14863,1.9e-05,1.9e-05,1.9e-05
30,965.665,0.61815,0.45115,1.02051,0.86412,0.80101,0.85906,0.68204,0.80476,0.68036,1.14823,1.075e-05,1.075e-05,1.075e-05
