epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.167,1.24186,5.29125,1.55403,0.5541,0.2079,0.21667,0.15832,1.02566,3.36194,1.3503,8.14815e-05,8.14815e-05,8.14815e-05
2,71.7349,0.96796,2.2708,1.25205,0.54814,0.43199,0.44196,0.3121,1.01853,1.63772,1.24662,0.000163183,0.000163183,0.000163183
3,105.96,0.93496,1.60703,1.20389,0.54937,0.47436,0.49514,0.34445,1.05239,1.45486,1.27588,0.000243235,0.000243235,0.000243235
4,138.571,0.94571,1.4024,1.19693,0.55452,0.52676,0.55373,0.38928,1.05666,1.47889,1.27423,0.000242575,0.000242575,0.000242575
5,171.445,0.92992,1.20254,1.16955,0.61383,0.5496,0.61052,0.42523,1.00581,1.38695,1.22002,0.0002401,0.0002401,0.0002401
6,203.493,0.90515,1.03516,1.14909,0.57918,0.53125,0.61063,0.44705,0.99375,1.28811,1.23684,0.000237625,0.000237625,0.000237625
7,235.089,0.85744,0.96015,1.11031,0.5858,0.51957,0.59661,0.43473,0.98134,1.38186,1.2045,0.00023515,0.00023515,0.00023515
8,268.515,0.84061,0.88402,1.10323,0.69892,0.60458,0.71573,0.48901,0.99847,1.19172,1.20646,0.000232675,0.000232675,0.000232675
9,301.056,0.83132,0.84039,1.08465,0.64639,0.65413,0.74028,0.52722,0.9797,1.08412,1.22111,0.0002302,0.0002302,0.0002302
10,333.549,0.81687,0.78104,1.07828,0.69112,0.60631,0.71958,0.52673,0.97017,1.22688,1.20002,0.000227725,0.000227725,0.000227725
11,365.933,0.80787,0.76477,1.07666,0.73825,0.6579,0.72517,0.52065,1.00301,1.10536,1.23484,0.00022525,0.00022525,0.00022525
12,397.747,0.79814,0.71695,1.06693,0.68989,0.75883,0.76405,0.54265,1.0025,1.00764,1.23105,0.000222775,0.000222775,0.000222775
13,430.607,0.77484,0.66049,1.0456,0.71284,0.72804,0.76482,0.56285,0.95821,1.06551,1.1996,0.0002203,0.0002203,0.0002203
14,462.852,0.76108,0.66484,1.03359,0.7269,0.72365,0.76757,0.55744,0.96795,0.98028,1.22161,0.000217825,0.000217825,0.000217825
15,494.74,0.75179,0.63634,1.03482,0.76101,0.58237,0.70784,0.51614,0.91819,1.14468,1.17459,0.00021535,0.00021535,0.00021535
