epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.2148,1.71712,5.81736,2.13342,0.38305,0.23753,0.1713,0.07742,1.8748,6.25236,2.15602,8.14815e-05,8.14815e-05,8.14815e-05
2,87.4719,1.19126,2.51718,1.47508,0.5097,0.3748,0.39848,0.21267,1.67306,2.01975,1.67203,0.000159376,0.000159376,0.000159376
3,116.382,1.1395,1.80506,1.40252,0.50991,0.42091,0.41034,0.25146,1.34255,1.83183,1.4507,0.00023177,0.00023177,0.00023177
4,145.305,1.07044,1.61672,1.34795,0.51962,0.51355,0.50735,0.32605,1.18038,1.73082,1.36907,0.00022525,0.00022525,0.00022525
5,175.085,1.0611,1.40367,1.32796,0.48527,0.50708,0.49368,0.31973,1.16575,1.68525,1.32644,0.000217,0.000217,0.000217
6,204.054,1.02793,1.21167,1.29816,0.66152,0.53182,0.59885,0.39317,1.19847,1.41396,1.32521,0.00020875,0.00020875,0.00020875
7,232.914,1.00273,1.13658,1.26475,0.64784,0.5234,0.63695,0.39535,1.22342,1.33254,1.33518,0.0002005,0.0002005,0.0002005
8,261.968,0.98289,1.03468,1.24983,0.6647,0.5872,0.63801,0.42124,1.12391,1.1892,1.28043,0.00019225,0.00019225,0.00019225
9,291.704,0.96857,0.93708,1.24464,0.67144,0.68603,0.72497,0.47728,1.20017,1.06966,1.32874,0.000184,0.000184,0.000184
10,321.492,0.9514,0.89263,1.23061,0.72031,0.68265,0.73395,0.43228,1.42162,1.05322,1.44969,0.00017575,0.00017575,0.00017575
11,350.464,0.93228,0.83878,1.2182,0.72858,0.72367,0.7706,0.53372,1.04606,0.95748,1.23109,0.0001675,0.0001675,0.0001675
12,379.466,0.90429,0.78923,1.19468,0.70016,0.75129,0.74042,0.50904,1.06887,0.96461,1.23136,0.00015925,0.00015925,0.00015925
13,408.487,0.88085,0.76422,1.18172,0.82252,0.70938,0.78558,0.55063,1.0239,0.89874,1.20681,0.000151,0.000151,0.000151
14,437.867,0.87798,0.70508,1.17381,0.68528,0.76483,0.73134,0.51778,1.06753,0.91878,1.24923,0.00014275,0.00014275,0.00014275
15,467.393,0.84969,0.68789,1.15186,0.67891,0.78475,0.77535,0.55377,0.99379,0.84538,1.21435,0.0001345,0.0001345,0.0001345
16,497.239,0.83901,0.64983,1.14467,0.71852,0.76238,0.76713,0.55425,0.98671,0.83161,1.22819,0.00012625,0.00012625,0.00012625
17,526.193,0.82157,0.62377,1.13571,0.69235,0.77979,0.75155,0.53086,1.06231,0.88667,1.26267,0.000118,0.000118,0.000118
18,554.889,0.80301,0.59465,1.12363,0.76328,0.74058,0.80554,0.58792,1.01727,0.84263,1.21213,0.00010975,0.00010975,0.00010975
19,584.292,0.78796,0.56932,1.111,0.7579,0.76097,0.77931,0.56219,1.03955,0.86449,1.23105,0.0001015,0.0001015,0.0001015
20,613.806,0.77506,0.55882,1.10519,0.70571,0.8012,0.80706,0.57964,0.97681,0.86386,1.20135,9.325e-05,9.325e-05,9.325e-05
21,646.603,0.7754,0.54165,1.09379,0.77068,0.74076,0.79296,0.57181,1.0068,0.83773,1.21351,8.5e-05,8.5e-05,8.5e-05
22,676.552,0.76229,0.52101,1.09691,0.81144,0.73741,0.7794,0.57571,0.95939,0.81896,1.18843,7.675e-05,7.675e-05,7.675e-05
23,706.091,0.7392,0.4989,1.07693,0.84222,0.73792,0.8007,0.58931,0.93109,0.77412,1.19254,6.85e-05,6.85e-05,6.85e-05
24,736.168,0.71222,0.47859,1.05784,0.79481,0.75214,0.80741,0.58053,0.95107,0.81398,1.18897,6.025e-05,6.025e-05,6.025e-05
25,765.392,0.70445,0.4683,1.04692,0.85071,0.7227,0.81941,0.59914,0.96151,0.79818,1.18205,5.2e-05,5.2e-05,5.2e-05
26,794.712,0.69734,0.46521,1.0434,0.80021,0.77554,0.80481,0.5854,0.92261,0.80019,1.17096,4.375e-05,4.375e-05,4.375e-05
27,824.419,0.68011,0.44474,1.03822,0.83768,0.75877,0.81807,0.61426,0.91333,0.76905,1.16813,3.55e-05,3.55e-05,3.55e-05
28,854.911,0.67497,0.42694,1.02773,0.73711,0.79174,0.82515,0.61073,0.92327,0.79384,1.15934,2.725e-05,2.725e-05,2.725e-05
29,884.249,0.66737,0.42076,1.02682,0.76252,0.77368,0.82094,0.60572,0.91077,0.78441,1.15686,1.9e-05,1.9e-05,1.9e-05
30,913.82,0.64804,0.42176,1.01975,0.76578,0.78963,0.82149,0.60896,0.9079,0.7841,1.16014,1.075e-05,1.075e-05,1.075e-05
