epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.6829,1.72662,4.58912,1.82463,0.42463,0.18189,0.17162,0.09,1.55722,3.35616,1.74932,8.14815e-05,8.14815e-05,8.14815e-05
2,82.2691,1.37774,2.67499,1.5126,0.503,0.37951,0.35431,0.20768,1.38763,1.94001,1.50165,0.000159376,0.000159376,0.000159376
3,117.905,1.35655,2.08553,1.44727,0.45581,0.48313,0.42647,0.26161,1.33253,1.80061,1.50064,0.00023177,0.00023177,0.00023177
4,153.443,1.35122,1.91792,1.43792,0.5723,0.4359,0.44841,0.25821,1.45661,1.66528,1.60096,0.00022525,0.00022525,0.00022525
5,189.392,1.33005,1.729,1.41459,0.47387,0.50949,0.50056,0.30509,1.3086,1.51882,1.50091,0.000217,0.000217,0.000217
6,227.467,1.32855,1.66614,1.42194,0.66374,0.52691,0.58972,0.33003,1.47342,1.44196,1.58669,0.00020875,0.00020875,0.00020875
7,263.419,1.31279,1.56916,1.40668,0.54972,0.53318,0.60315,0.38391,1.27012,1.45184,1.44655,0.0002005,0.0002005,0.0002005
8,298.484,1.28237,1.52826,1.39194,0.54586,0.53889,0.59203,0.3922,1.14011,1.4183,1.3611,0.00019225,0.00019225,0.00019225
9,333.894,1.25817,1.4033,1.37437,0.57115,0.68687,0.66805,0.42876,1.2738,1.17437,1.39756,0.000184,0.000184,0.000184
10,370.279,1.24916,1.37955,1.35896,0.63661,0.74699,0.77217,0.53241,1.1011,1.04967,1.2852,0.00017575,0.00017575,0.00017575
11,405.189,1.24012,1.32958,1.35148,0.65485,0.71361,0.75285,0.4956,1.25608,1.06433,1.36244,0.0001675,0.0001675,0.0001675
12,440.186,1.2256,1.29834,1.33698,0.70309,0.66384,0.73193,0.49699,1.14558,1.05956,1.32353,0.00015925,0.00015925,0.00015925
13,477.427,1.21168,1.28319,1.33386,0.74905,0.68416,0.74428,0.49595,1.1959,1.03714,1.34395,0.000151,0.000151,0.000151
14,512.176,1.21203,1.24432,1.33328,0.73268,0.62876,0.74091,0.52014,1.0929,0.95684,1.28396,0.00014275,0.00014275,0.00014275
15,547.675,1.19134,1.18684,1.30695,0.78199,0.70064,0.76136,0.48703,1.29783,0.95948,1.39603,0.0001345,0.0001345,0.0001345
16,582.544,1.17722,1.15162,1.29661,0.74652,0.73328,0.78774,0.55488,1.06167,0.94893,1.27208,0.00012625,0.00012625,0.00012625
17,616.5,1.16388,1.15026,1.29074,0.77688,0.6668,0.78925,0.52597,1.17567,0.90115,1.31041,0.000118,0.000118,0.000118
18,650.828,1.16551,1.1428,1.31112,0.74185,0.71501,0.8203,0.56472,1.14063,0.84975,1.29457,0.00010975,0.00010975,0.00010975
19,687.195,1.15834,1.11472,1.28766,0.71028,0.78017,0.81278,0.55162,1.10563,0.86217,1.28383,0.0001015,0.0001015,0.0001015
20,722.241,1.17023,1.13761,1.29706,0.74654,0.75253,0.80731,0.56692,1.08922,0.86684,1.26905,9.325e-05,9.325e-05,9.325e-05
21,757.876,0.99956,0.92148,1.27461,0.67423,0.83945,0.8443,0.59562,1.11585,0.82091,1.27608,8.5e-05,8.5e-05,8.5e-05
22,788.719,0.973,0.83489,1.26459,0.73346,0.80342,0.84662,0.61687,1.04326,0.83697,1.23337,7.675e-05,7.675e-05,7.675e-05
23,818.695,0.95754,0.77394,1.24502,0.7746,0.75393,0.82148,0.59761,1.04343,0.78527,1.2434,6.85e-05,6.85e-05,6.85e-05
24,848.457,0.94036,0.74601,1.23381,0.85461,0.77702,0.84625,0.6144,1.01757,0.77396,1.20575,6.025e-05,6.025e-05,6.025e-05
25,879.153,0.93823,0.71907,1.21909,0.7746,0.81928,0.84194,0.5882,1.10766,0.76289,1.25526,5.2e-05,5.2e-05,5.2e-05
26,909.582,0.92802,0.70309,1.20841,0.81248,0.77639,0.87141,0.63529,0.97799,0.73931,1.183,4.375e-05,4.375e-05,4.375e-05
27,939.45,0.90338,0.67926,1.18951,0.79973,0.77214,0.84004,0.62578,0.94629,0.72848,1.17197,3.55e-05,3.55e-05,3.55e-05
28,970.322,0.8957,0.6484,1.1917,0.81692,0.77269,0.84922,0.62108,0.96647,0.71344,1.19119,2.725e-05,2.725e-05,2.725e-05
29,1000.09,0.89122,0.63628,1.18627,0.753,0.80043,0.84224,0.62723,0.96408,0.7264,1.19198,1.9e-05,1.9e-05,1.9e-05
30,1029.96,0.86949,0.63585,1.18389,0.82918,0.75701,0.84477,0.62808,0.95923,0.71158,1.18512,1.075e-05,1.075e-05,1.075e-05
