epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.4089,1.24268,3.39012,1.53413,0.53733,0.20988,0.19559,0.12767,1.16184,2.40623,1.55371,0.0671194,8.24074e-05,8.24074e-05
2,76.9987,1.149,2.1534,1.39905,0.40866,0.37764,0.35822,0.21618,1.13736,2.0366,1.49119,0.0338678,0.0001641,0.0001641
3,108.177,1.12568,1.83838,1.36656,0.46584,0.47658,0.42711,0.27763,1.03964,1.79049,1.40852,0.000614513,0.000244142,0.000244142
4,138.623,1.09177,1.6688,1.35518,0.59012,0.54863,0.54754,0.39058,1.03915,1.52487,1.38896,0.000242575,0.000242575,0.000242575
5,168.788,1.07379,1.52633,1.32852,0.59187,0.49247,0.54986,0.37992,1.03272,1.53098,1.3704,0.0002401,0.0002401,0.0002401
6,199.562,1.05839,1.41685,1.34082,0.71678,0.53665,0.60134,0.4013,1.01174,1.52881,1.3892,0.000237625,0.000237625,0.000237625
7,230.404,1.02914,1.32698,1.31444,0.6848,0.60747,0.692,0.49296,0.98072,1.24507,1.33578,0.00023515,0.00023515,0.00023515
8,260.902,1.02558,1.28671,1.29206,0.56997,0.61908,0.60836,0.40799,1.01607,1.30897,1.36163,0.000232675,0.000232675,0.000232675
9,291.525,1.02311,1.27171,1.29362,0.65778,0.59761,0.6685,0.4718,0.96682,1.10995,1.28654,0.0002302,0.0002302,0.0002302
10,321.279,1.03212,1.2046,1.30384,0.70341,0.61087,0.7202,0.51739,0.96601,1.11703,1.30241,0.000227725,0.000227725,0.000227725
11,351.369,1.00299,1.19655,1.27219,0.6513,0.71726,0.74626,0.55056,0.97482,1.09808,1.30806,0.00022525,0.00022525,0.00022525
12,381.608,0.96973,1.09305,1.2506,0.69073,0.61365,0.69803,0.49561,0.97331,1.10729,1.33396,0.000222775,0.000222775,0.000222775
13,411.259,0.96303,1.07905,1.25454,0.70329,0.58317,0.68472,0.48285,0.96128,1.09054,1.3234,0.0002203,0.0002203,0.0002203
14,441.62,0.95841,1.08063,1.24804,0.6987,0.6997,0.75148,0.55489,0.95123,1.00106,1.29554,0.000217825,0.000217825,0.000217825
15,471.954,0.95139,1.03776,1.24447,0.65386,0.71498,0.73009,0.53126,0.93196,0.99481,1.28599,0.00021535,0.00021535,0.00021535
16,502.077,0.9266,1.01207,1.23146,0.73427,0.64509,0.77523,0.56499,0.92867,0.93315,1.29186,0.000212875,0.000212875,0.000212875
17,533.011,0.91957,0.95825,1.21998,0.70032,0.72002,0.7573,0.57361,0.91301,0.94086,1.25565,0.0002104,0.0002104,0.0002104
18,563.053,0.91909,0.94698,1.21929,0.6916,0.73641,0.75488,0.55807,0.93498,0.95655,1.29041,0.000207925,0.000207925,0.000207925
19,593.144,0.90785,0.92277,1.22138,0.75313,0.68459,0.77411,0.5685,0.93662,0.90975,1.27859,0.00020545,0.00020545,0.00020545
20,624.108,0.90025,0.94569,1.213,0.74642,0.70356,0.78515,0.57788,0.89688,0.92926,1.25233,0.000202975,0.000202975,0.000202975
21,654.382,0.90373,0.90226,1.20848,0.70629,0.70025,0.75332,0.54152,0.95563,0.9264,1.29526,0.0002005,0.0002005,0.0002005
22,684.379,0.87342,0.85682,1.19081,0.69325,0.69672,0.74234,0.53735,0.92719,0.92636,1.27827,0.000198025,0.000198025,0.000198025
23,715.234,0.89923,0.91857,1.22065,0.76977,0.76288,0.80463,0.60043,0.9034,0.89314,1.25963,0.00019555,0.00019555,0.00019555
24,745.342,0.88326,0.85532,1.19588,0.65729,0.82129,0.79182,0.59015,0.91473,0.90599,1.26382,0.000193075,0.000193075,0.000193075
25,775.399,0.88612,0.85676,1.19602,0.7585,0.69359,0.80291,0.57937,0.93129,0.89701,1.27436,0.0001906,0.0001906,0.0001906
26,806.297,0.87065,0.81776,1.18748,0.66644,0.75238,0.78045,0.56693,0.91759,0.86348,1.26077,0.000188125,0.000188125,0.000188125
