epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0661,1.25596,3.21454,1.47757,0.72716,0.12725,0.15921,0.1028,1.30953,2.90129,1.64668,0.0671194,8.24074e-05,8.24074e-05
2,92.8563,1.14923,2.01901,1.35461,0.4415,0.44013,0.32465,0.20494,1.11096,2.10547,1.43052,0.0338678,0.0001641,0.0001641
3,135.666,1.13002,1.79207,1.33709,0.37727,0.43142,0.36905,0.25083,1.04834,1.74988,1.39581,0.000614513,0.000244142,0.000244142
4,172.142,1.12316,1.61174,1.34195,0.41099,0.60119,0.50719,0.32475,1.0318,1.47785,1.36645,0.000242575,0.000242575,0.000242575
5,205.405,1.08351,1.45514,1.30138,0.54759,0.48646,0.53575,0.35604,1.08752,1.40554,1.37667,0.0002401,0.0002401,0.0002401
6,237.043,1.07555,1.38038,1.29854,0.66957,0.49408,0.55391,0.37617,1.03363,1.37072,1.33273,0.000237625,0.000237625,0.000237625
7,269.413,1.05312,1.3077,1.27456,0.64096,0.56589,0.64581,0.45218,1.01666,1.19992,1.31556,0.00023515,0.00023515,0.00023515
8,301.282,1.04891,1.29852,1.27713,0.60701,0.58591,0.60868,0.41743,1.01151,1.33794,1.30875,0.000232675,0.000232675,0.000232675
9,333.488,1.02997,1.26138,1.26516,0.50399,0.65819,0.606,0.43246,0.9931,1.15513,1.31605,0.0002302,0.0002302,0.0002302
10,364.757,1.03214,1.15718,1.27121,0.69678,0.61057,0.69047,0.4743,1.01358,1.0977,1.29118,0.000227725,0.000227725,0.000227725
11,396.426,1.02528,1.13479,1.25556,0.60982,0.65752,0.69618,0.49361,0.97434,1.06294,1.27469,0.00022525,0.00022525,0.00022525
12,427.901,0.98614,1.08621,1.23103,0.68616,0.67178,0.69311,0.49549,0.9828,1.04746,1.29391,0.000222775,0.000222775,0.000222775
13,459.372,0.98631,1.08816,1.23511,0.51845,0.76104,0.71865,0.51524,0.94742,1.0451,1.26321,0.0002203,0.0002203,0.0002203
14,491.328,0.97911,1.1116,1.22975,0.74757,0.67251,0.74647,0.53108,0.95287,0.98487,1.2593,0.000217825,0.000217825,0.000217825
15,522.806,0.95795,1.0011,1.22259,0.68302,0.69311,0.71602,0.53398,0.92208,0.96518,1.23986,0.00021535,0.00021535,0.00021535
16,554.776,0.95308,1.00806,1.2158,0.62608,0.78584,0.78189,0.55127,0.92017,0.93371,1.23754,0.000212875,0.000212875,0.000212875
17,586.114,0.93826,0.94696,1.20352,0.71638,0.7584,0.79421,0.57352,0.92202,0.8659,1.24622,0.0002104,0.0002104,0.0002104
18,618.081,0.93344,0.92458,1.20185,0.79834,0.67075,0.78676,0.56305,0.9388,0.88344,1.25424,0.000207925,0.000207925,0.000207925
19,649.081,0.93035,0.93762,1.20532,0.70555,0.75044,0.7795,0.55065,0.94589,0.92,1.24834,0.00020545,0.00020545,0.00020545
20,680.872,0.92757,0.95208,1.20568,0.65207,0.76318,0.7728,0.55707,0.92499,0.90897,1.25158,0.000202975,0.000202975,0.000202975
21,711.71,0.92379,0.90511,1.20117,0.69588,0.74355,0.77714,0.5725,0.94385,0.87027,1.28416,0.0002005,0.0002005,0.0002005
