epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2687,1.22784,3.53579,1.48776,0.54748,0.18451,0.18609,0.12925,1.08278,2.46454,1.35066,0.0671194,8.24074e-05,8.24074e-05
2,63.4688,1.10106,2.13651,1.31718,0.69887,0.26874,0.33251,0.22546,1.04487,1.68698,1.26482,0.0338678,0.0001641,0.0001641
3,93.7563,1.07226,1.77763,1.31865,0.40724,0.45074,0.38681,0.25964,1.12239,1.80563,1.32381,0.000614513,0.000244142,0.000244142
4,124.425,1.04972,1.6026,1.28012,0.6094,0.52953,0.49831,0.33225,1.00031,1.4171,1.22549,0.000242575,0.000242575,0.000242575
5,154.438,0.99672,1.34851,1.22628,0.5144,0.52567,0.51552,0.34579,0.9971,1.37692,1.21894,0.0002401,0.0002401,0.0002401
6,184.504,1.00989,1.3291,1.22879,0.54551,0.60808,0.57816,0.38968,1.00949,1.24542,1.24443,0.000237625,0.000237625,0.000237625
7,215.191,0.98794,1.24502,1.21791,0.51396,0.63405,0.62101,0.41493,1.00999,1.20387,1.23114,0.00023515,0.00023515,0.00023515
8,245.355,0.98185,1.19873,1.21836,0.68877,0.58877,0.66068,0.46173,0.98394,1.19433,1.22585,0.000232675,0.000232675,0.000232675
9,276.035,0.96218,1.17357,1.21529,0.6216,0.64965,0.617,0.42699,0.98936,1.20253,1.21752,0.0002302,0.0002302,0.0002302
10,306.064,0.96797,1.09624,1.22014,0.65096,0.66345,0.71056,0.49976,0.9708,1.04456,1.19047,0.000227725,0.000227725,0.000227725
11,336.146,0.9232,1.0547,1.18353,0.74715,0.64763,0.70013,0.4984,0.98428,0.97688,1.21227,0.00022525,0.00022525,0.00022525
12,366.553,0.93268,1.00567,1.17468,0.7574,0.59263,0.6869,0.48342,0.94459,1.03924,1.18682,0.000222775,0.000222775,0.000222775
13,396.41,0.94743,1.00899,1.20109,0.64983,0.6755,0.71503,0.50627,0.95901,0.95441,1.18403,0.0002203,0.0002203,0.0002203
14,427.092,0.91608,0.95205,1.16805,0.72176,0.6699,0.75244,0.5396,0.9471,0.97658,1.17386,0.000217825,0.000217825,0.000217825
15,457.061,0.90618,0.88385,1.16255,0.76536,0.64769,0.70143,0.50784,0.96705,0.92405,1.19618,0.00021535,0.00021535,0.00021535
16,486.874,0.88402,0.88048,1.14349,0.70648,0.64165,0.71551,0.50158,0.93533,1.01286,1.15814,0.000212875,0.000212875,0.000212875
17,517.57,0.87477,0.8504,1.14725,0.56743,0.73269,0.71728,0.52194,0.92969,0.93417,1.17314,0.0002104,0.0002104,0.0002104
18,547.393,0.85295,0.78917,1.1227,0.56633,0.76244,0.71319,0.50633,0.92853,0.96247,1.16922,0.000207925,0.000207925,0.000207925
19,577.832,0.84724,0.81466,1.1298,0.69445,0.6485,0.68624,0.50388,0.91978,0.97574,1.17179,0.00020545,0.00020545,0.00020545
20,607.772,0.85682,0.82934,1.13766,0.67641,0.67131,0.72368,0.53187,0.91936,1.04458,1.17984,0.000202975,0.000202975,0.000202975
21,637.822,0.85349,0.78628,1.11177,0.67498,0.71189,0.75127,0.5423,0.90924,0.85638,1.15599,0.0002005,0.0002005,0.0002005
22,668.777,0.82056,0.74282,1.10922,0.76006,0.69283,0.74973,0.55391,0.88226,0.91258,1.14926,0.000198025,0.000198025,0.000198025
23,698.937,0.81888,0.68881,1.0975,0.71507,0.67072,0.76429,0.56393,0.90159,0.82574,1.15326,0.00019555,0.00019555,0.00019555
24,729.6,0.8403,0.73772,1.12939,0.68089,0.75455,0.76912,0.55998,0.90626,0.79703,1.15844,0.000193075,0.000193075,0.000193075
25,759.707,0.81813,0.75644,1.08841,0.66193,0.75514,0.74493,0.55714,0.90154,0.91703,1.14764,0.0001906,0.0001906,0.0001906
26,789.965,0.79401,0.71636,1.08767,0.77804,0.73281,0.79843,0.59511,0.8865,0.83294,1.12984,0.000188125,0.000188125,0.000188125
27,821.223,0.79118,0.71962,1.07859,0.69239,0.69815,0.77486,0.57103,0.89528,0.85864,1.12969,0.00018565,0.00018565,0.00018565
28,851.669,0.77987,0.66024,1.07263,0.80626,0.7426,0.80364,0.60554,0.89547,0.74974,1.15492,0.000183175,0.000183175,0.000183175
29,883.049,0.78149,0.66452,1.06542,0.74407,0.69906,0.77928,0.59012,0.87607,0.81675,1.13658,0.0001807,0.0001807,0.0001807
30,913.582,0.78573,0.67125,1.08575,0.62866,0.74896,0.74549,0.54436,0.89653,0.82057,1.147,0.000178225,0.000178225,0.000178225
31,945.213,0.74434,0.61073,1.04294,0.66447,0.79545,0.80342,0.58274,0.89725,0.84178,1.15037,0.00017575,0.00017575,0.00017575
32,975.681,0.77639,0.66535,1.07433,0.67337,0.75233,0.76665,0.57523,0.89283,0.81717,1.15365,0.000173275,0.000173275,0.000173275
33,1006.55,0.75569,0.61781,1.05393,0.81006,0.6566,0.76748,0.55427,0.87111,0.78883,1.13081,0.0001708,0.0001708,0.0001708
34,1037.33,0.73127,0.58602,1.04326,0.71457,0.76533,0.77433,0.58209,0.8885,0.78504,1.15259,0.000168325,0.000168325,0.000168325
35,1068.18,0.7402,0.6154,1.0518,0.81088,0.71836,0.78875,0.58718,0.89543,0.79378,1.14635,0.00016585,0.00016585,0.00016585
36,1099.39,0.72358,0.59191,1.03651,0.71792,0.73832,0.8234,0.61223,0.86622,0.74321,1.13609,0.000163375,0.000163375,0.000163375
37,1130.09,0.71255,0.54646,1.02822,0.72727,0.80729,0.79842,0.61638,0.86606,0.77478,1.12449,0.0001609,0.0001609,0.0001609
38,1161.31,0.7294,0.55763,1.04556,0.78929,0.7702,0.80121,0.6064,0.8697,0.73615,1.12752,0.000158425,0.000158425,0.000158425
39,1191.79,0.72256,0.57692,1.02181,0.73131,0.76316,0.80197,0.6031,0.87245,0.76167,1.12489,0.00015595,0.00015595,0.00015595
40,1222.95,0.72015,0.56799,1.03704,0.78427,0.75548,0.79796,0.61073,0.87544,0.76446,1.14585,0.000153475,0.000153475,0.000153475
41,1253.77,0.69527,0.54149,1.02573,0.79565,0.70867,0.80238,0.60489,0.87032,0.76359,1.12855,0.000151,0.000151,0.000151
42,1284.17,0.68582,0.51638,1.02234,0.68734,0.75784,0.79011,0.60041,0.87007,0.74351,1.14637,0.000148525,0.000148525,0.000148525
43,1315.31,0.69866,0.56073,1.02886,0.72545,0.76728,0.78631,0.58976,0.86792,0.73198,1.1368,0.00014605,0.00014605,0.00014605
44,1345.89,0.67813,0.48426,0.99849,0.77663,0.77128,0.81988,0.61788,0.88315,0.76307,1.1623,0.000143575,0.000143575,0.000143575
