epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.125,1.31834,3.171,1.51808,0.41524,0.22352,0.17564,0.11444,1.26185,2.77521,1.69848,0.0673667,0.00032963,0.00032963
2,68.2709,1.27896,2.23552,1.46486,0.49074,0.2577,0.2024,0.1142,1.31576,2.59614,1.72297,0.0343601,0.0006564,0.0006564
3,100.39,1.3021,2.16998,1.47642,0.66446,0.16491,0.18131,0.11049,1.33214,3.24898,1.66124,0.00134694,0.00097657,0.00097657
4,132.656,1.28857,2.06479,1.46072,0.3446,0.30008,0.17545,0.10012,1.4217,3.98982,1.66903,0.0009703,0.0009703,0.0009703
5,164.061,1.25749,1.96983,1.44094,0.49803,0.33567,0.32851,0.20352,1.26569,2.63485,1.58311,0.0009604,0.0009604,0.0009604
6,196.51,1.23614,1.82817,1.43055,0.52347,0.34505,0.30551,0.18158,1.24818,2.47336,1.55935,0.0009505,0.0009505,0.0009505
7,228.248,1.22745,1.78007,1.41443,0.50384,0.35933,0.33898,0.21317,1.19588,1.92137,1.50166,0.0009406,0.0009406,0.0009406
8,261.383,1.1952,1.75718,1.39485,0.49023,0.3486,0.2622,0.1644,1.25516,2.53371,1.50342,0.0009307,0.0009307,0.0009307
9,293.534,1.17954,1.72906,1.36447,0.44886,0.45591,0.44946,0.2748,1.18847,1.92898,1.4786,0.0009208,0.0009208,0.0009208
10,326.107,1.19232,1.63683,1.39173,0.42643,0.38883,0.29143,0.18815,1.19739,2.42198,1.46063,0.0009109,0.0009109,0.0009109
11,358.008,1.15028,1.54789,1.35851,0.49908,0.47026,0.4362,0.27016,1.17669,1.78128,1.47144,0.000901,0.000901,0.000901
12,390.719,1.14471,1.49324,1.3492,0.63637,0.43772,0.49855,0.33792,1.09053,1.60106,1.39219,0.0008911,0.0008911,0.0008911
13,422.76,1.12758,1.44678,1.33429,0.49297,0.57767,0.54477,0.33307,1.10956,1.55458,1.4325,0.0008812,0.0008812,0.0008812
14,454.891,1.12109,1.4677,1.32379,0.60521,0.47075,0.52066,0.35196,1.07437,1.50653,1.36654,0.0008713,0.0008713,0.0008713
15,487.042,1.09681,1.39504,1.31858,0.65905,0.46688,0.60383,0.41173,1.06738,1.26237,1.36616,0.0008614,0.0008614,0.0008614
16,518.776,1.10326,1.3456,1.3223,0.54958,0.53334,0.52732,0.35312,1.05172,1.36316,1.35344,0.0008515,0.0008515,0.0008515
17,551.462,1.07566,1.27207,1.29252,0.54988,0.54946,0.59341,0.39047,1.06324,1.33993,1.37668,0.0008416,0.0008416,0.0008416
18,582.996,1.05811,1.27961,1.28424,0.42228,0.55683,0.49767,0.3441,1.06496,1.45225,1.34924,0.0008317,0.0008317,0.0008317
19,615.421,1.05477,1.28369,1.29178,0.64633,0.49277,0.62444,0.42027,1.05478,1.21348,1.35794,0.0008218,0.0008218,0.0008218
20,646.993,1.05313,1.29495,1.29109,0.57317,0.63729,0.65328,0.44281,1.04337,1.17452,1.34944,0.0008119,0.0008119,0.0008119
21,678.806,1.05372,1.20873,1.2888,0.62436,0.55832,0.61655,0.43736,1.03375,1.1616,1.33428,0.000802,0.000802,0.000802
22,710.24,1.04236,1.1864,1.27425,0.59789,0.55732,0.6497,0.46002,1.04275,1.17174,1.34351,0.0007921,0.0007921,0.0007921
23,742.401,1.05584,1.23246,1.30266,0.58384,0.59552,0.65672,0.44816,1.05994,1.10903,1.35491,0.0007822,0.0007822,0.0007822
24,774.022,1.03501,1.13985,1.28341,0.642,0.61146,0.69578,0.48116,1.02625,1.05697,1.34887,0.0007723,0.0007723,0.0007723
25,806.375,1.04753,1.18094,1.27722,0.5999,0.58138,0.62931,0.42547,1.00057,1.23141,1.32423,0.0007624,0.0007624,0.0007624
26,838.29,1.01654,1.12278,1.26143,0.56075,0.66153,0.63995,0.44814,1.03324,1.15151,1.33897,0.0007525,0.0007525,0.0007525
27,870.238,1.00329,1.19833,1.24623,0.64433,0.62124,0.64109,0.45523,0.99339,1.12319,1.30891,0.0007426,0.0007426,0.0007426
28,902.218,1.00672,1.08668,1.25487,0.52389,0.71496,0.70564,0.48577,0.97588,1.09308,1.28408,0.0007327,0.0007327,0.0007327
29,934.047,0.9909,1.06879,1.23468,0.57885,0.70261,0.71203,0.49588,0.99768,1.02504,1.30986,0.0007228,0.0007228,0.0007228
30,966.353,0.98285,1.06549,1.24937,0.62833,0.66025,0.66446,0.47301,0.99879,1.05379,1.31674,0.0007129,0.0007129,0.0007129
31,997.863,0.98308,1.03057,1.22812,0.7355,0.61539,0.71086,0.50877,0.98484,0.98535,1.28545,0.000703,0.000703,0.000703
32,1030.38,0.98543,1.01305,1.24916,0.71125,0.64506,0.73059,0.513,1.0049,0.96682,1.31613,0.0006931,0.0006931,0.0006931
33,1062.17,0.9647,0.9957,1.22419,0.64967,0.73668,0.74628,0.54158,0.94963,0.92851,1.26301,0.0006832,0.0006832,0.0006832
34,1095.38,0.97463,0.97059,1.24063,0.62063,0.64289,0.67238,0.49378,0.96811,0.94518,1.27154,0.0006733,0.0006733,0.0006733
35,1127.36,0.96926,0.99142,1.23079,0.71467,0.65728,0.75722,0.53547,0.97383,0.91706,1.26904,0.0006634,0.0006634,0.0006634
36,1160.22,0.94867,0.97234,1.20661,0.71061,0.66958,0.76021,0.55721,0.9616,0.94803,1.26968,0.0006535,0.0006535,0.0006535
37,1192.12,0.95693,0.95952,1.22367,0.51468,0.67339,0.67355,0.47767,0.96274,0.99509,1.29287,0.0006436,0.0006436,0.0006436
38,1224.68,0.93673,0.98376,1.21166,0.68486,0.73981,0.78554,0.5604,0.97577,0.90946,1.28709,0.0006337,0.0006337,0.0006337
39,1256.31,0.94674,0.93123,1.20712,0.72199,0.67204,0.73504,0.51763,0.9536,0.94436,1.25929,0.0006238,0.0006238,0.0006238
40,1288.97,0.93971,0.91377,1.20318,0.73903,0.65253,0.7546,0.54151,0.95151,0.97936,1.2752,0.0006139,0.0006139,0.0006139
41,1320.71,0.92996,0.89966,1.20562,0.63098,0.73896,0.74962,0.54481,0.94524,0.94823,1.24769,0.000604,0.000604,0.000604
42,1354.14,0.9193,0.89347,1.18494,0.7461,0.70541,0.75333,0.55876,0.93706,0.8887,1.26343,0.0005941,0.0005941,0.0005941
43,1386.32,0.91684,0.85842,1.19455,0.65327,0.7502,0.75848,0.54548,0.94691,0.92278,1.26668,0.0005842,0.0005842,0.0005842
44,1419.45,0.92013,0.86295,1.18922,0.60194,0.83117,0.80276,0.57928,0.93361,0.83684,1.25186,0.0005743,0.0005743,0.0005743
45,1451.46,0.90787,0.86655,1.18133,0.7848,0.73352,0.79554,0.58004,0.92463,0.86436,1.23584,0.0005644,0.0005644,0.0005644
46,1484.02,0.88921,0.84746,1.16998,0.7823,0.69442,0.81144,0.60238,0.92844,0.87473,1.25441,0.0005545,0.0005545,0.0005545
47,1515.89,0.90041,0.86928,1.18543,0.62717,0.76126,0.77187,0.56225,0.94065,0.85459,1.25233,0.0005446,0.0005446,0.0005446
48,1548.64,0.89134,0.84837,1.17317,0.74578,0.68969,0.77573,0.58084,0.92139,0.85134,1.22907,0.0005347,0.0005347,0.0005347
49,1580.53,0.88319,0.82772,1.16585,0.66229,0.78996,0.80071,0.59274,0.92456,0.82001,1.25243,0.0005248,0.0005248,0.0005248
50,1612.7,0.87162,0.83874,1.16591,0.7539,0.68883,0.78437,0.58985,0.90444,0.81772,1.23036,0.0005149,0.0005149,0.0005149
51,1644.02,0.87681,0.82595,1.17005,0.76536,0.76117,0.81211,0.6035,0.91869,0.80913,1.24436,0.000505,0.000505,0.000505
52,1676.26,0.87794,0.81091,1.16807,0.72222,0.74182,0.8031,0.59363,0.9375,0.87308,1.24862,0.0004951,0.0004951,0.0004951
53,1708.02,0.89154,0.81933,1.18355,0.765,0.73618,0.79219,0.58518,0.91774,0.81635,1.23826,0.0004852,0.0004852,0.0004852
54,1740.09,0.86746,0.76635,1.15696,0.70493,0.73678,0.77303,0.57405,0.9098,0.83907,1.24342,0.0004753,0.0004753,0.0004753
55,1771.52,0.84387,0.78098,1.14592,0.72845,0.77289,0.78474,0.59197,0.91547,0.78144,1.22924,0.0004654,0.0004654,0.0004654
56,1803.43,0.86255,0.79431,1.16458,0.69455,0.77466,0.81186,0.6173,0.89065,0.7817,1.22598,0.0004555,0.0004555,0.0004555
57,1835.28,0.84204,0.75648,1.13763,0.75554,0.73288,0.80857,0.61844,0.89303,0.78382,1.21445,0.0004456,0.0004456,0.0004456
58,1867.17,0.83531,0.77338,1.14873,0.69547,0.77697,0.77397,0.58581,0.91164,0.77822,1.22177,0.0004357,0.0004357,0.0004357
59,1899.68,0.85151,0.74391,1.1553,0.74601,0.77139,0.82616,0.62492,0.91045,0.76506,1.23512,0.0004258,0.0004258,0.0004258
60,1931.17,0.83218,0.72735,1.13514,0.71019,0.79263,0.80609,0.60956,0.90241,0.80306,1.22148,0.0004159,0.0004159,0.0004159
61,1963.72,0.82864,0.72931,1.13259,0.76975,0.78166,0.82166,0.6125,0.89104,0.77734,1.22097,0.000406,0.000406,0.000406
62,1995.5,0.82296,0.70999,1.13299,0.77591,0.78353,0.82013,0.60966,0.89613,0.81331,1.2106,0.0003961,0.0003961,0.0003961
63,2027.87,0.83147,0.70289,1.14121,0.64361,0.83018,0.82954,0.62231,0.90839,0.77584,1.23266,0.0003862,0.0003862,0.0003862
64,2059.58,0.83614,0.72748,1.13895,0.76653,0.78389,0.81405,0.60921,0.90426,0.82499,1.22454,0.0003763,0.0003763,0.0003763
65,2091.12,0.81506,0.66663,1.12156,0.75627,0.75427,0.80707,0.61246,0.8966,0.80416,1.20559,0.0003664,0.0003664,0.0003664
66,2123.6,0.81171,0.69835,1.12128,0.75192,0.78354,0.81315,0.61562,0.88313,0.75443,1.21718,0.0003565,0.0003565,0.0003565
67,2155.51,0.81289,0.69287,1.1298,0.7697,0.79519,0.83027,0.62105,0.88846,0.74627,1.20721,0.0003466,0.0003466,0.0003466
68,2188.22,0.80806,0.67129,1.11937,0.73603,0.78888,0.81342,0.59834,0.89069,0.78459,1.20388,0.0003367,0.0003367,0.0003367
69,2220.34,0.81296,0.68957,1.13392,0.75769,0.78194,0.81558,0.63,0.8865,0.78998,1.22148,0.0003268,0.0003268,0.0003268
70,2253.58,0.78524,0.67588,1.10831,0.77424,0.77736,0.82784,0.63525,0.88778,0.80287,1.21417,0.0003169,0.0003169,0.0003169
71,2285.82,0.77547,0.64862,1.0972,0.787,0.74952,0.81014,0.61094,0.8903,0.78257,1.21287,0.000307,0.000307,0.000307
72,2319.05,0.76834,0.67346,1.10336,0.7767,0.77824,0.80311,0.60861,0.88968,0.7858,1.22725,0.0002971,0.0002971,0.0002971
73,2350.91,0.77372,0.64922,1.10266,0.80011,0.76311,0.79801,0.60174,0.89042,0.799,1.2261,0.0002872,0.0002872,0.0002872
74,2383.89,0.75808,0.61585,1.09299,0.80464,0.79275,0.82721,0.63407,0.88047,0.75159,1.2151,0.0002773,0.0002773,0.0002773
75,2415.28,0.76056,0.66404,1.102,0.83242,0.77338,0.8501,0.64751,0.87658,0.75528,1.21392,0.0002674,0.0002674,0.0002674
76,2448.17,0.75542,0.61603,1.09164,0.839,0.76288,0.83302,0.6302,0.88506,0.77557,1.2144,0.0002575,0.0002575,0.0002575
77,2481.95,0.76846,0.63135,1.09638,0.83449,0.78377,0.84222,0.64498,0.87642,0.7421,1.21664,0.0002476,0.0002476,0.0002476
78,2515.02,0.75725,0.63852,1.09956,0.71295,0.8458,0.84524,0.63754,0.89285,0.76348,1.22434,0.0002377,0.0002377,0.0002377
79,2546.88,0.76634,0.65264,1.10812,0.77932,0.81908,0.85935,0.65847,0.88157,0.75041,1.20637,0.0002278,0.0002278,0.0002278
80,2579.45,0.73185,0.59587,1.09254,0.79707,0.80409,0.8389,0.64899,0.87797,0.75903,1.20337,0.0002179,0.0002179,0.0002179
81,2611.21,0.74667,0.60816,1.09146,0.79909,0.78986,0.84927,0.6394,0.88666,0.74698,1.20825,0.000208,0.000208,0.000208
82,2643.73,0.73692,0.59366,1.08418,0.82576,0.76703,0.84914,0.63423,0.88197,0.76824,1.20626,0.0001981,0.0001981,0.0001981
83,2676.06,0.72454,0.59436,1.07484,0.76354,0.83852,0.84621,0.64893,0.86821,0.71845,1.20104,0.0001882,0.0001882,0.0001882
84,2709.2,0.73459,0.60147,1.08128,0.79265,0.76204,0.83208,0.62591,0.87674,0.74383,1.20834,0.0001783,0.0001783,0.0001783
85,2741.62,0.72535,0.60521,1.08007,0.7642,0.79437,0.82982,0.63491,0.86751,0.76762,1.19544,0.0001684,0.0001684,0.0001684
86,2774.35,0.73923,0.57216,1.09561,0.82866,0.77132,0.84542,0.65462,0.87067,0.74949,1.19776,0.0001585,0.0001585,0.0001585
87,2806.6,0.71757,0.57302,1.07272,0.8154,0.79387,0.85185,0.6636,0.86802,0.73941,1.2052,0.0001486,0.0001486,0.0001486
88,2839.85,0.71617,0.57919,1.06776,0.82143,0.78503,0.85095,0.64583,0.86261,0.74975,1.19744,0.0001387,0.0001387,0.0001387
89,2872.37,0.71156,0.57007,1.08399,0.86393,0.77677,0.85119,0.64914,0.87616,0.73844,1.2104,0.0001288,0.0001288,0.0001288
90,2905.87,0.69722,0.55121,1.05918,0.83595,0.78694,0.83802,0.64319,0.86612,0.73712,1.2001,0.0001189,0.0001189,0.0001189
91,2939.49,0.65,0.50812,1.03325,0.82017,0.80817,0.84867,0.65187,0.87065,0.71303,1.21817,0.000109,0.000109,0.000109
92,2971.33,0.61592,0.47321,1.02231,0.83704,0.77852,0.85271,0.66143,0.87136,0.70968,1.20551,9.91e-05,9.91e-05,9.91e-05
93,3002.31,0.59383,0.42348,1.00311,0.8352,0.77844,0.84828,0.65991,0.87874,0.73256,1.21832,8.92e-05,8.92e-05,8.92e-05
94,3033.27,0.59002,0.41042,1.00834,0.77948,0.79744,0.85166,0.66207,0.87074,0.72842,1.21368,7.93e-05,7.93e-05,7.93e-05
95,3065.11,0.58599,0.41227,1.01239,0.80681,0.77878,0.84948,0.64167,0.87,0.72655,1.20669,6.94e-05,6.94e-05,6.94e-05
96,3096.04,0.57941,0.40638,0.99635,0.85703,0.75061,0.85192,0.64204,0.8673,0.71716,1.21102,5.95e-05,5.95e-05,5.95e-05
