epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6378,1.30296,3.27113,1.53023,0.40227,0.23307,0.1331,0.08407,1.20487,2.99486,1.54489,0.0671194,8.24074e-05,8.24074e-05
2,70.6319,1.2207,2.15948,1.42141,0.69581,0.35309,0.39674,0.26531,1.10299,1.6831,1.45349,0.0338678,0.0001641,0.0001641
3,103.707,1.16343,1.81405,1.37652,0.66253,0.3602,0.41655,0.26661,1.06214,1.63935,1.41183,0.000614513,0.000244142,0.000244142
4,135.96,1.1658,1.74022,1.37503,0.52513,0.47272,0.51208,0.33252,1.03488,1.38939,1.37032,0.000242575,0.000242575,0.000242575
5,168.485,1.15414,1.67627,1.35464,0.62442,0.5057,0.585,0.38329,1.01618,1.3094,1.30659,0.0002401,0.0002401,0.0002401
6,200.024,1.0803,1.44794,1.31524,0.50358,0.63279,0.5828,0.41035,1.01498,1.24581,1.35157,0.000237625,0.000237625,0.000237625
7,232.499,1.13651,1.5341,1.36541,0.53035,0.63033,0.62983,0.43339,1.00876,1.21658,1.31339,0.00023515,0.00023515,0.00023515
8,264.304,1.08614,1.4157,1.31969,0.66886,0.55426,0.64399,0.4538,0.97793,1.11346,1.28131,0.000232675,0.000232675,0.000232675
9,296.729,1.08485,1.38546,1.30628,0.52524,0.71266,0.69628,0.47476,0.99367,1.13833,1.31123,0.0002302,0.0002302,0.0002302
10,328.624,1.05705,1.35042,1.30278,0.66724,0.6696,0.72052,0.50289,0.95519,1.01894,1.28533,0.000227725,0.000227725,0.000227725
11,361.076,1.06926,1.27062,1.31705,0.68965,0.63357,0.69758,0.5047,0.97566,1.0343,1.29004,0.00022525,0.00022525,0.00022525
12,393.046,1.03673,1.19984,1.27858,0.66113,0.58424,0.68022,0.4673,0.97441,1.18813,1.293,0.000222775,0.000222775,0.000222775
13,425.206,1.04242,1.23987,1.30557,0.69867,0.70886,0.76849,0.56865,0.91706,0.96184,1.23499,0.0002203,0.0002203,0.0002203
14,457.948,1.03103,1.22075,1.28373,0.7195,0.71623,0.79774,0.5812,0.89684,0.91523,1.22415,0.000217825,0.000217825,0.000217825
15,489.92,1.00786,1.15116,1.27577,0.58775,0.72388,0.72885,0.5281,0.94502,0.94606,1.28487,0.00021535,0.00021535,0.00021535
16,522.05,0.98754,1.12465,1.25695,0.58122,0.69979,0.71269,0.52569,0.94016,0.97112,1.27537,0.000212875,0.000212875,0.000212875
17,553.73,0.98625,1.07738,1.24681,0.7421,0.75814,0.81006,0.58613,0.9456,0.86902,1.25629,0.0002104,0.0002104,0.0002104
18,586.241,0.99578,1.0908,1.26199,0.78377,0.67328,0.76028,0.56149,0.94978,0.9164,1.27114,0.000207925,0.000207925,0.000207925
19,617.665,0.99561,1.14167,1.27269,0.73028,0.72131,0.79,0.5827,0.89833,0.87735,1.21066,0.00020545,0.00020545,0.00020545
20,650.068,0.98897,1.09248,1.25413,0.63566,0.73499,0.77142,0.55899,0.91949,0.89349,1.24629,0.000202975,0.000202975,0.000202975
21,681.74,0.98228,1.05505,1.25293,0.74273,0.69477,0.79034,0.59061,0.899,0.87392,1.21204,0.0002005,0.0002005,0.0002005
22,714.373,0.97913,1.06923,1.23958,0.73539,0.72683,0.77251,0.57687,0.90957,0.90568,1.22677,0.000198025,0.000198025,0.000198025
23,746.059,0.96891,1.01361,1.24269,0.81262,0.72347,0.81022,0.59053,0.88614,0.80315,1.23358,0.00019555,0.00019555,0.00019555
24,778.479,0.94448,0.99893,1.22342,0.63066,0.74941,0.76709,0.56506,0.92574,0.87036,1.24296,0.000193075,0.000193075,0.000193075
25,810.199,0.95448,0.95683,1.23359,0.77023,0.76899,0.81714,0.61903,0.89963,0.78106,1.24339,0.0001906,0.0001906,0.0001906
26,842.675,0.97481,0.99922,1.25193,0.76727,0.70423,0.80194,0.59588,0.86494,0.79804,1.19859,0.000188125,0.000188125,0.000188125
27,874.394,0.93294,0.95266,1.20959,0.77891,0.7651,0.8192,0.60627,0.88652,0.80827,1.20976,0.00018565,0.00018565,0.00018565
28,906.919,0.91821,0.95534,1.19755,0.6981,0.70128,0.7666,0.58198,0.88877,0.89637,1.2231,0.000183175,0.000183175,0.000183175
29,939.227,0.92882,0.90686,1.21141,0.82319,0.74951,0.82544,0.62107,0.88876,0.76576,1.24065,0.0001807,0.0001807,0.0001807
30,971.178,0.89376,0.91278,1.20231,0.78288,0.73897,0.7983,0.59794,0.89786,0.78366,1.22571,0.000178225,0.000178225,0.000178225
31,1003.33,0.90506,0.8906,1.19415,0.74013,0.79155,0.84547,0.62883,0.90294,0.80127,1.23776,0.00017575,0.00017575,0.00017575
32,1035.19,0.90541,0.90259,1.20027,0.76919,0.72014,0.75419,0.57216,0.88298,0.79953,1.2205,0.000173275,0.000173275,0.000173275
33,1067.64,0.88195,0.85245,1.19151,0.80173,0.70212,0.78511,0.60207,0.8686,0.78284,1.2149,0.0001708,0.0001708,0.0001708
34,1099.32,0.89881,0.87383,1.20511,0.7484,0.77841,0.83743,0.64964,0.86031,0.77328,1.21192,0.000168325,0.000168325,0.000168325
35,1132.01,0.89863,0.86425,1.20896,0.65559,0.83293,0.82545,0.6262,0.88041,0.77435,1.21765,0.00016585,0.00016585,0.00016585
36,1164.07,0.88424,0.85058,1.19187,0.73818,0.79096,0.81811,0.61957,0.87352,0.76002,1.21299,0.000163375,0.000163375,0.000163375
37,1196.85,0.87809,0.86451,1.18466,0.78712,0.77049,0.82972,0.63586,0.85459,0.75131,1.1886,0.0001609,0.0001609,0.0001609
