epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8758,1.34234,3.23899,1.58017,0.47463,0.17972,0.15384,0.10267,1.21359,2.72787,1.61703,0.0671194,8.24074e-05,8.24074e-05
2,67.241,1.23881,2.2446,1.47098,0.40887,0.39335,0.3394,0.22329,1.10848,2.07902,1.42674,0.0338678,0.0001641,0.0001641
3,99.8322,1.22068,1.98122,1.45786,0.49619,0.4666,0.47645,0.32364,1.03425,1.48993,1.39932,0.000614513,0.000244142,0.000244142
4,131.589,1.14816,1.866,1.38544,0.57162,0.49458,0.52544,0.36613,1.02845,1.43997,1.38665,0.000242575,0.000242575,0.000242575
5,163.244,1.17968,1.6835,1.42496,0.49148,0.60661,0.55653,0.37841,1.02538,1.36688,1.36751,0.0002401,0.0002401,0.0002401
6,195.464,1.16019,1.62776,1.41927,0.59778,0.60254,0.63503,0.45252,0.9977,1.24789,1.35614,0.000237625,0.000237625,0.000237625
7,226.8,1.12677,1.55288,1.38041,0.53863,0.61785,0.63971,0.44099,1.00116,1.29397,1.34632,0.00023515,0.00023515,0.00023515
8,258.789,1.12619,1.56646,1.38876,0.62448,0.60184,0.68066,0.47982,0.96664,1.16948,1.32856,0.000232675,0.000232675,0.000232675
9,290.12,1.06306,1.43694,1.34646,0.5674,0.65071,0.64387,0.45183,0.94448,1.07383,1.29586,0.0002302,0.0002302,0.0002302
10,322.349,1.09327,1.42056,1.36295,0.71312,0.67919,0.71475,0.50523,0.94762,0.96552,1.31119,0.000227725,0.000227725,0.000227725
11,354.033,1.07062,1.37237,1.34163,0.6392,0.73945,0.73808,0.51403,0.99473,0.98963,1.34162,0.00022525,0.00022525,0.00022525
12,386.452,1.03795,1.30396,1.31642,0.623,0.65614,0.71295,0.49914,0.96319,1.03395,1.3095,0.000222775,0.000222775,0.000222775
13,417.787,1.05045,1.2697,1.3297,0.65912,0.67972,0.69805,0.50003,0.93813,0.96142,1.27556,0.0002203,0.0002203,0.0002203
14,449.951,1.05205,1.28486,1.31783,0.66878,0.71912,0.73202,0.52981,0.94655,0.935,1.2833,0.000217825,0.000217825,0.000217825
15,481.477,1.0105,1.20923,1.29195,0.76554,0.65299,0.73384,0.52734,0.92085,0.93242,1.27072,0.00021535,0.00021535,0.00021535
16,513.766,1.01619,1.21659,1.29532,0.71986,0.68632,0.75743,0.55206,0.93271,0.93147,1.28467,0.000212875,0.000212875,0.000212875
17,545.683,0.99846,1.18401,1.29343,0.66532,0.76646,0.77031,0.57179,0.90278,0.90569,1.26477,0.0002104,0.0002104,0.0002104
18,578.09,0.99612,1.15066,1.2834,0.77618,0.72778,0.78404,0.56808,0.91649,0.84082,1.25306,0.000207925,0.000207925,0.000207925
19,609.724,0.99307,1.1499,1.28796,0.68346,0.73185,0.75161,0.5503,0.89996,0.86239,1.25458,0.00020545,0.00020545,0.00020545
20,641.664,0.98555,1.11975,1.27206,0.71091,0.76114,0.75634,0.5371,0.90848,0.84058,1.25897,0.000202975,0.000202975,0.000202975
21,673.135,0.9853,1.09462,1.27783,0.7574,0.69365,0.77587,0.5708,0.90452,0.86524,1.2568,0.0002005,0.0002005,0.0002005
22,704.731,0.96341,1.08071,1.25847,0.62797,0.79746,0.77845,0.56038,0.88417,0.87984,1.24094,0.000198025,0.000198025,0.000198025
23,735.84,0.95304,1.05304,1.24911,0.75424,0.75284,0.77834,0.55443,0.92958,0.84741,1.25328,0.00019555,0.00019555,0.00019555
24,767.85,0.94762,1.04586,1.2393,0.67945,0.82998,0.79989,0.59229,0.8927,0.84519,1.24904,0.000193075,0.000193075,0.000193075
25,799.03,0.94418,1.00606,1.23605,0.78018,0.72721,0.768,0.56496,0.89644,0.85961,1.26114,0.0001906,0.0001906,0.0001906
26,831.218,0.91196,1.01503,1.22579,0.69912,0.71732,0.75575,0.5625,0.90189,0.87466,1.2802,0.000188125,0.000188125,0.000188125
27,862.375,0.93864,1.02696,1.24378,0.6991,0.72776,0.76714,0.58484,0.88225,0.79071,1.23336,0.00018565,0.00018565,0.00018565
28,894.556,0.93416,1.02088,1.23458,0.72122,0.7292,0.79703,0.59325,0.88713,0.83966,1.23288,0.000183175,0.000183175,0.000183175
