epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.8578,1.21852,3.48587,1.50666,0.54512,0.19281,0.15215,0.10251,1.2006,3.30122,1.5083,0.0671194,8.24074e-05,8.24074e-05
2,102.479,1.08246,2.00204,1.32356,0.60908,0.32583,0.35395,0.24188,1.07677,1.72029,1.29309,0.0338678,0.0001641,0.0001641
3,131.288,1.06428,1.62102,1.30877,0.56997,0.44104,0.45384,0.31613,1.01839,1.48494,1.24596,0.000614513,0.000244142,0.000244142
4,159.646,1.02575,1.48751,1.27745,0.49172,0.53079,0.46637,0.30861,1.03771,1.53064,1.27355,0.000242575,0.000242575,0.000242575
5,188.577,0.97213,1.25922,1.22487,0.58069,0.50691,0.52233,0.35959,0.98414,1.35922,1.22276,0.0002401,0.0002401,0.0002401
6,217.268,0.96526,1.22031,1.20903,0.49355,0.60209,0.59844,0.41656,0.95545,1.35772,1.22282,0.000237625,0.000237625,0.000237625
7,245.566,0.92666,1.11351,1.17605,0.6454,0.58245,0.65917,0.46039,0.95682,1.06433,1.20763,0.00023515,0.00023515,0.00023515
8,273.767,0.90935,1.07587,1.17469,0.74365,0.53752,0.62112,0.43413,1.00182,1.25725,1.25258,0.000232675,0.000232675,0.000232675
9,301.964,0.90246,1.07582,1.17076,0.60008,0.66734,0.66292,0.45474,0.96617,1.15931,1.21988,0.0002302,0.0002302,0.0002302
10,330.781,0.89641,0.98335,1.1684,0.61788,0.62427,0.63442,0.44953,0.96739,0.99171,1.19426,0.000227725,0.000227725,0.000227725
11,359.073,0.86516,0.94097,1.13632,0.66526,0.64,0.6985,0.497,0.941,1.047,1.20283,0.00022525,0.00022525,0.00022525
12,387.287,0.86545,0.86852,1.13321,0.65391,0.68331,0.72952,0.51091,0.94031,0.96993,1.19255,0.000222775,0.000222775,0.000222775
13,415.342,0.84585,0.80346,1.12639,0.58602,0.71534,0.72489,0.52975,0.92047,0.98388,1.18674,0.0002203,0.0002203,0.0002203
14,443.571,0.84877,0.82025,1.15494,0.64645,0.77588,0.78761,0.54575,0.93666,0.91379,1.16652,0.000217825,0.000217825,0.000217825
15,472.546,0.83164,0.78454,1.1202,0.74737,0.65238,0.71333,0.52835,0.90352,0.95588,1.17858,0.00021535,0.00021535,0.00021535
16,500.737,0.80544,0.77258,1.1016,0.65874,0.66417,0.71667,0.51844,0.92052,0.90499,1.16684,0.000212875,0.000212875,0.000212875
17,528.926,0.78616,0.72844,1.08967,0.70623,0.66221,0.72194,0.52754,0.90272,0.92785,1.15556,0.0002104,0.0002104,0.0002104
18,556.882,0.76852,0.67915,1.06257,0.6144,0.76527,0.7618,0.54697,0.91412,0.92661,1.15072,0.000207925,0.000207925,0.000207925
19,584.909,0.77186,0.65736,1.08656,0.70949,0.75957,0.8077,0.59624,0.88868,0.82988,1.14813,0.00020545,0.00020545,0.00020545
20,613.699,0.7696,0.69546,1.08018,0.69932,0.74891,0.76425,0.55833,0.89739,0.91691,1.15464,0.000202975,0.000202975,0.000202975
21,641.721,0.75319,0.66432,1.0479,0.644,0.77965,0.78495,0.56485,0.88498,0.82741,1.14777,0.0002005,0.0002005,0.0002005
22,669.697,0.73737,0.6343,1.05763,0.71715,0.73798,0.76565,0.54217,0.90023,0.89908,1.17665,0.000198025,0.000198025,0.000198025
23,697.694,0.72274,0.62609,1.04288,0.76598,0.70302,0.78588,0.58839,0.87677,0.86631,1.13822,0.00019555,0.00019555,0.00019555
24,725.879,0.73424,0.65723,1.06207,0.70836,0.72222,0.75745,0.56088,0.87821,0.86899,1.14674,0.000193075,0.000193075,0.000193075
25,754.64,0.7148,0.61529,1.02626,0.74434,0.67818,0.74894,0.56299,0.89301,0.88791,1.15308,0.0001906,0.0001906,0.0001906
26,782.756,0.70228,0.58528,1.03424,0.78489,0.70693,0.78332,0.58794,0.89861,0.81076,1.1673,0.000188125,0.000188125,0.000188125
27,810.983,0.69528,0.59053,1.02409,0.71904,0.72654,0.76141,0.57957,0.88675,0.8235,1.1426,0.00018565,0.00018565,0.00018565
28,838.918,0.69209,0.57554,1.01889,0.77006,0.72927,0.76321,0.58627,0.8777,0.7955,1.16655,0.000183175,0.000183175,0.000183175
29,867.103,0.6842,0.53539,1.0183,0.76272,0.72473,0.76869,0.58707,0.88056,0.80288,1.15191,0.0001807,0.0001807,0.0001807
30,895.468,0.67322,0.57255,1.02115,0.76484,0.6912,0.77614,0.59512,0.86611,0.84885,1.14465,0.000178225,0.000178225,0.000178225
31,923.491,0.65448,0.52925,0.99733,0.76078,0.71997,0.75564,0.57545,0.88142,0.85281,1.14803,0.00017575,0.00017575,0.00017575
32,951.492,0.66399,0.5739,1.00729,0.78958,0.69419,0.73921,0.55029,0.88678,0.86189,1.16258,0.000173275,0.000173275,0.000173275
33,979.643,0.64336,0.50234,0.98651,0.70412,0.7378,0.77901,0.58962,0.86226,0.78029,1.1369,0.0001708,0.0001708,0.0001708
34,1008,0.63624,0.49498,0.98807,0.6969,0.72325,0.78991,0.5966,0.84878,0.80022,1.13074,0.000168325,0.000168325,0.000168325
35,1036.02,0.63512,0.4938,0.98847,0.77614,0.73337,0.78265,0.58797,0.87907,0.81583,1.14283,0.00016585,0.00016585,0.00016585
36,1064.03,0.62612,0.46794,0.98079,0.78159,0.73124,0.78984,0.60299,0.86737,0.76935,1.14495,0.000163375,0.000163375,0.000163375
37,1092,0.607,0.44692,0.96597,0.73626,0.74928,0.79158,0.6115,0.87241,0.83266,1.14577,0.0001609,0.0001609,0.0001609
38,1120.49,0.61261,0.46233,0.97231,0.80056,0.75676,0.79583,0.60224,0.86601,0.78861,1.14151,0.000158425,0.000158425,0.000158425
39,1148.38,0.60425,0.48739,0.96142,0.80486,0.7507,0.79633,0.61079,0.86851,0.78097,1.15497,0.00015595,0.00015595,0.00015595
40,1176.24,0.60631,0.47133,0.97289,0.75942,0.76463,0.80659,0.61116,0.86935,0.78623,1.14203,0.000153475,0.000153475,0.000153475
41,1204.17,0.59219,0.45804,0.96487,0.80851,0.74359,0.80488,0.60468,0.89102,0.80664,1.16443,0.000151,0.000151,0.000151
42,1232.6,0.58059,0.42231,0.96226,0.79492,0.76529,0.81804,0.61442,0.88299,0.79086,1.17746,0.000148525,0.000148525,0.000148525
43,1261.02,0.60927,0.47659,0.97256,0.8078,0.77318,0.84246,0.63427,0.87104,0.75479,1.1677,0.00014605,0.00014605,0.00014605
44,1289.15,0.57106,0.39829,0.94173,0.82434,0.76439,0.80471,0.6204,0.87623,0.7889,1.1719,0.000143575,0.000143575,0.000143575
45,1317.04,0.56174,0.46105,0.96037,0.84778,0.74947,0.81062,0.6312,0.8725,0.82104,1.18318,0.0001411,0.0001411,0.0001411
46,1345.54,0.55262,0.38845,0.93614,0.77983,0.75642,0.81655,0.63555,0.85928,0.78857,1.16639,0.000138625,0.000138625,0.000138625
47,1373.86,0.54994,0.40064,0.94402,0.81599,0.74245,0.79934,0.61787,0.87641,0.78987,1.17888,0.00013615,0.00013615,0.00013615
48,1401.88,0.53258,0.38449,0.9301,0.79923,0.70094,0.77443,0.59268,0.8777,0.82305,1.1731,0.000133675,0.000133675,0.000133675
49,1429.93,0.54871,0.39798,0.96428,0.82504,0.70621,0.80601,0.62403,0.86972,0.81283,1.16527,0.0001312,0.0001312,0.0001312
50,1458.16,0.52045,0.38892,0.92614,0.81409,0.73241,0.78048,0.59867,0.86298,0.81003,1.1639,0.000128725,0.000128725,0.000128725
51,1486.4,0.52129,0.36555,0.93175,0.85879,0.69521,0.77861,0.59894,0.86093,0.86373,1.1666,0.00012625,0.00012625,0.00012625
52,1514.29,0.50693,0.36029,0.91529,0.84159,0.74328,0.81546,0.62841,0.87855,0.78662,1.17983,0.000123775,0.000123775,0.000123775
53,1542.18,0.51632,0.39532,0.92289,0.76825,0.76742,0.80281,0.60913,0.8935,0.82639,1.19612,0.0001213,0.0001213,0.0001213
54,1570.13,0.52599,0.39706,0.93696,0.82598,0.7318,0.79361,0.62196,0.87586,0.81498,1.18865,0.000118825,0.000118825,0.000118825
55,1598.71,0.5042,0.39529,0.92862,0.88048,0.69725,0.78174,0.59784,0.86439,0.8047,1.16644,0.00011635,0.00011635,0.00011635
56,1626.53,0.5058,0.37359,0.91618,0.86214,0.74663,0.81442,0.6219,0.87273,0.83232,1.17992,0.000113875,0.000113875,0.000113875
57,1654.6,0.49536,0.34428,0.91624,0.85503,0.68447,0.79571,0.61386,0.87728,0.80336,1.19105,0.0001114,0.0001114,0.0001114
58,1682.72,0.50542,0.34334,0.91653,0.85949,0.70712,0.8027,0.61352,0.86918,0.83969,1.18577,0.000108925,0.000108925,0.000108925
59,1711.19,0.48295,0.3368,0.90468,0.85147,0.72533,0.81156,0.61904,0.87145,0.84118,1.17712,0.00010645,0.00010645,0.00010645
60,1739.11,0.47368,0.32688,0.90114,0.86302,0.70637,0.82109,0.6094,0.87421,0.84738,1.17105,0.000103975,0.000103975,0.000103975
61,1766.99,0.46852,0.37196,0.90569,0.8346,0.7358,0.80075,0.60728,0.88401,0.81749,1.19615,0.0001015,0.0001015,0.0001015
62,1795.07,0.47409,0.32885,0.92643,0.82238,0.72459,0.79718,0.61455,0.87564,0.82745,1.17028,9.9025e-05,9.9025e-05,9.9025e-05
63,1823.71,0.44839,0.31585,0.89313,0.8298,0.71069,0.79438,0.60631,0.86868,0.85779,1.18887,9.655e-05,9.655e-05,9.655e-05
64,1851.58,0.48366,0.34876,0.9211,0.80714,0.74201,0.81131,0.62238,0.87399,0.85077,1.19254,9.4075e-05,9.4075e-05,9.4075e-05
65,1879.42,0.44591,0.31735,0.89211,0.8451,0.69953,0.81068,0.62857,0.86558,0.82196,1.18272,9.16e-05,9.16e-05,9.16e-05
66,1907.25,0.44134,0.31013,0.88463,0.83851,0.75688,0.80855,0.61992,0.88093,0.81909,1.19261,8.9125e-05,8.9125e-05,8.9125e-05
67,1935.76,0.43957,0.34806,0.89289,0.86098,0.73476,0.8034,0.61718,0.87844,0.8453,1.18587,8.665e-05,8.665e-05,8.665e-05
68,1963.91,0.44436,0.35206,0.8994,0.85493,0.71823,0.80603,0.61263,0.89014,0.86813,1.20996,8.4175e-05,8.4175e-05,8.4175e-05
69,1991.79,0.42701,0.30716,0.88083,0.77407,0.76271,0.80865,0.62127,0.87752,0.85532,1.20746,8.17e-05,8.17e-05,8.17e-05
70,2019.62,0.42704,0.28486,0.88954,0.80518,0.74949,0.81317,0.62583,0.87239,0.84697,1.19774,7.9225e-05,7.9225e-05,7.9225e-05
71,2047.69,0.41976,0.32683,0.88127,0.87747,0.70647,0.80733,0.62198,0.86053,0.8185,1.18366,7.675e-05,7.675e-05,7.675e-05
72,2076.24,0.40926,0.30134,0.87819,0.74654,0.80736,0.81905,0.63324,0.86822,0.83858,1.19871,7.4275e-05,7.4275e-05,7.4275e-05
73,2104.32,0.40389,0.27557,0.87652,0.76263,0.7569,0.81007,0.63347,0.87186,0.84917,1.2108,7.18e-05,7.18e-05,7.18e-05
74,2132.4,0.40745,0.31855,0.87269,0.74282,0.75177,0.7958,0.62501,0.86186,0.85464,1.19026,6.9325e-05,6.9325e-05,6.9325e-05
