epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0152,1.26494,3.23091,1.4755,0.42866,0.2269,0.19323,0.12947,1.09567,2.55474,1.41452,0.0671194,8.24074e-05,8.24074e-05
2,65.5816,1.13868,2.02759,1.3405,0.55885,0.30763,0.29765,0.19403,1.07039,2.02863,1.40404,0.0338678,0.0001641,0.0001641
3,96.1318,1.12833,1.79575,1.32671,0.43113,0.4219,0.42773,0.29,1.04393,2.04861,1.37942,0.000614513,0.000244142,0.000244142
4,127.023,1.09855,1.63346,1.3144,0.55156,0.46737,0.50125,0.3349,1.02149,1.60331,1.31975,0.000242575,0.000242575,0.000242575
5,157.678,1.08042,1.48432,1.29475,0.66541,0.47626,0.56041,0.37781,1.04666,1.37632,1.34592,0.0002401,0.0002401,0.0002401
6,188.153,1.07583,1.35993,1.29875,0.65029,0.54196,0.60931,0.41639,0.99249,1.30691,1.30055,0.000237625,0.000237625,0.000237625
7,218.991,1.05248,1.32393,1.27428,0.61429,0.58929,0.6444,0.44236,0.99779,1.26633,1.28182,0.00023515,0.00023515,0.00023515
8,249.801,1.04264,1.2732,1.2676,0.74214,0.56383,0.66541,0.46946,0.9716,1.23423,1.26823,0.000232675,0.000232675,0.000232675
9,281.066,1.01657,1.2177,1.25697,0.58545,0.6456,0.65015,0.4583,0.97083,1.13444,1.26349,0.0002302,0.0002302,0.0002302
10,311.402,1.04188,1.14906,1.27565,0.63469,0.65414,0.7043,0.50728,0.97487,1.00526,1.2679,0.000227725,0.000227725,0.000227725
11,342.456,1.01746,1.1387,1.25559,0.72317,0.69873,0.75532,0.5384,0.98206,0.98048,1.28626,0.00022525,0.00022525,0.00022525
12,372.99,0.99328,1.0673,1.23958,0.62734,0.59712,0.68287,0.49545,0.94652,1.05096,1.2624,0.000222775,0.000222775,0.000222775
13,403.903,0.98066,1.05464,1.23484,0.6519,0.72014,0.73505,0.52367,0.94352,0.95089,1.26854,0.0002203,0.0002203,0.0002203
14,434.35,0.98357,1.06149,1.23455,0.77294,0.65818,0.75663,0.54553,0.98374,0.98986,1.26701,0.000217825,0.000217825,0.000217825
15,465.549,0.96529,1.01171,1.22401,0.65004,0.74099,0.71756,0.51129,0.91855,0.95705,1.23038,0.00021535,0.00021535,0.00021535
16,495.866,0.96031,1.01148,1.22522,0.69148,0.75321,0.8023,0.58704,0.90705,0.892,1.2277,0.000212875,0.000212875,0.000212875
17,526.403,0.94522,0.93291,1.21129,0.68384,0.76541,0.7564,0.56203,0.89514,0.89802,1.20693,0.0002104,0.0002104,0.0002104
18,557.271,0.93553,0.92217,1.20621,0.67533,0.76325,0.80153,0.59583,0.94178,0.89741,1.22914,0.000207925,0.000207925,0.000207925
19,587.64,0.92866,0.92898,1.2142,0.69954,0.68818,0.74912,0.5471,0.9358,0.87868,1.23948,0.00020545,0.00020545,0.00020545
20,618.794,0.92947,0.93462,1.21099,0.7402,0.7356,0.79943,0.59128,0.89127,0.86422,1.21688,0.000202975,0.000202975,0.000202975
21,649.043,0.92364,0.90472,1.20148,0.67906,0.79826,0.81256,0.6063,0.93007,0.84104,1.24603,0.0002005,0.0002005,0.0002005
22,679.88,0.90684,0.87947,1.18428,0.73805,0.7797,0.79644,0.58379,0.92934,0.86568,1.24052,0.000198025,0.000198025,0.000198025
