epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.0281,1.48485,5.38157,1.71045,0.01048,0.08996,0.01032,0.00673,1.24907,4.18322,1.60777,0.0671194,8.24074e-05,8.24074e-05
2,84.6281,1.31853,4.48712,1.59417,0.08642,0.1083,0.04191,0.03047,1.08678,3.28691,1.49676,0.0338678,0.0001641,0.0001641
3,115.776,1.20377,3.7071,1.50071,0.52695,0.15956,0.14059,0.10209,0.99839,2.48629,1.39965,0.000614513,0.000244142,0.000244142
4,146.723,1.13983,3.00974,1.43474,0.65418,0.22683,0.22429,0.16234,0.97733,2.09519,1.37117,0.000242575,0.000242575,0.000242575
5,177.293,1.10686,2.52399,1.38622,0.71998,0.27684,0.30375,0.21929,0.95029,1.73867,1.35847,0.0002401,0.0002401,0.0002401
6,208.288,1.07917,2.2082,1.36198,0.71253,0.34803,0.40587,0.29628,0.93389,1.50718,1.32402,0.000237625,0.000237625,0.000237625
7,238.749,1.03669,2.01522,1.32507,0.62381,0.45633,0.45065,0.33697,0.91261,1.34172,1.31145,0.00023515,0.00023515,0.00023515
8,270.024,1.03092,1.84933,1.3031,0.65448,0.48388,0.52034,0.38424,0.89684,1.28742,1.2858,0.000232675,0.000232675,0.000232675
9,300.058,1.02237,1.72933,1.29215,0.61769,0.53169,0.54435,0.40743,0.8837,1.153,1.26863,0.0002302,0.0002302,0.0002302
10,330.275,1.02052,1.64734,1.29216,0.76813,0.47163,0.53777,0.4008,0.88481,1.13607,1.25787,0.000227725,0.000227725,0.000227725
11,360.914,0.99527,1.5485,1.27043,0.67238,0.54969,0.60066,0.4342,0.88888,1.05304,1.24887,0.00022525,0.00022525,0.00022525
12,390.928,0.98032,1.41451,1.2537,0.51567,0.66033,0.65821,0.48895,0.87789,1.01546,1.2384,0.000222775,0.000222775,0.000222775
13,421.499,0.97749,1.38928,1.25058,0.66087,0.62589,0.7018,0.52735,0.87933,0.97496,1.23503,0.0002203,0.0002203,0.0002203
14,452.385,0.96774,1.36894,1.24122,0.62514,0.72435,0.71929,0.53905,0.87642,0.91685,1.22703,0.000217825,0.000217825,0.000217825
15,482.738,0.95714,1.28535,1.23298,0.66535,0.71967,0.73312,0.55466,0.86528,0.90525,1.21556,0.00021535,0.00021535,0.00021535
16,513.54,0.95871,1.26465,1.2339,0.68616,0.76023,0.76584,0.58161,0.86866,0.88405,1.21455,0.000212875,0.000212875,0.000212875
17,543.714,0.94228,1.19908,1.21739,0.73931,0.69284,0.76258,0.57454,0.86332,0.8711,1.20819,0.0002104,0.0002104,0.0002104
18,573.975,0.93274,1.14371,1.20677,0.58088,0.80671,0.77115,0.57874,0.86304,0.85337,1.20612,0.000207925,0.000207925,0.000207925
19,604.92,0.9277,1.17086,1.21568,0.7056,0.73557,0.77514,0.58764,0.8591,0.832,1.19981,0.00020545,0.00020545,0.00020545
20,635.311,0.90903,1.1665,1.20413,0.628,0.8115,0.75437,0.57206,0.8444,0.81163,1.18683,0.000202975,0.000202975,0.000202975
21,665.837,0.92554,1.12784,1.19966,0.62054,0.7846,0.76166,0.57581,0.85354,0.81706,1.18515,0.0002005,0.0002005,0.0002005
22,696.027,0.89844,1.0834,1.18487,0.69368,0.75542,0.77157,0.58689,0.84736,0.83157,1.19238,0.000198025,0.000198025,0.000198025
