epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9439,1.74439,4.17968,1.82595,0,0,0,0,nan,nan,nan,0.0706667,0.00325926,0.00325926
2,70.3639,1.699,3.36342,1.80203,0,0,0,0,nan,nan,nan,0.0406014,0.00652733,0.00652733
3,106.7,1.60186,3.03058,1.72642,0.02933,0.02406,0.00049,0.00021,2.85144,inf,4.04283,0.0104701,0.00972939,0.00972939
4,139.534,1.58708,2.92121,1.70776,0.23575,0.01494,0.00523,0.00255,2.76369,inf,3.75789,0.009703,0.009703,0.009703
5,170.649,1.58393,2.87934,1.72212,0.19365,0.06127,0.01556,0.00972,2.34158,15.5059,3.21708,0.009604,0.009604,0.009604
6,200.821,1.53239,2.74659,1.68454,0.65244,0.11389,0.0411,0.02526,1.83886,15.2625,2.31091,0.009505,0.009505,0.009505
7,230.909,1.49828,2.62682,1.64004,0.52205,0.10198,0.05324,0.02876,1.88348,11.1077,2.18633,0.009406,0.009406,0.009406
8,261.1,1.46352,2.6116,1.62348,0.46685,0.14209,0.07581,0.03982,1.69256,4.52268,2.07145,0.009307,0.009307,0.009307
9,291.084,1.46658,2.5089,1.62393,0.40771,0.22197,0.13985,0.0844,1.51736,2.78675,1.84139,0.009208,0.009208,0.009208
10,321.241,1.41871,2.47042,1.59904,0.25024,0.24759,0.08469,0.05065,1.46595,3.31869,1.79587,0.009109,0.009109,0.009109
11,351.743,1.45047,2.44112,1.61564,0.41653,0.23141,0.14063,0.0818,1.51424,4.12363,1.84312,0.00901,0.00901,0.00901
12,381.758,1.42199,2.38609,1.58547,0.42345,0.2067,0.10394,0.05499,1.52232,3.62317,1.81488,0.008911,0.008911,0.008911
13,411.619,1.40458,2.34681,1.57002,0.47477,0.15374,0.10709,0.06325,1.51222,4.5423,1.81897,0.008812,0.008812,0.008812
14,442.185,1.39575,2.31694,1.57911,0.53112,0.19656,0.1355,0.08165,1.55134,2.94503,1.87828,0.008713,0.008713,0.008713
15,471.719,1.38883,2.25326,1.55476,0.35995,0.26972,0.15443,0.09192,1.42622,2.47454,1.72818,0.008614,0.008614,0.008614
16,501.569,1.37381,2.23139,1.55029,0.32798,0.26055,0.18419,0.10084,1.43307,2.73321,1.77583,0.008515,0.008515,0.008515
17,531.819,1.35723,2.16586,1.54499,0.43098,0.25836,0.20407,0.12452,1.40599,2.39573,1.70633,0.008416,0.008416,0.008416
18,561.233,1.34187,2.11922,1.53221,0.40436,0.25318,0.2031,0.1093,1.45229,2.29968,1.77974,0.008317,0.008317,0.008317
19,590.828,1.35116,2.10687,1.52751,0.45093,0.24916,0.19699,0.11317,1.35965,2.56003,1.6629,0.008218,0.008218,0.008218
20,621.686,1.35471,2.14825,1.53821,0.34636,0.24759,0.17966,0.10314,1.34836,2.44057,1.66678,0.008119,0.008119,0.008119
21,651.625,1.32062,2.04038,1.50584,0.38154,0.34624,0.22258,0.12723,1.40579,2.31285,1.72255,0.00802,0.00802,0.00802
22,681.493,1.32864,2.10819,1.53772,0.55303,0.24645,0.25904,0.14697,1.33085,2.26663,1.65587,0.007921,0.007921,0.007921
23,712.574,1.32355,2.04213,1.51771,0.53262,0.22202,0.24888,0.15216,1.37937,2.17069,1.68563,0.007822,0.007822,0.007822
24,741.952,1.31013,1.96228,1.50158,0.372,0.29664,0.24247,0.14152,1.43417,2.12778,1.7493,0.007723,0.007723,0.007723
25,771.602,1.30815,1.95744,1.49308,0.40662,0.27406,0.24488,0.14137,1.3588,2.32564,1.66752,0.007624,0.007624,0.007624
26,801.685,1.30034,1.93274,1.47734,0.32888,0.36206,0.28463,0.16628,1.32211,1.9998,1.64516,0.007525,0.007525,0.007525
27,831.564,1.27802,1.87089,1.46372,0.29606,0.35081,0.25948,0.16002,1.32048,2.26431,1.63095,0.007426,0.007426,0.007426
