epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.2798,1.33387,4.12192,1.5542,0.55695,0.20123,0.18508,0.13127,1.03973,2.47063,1.34802,0.0706667,0.00325926,0.00325926
2,67.6678,1.09833,2.05047,1.32041,0.47289,0.43674,0.38304,0.25873,1.06059,3.0555,1.34241,0.0406014,0.00652733,0.00652733
3,98.9143,1.09443,1.67208,1.28328,0.35858,0.25784,0.18539,0.11645,1.33662,2.73269,1.62906,0.0104701,0.00972939,0.00972939
4,129.452,1.15074,1.75911,1.31714,0.51224,0.25256,0.20835,0.10863,1.3143,3.39737,1.68969,0.009703,0.009703,0.009703
5,159.144,1.18784,1.71501,1.34204,0.39869,0.23086,0.13177,0.06967,1.5481,5.11588,1.85389,0.009604,0.009604,0.009604
6,189.751,1.20093,1.64483,1.35896,0.54605,0.26242,0.20373,0.10857,1.36838,3.78903,1.67698,0.009505,0.009505,0.009505
7,220.053,1.182,1.53172,1.33829,0.61596,0.35506,0.39975,0.23685,1.30139,2.25086,1.59271,0.009406,0.009406,0.009406
8,250.701,1.1482,1.47506,1.33006,0.44704,0.371,0.34595,0.20068,1.25982,2.2874,1.55285,0.009307,0.009307,0.009307
9,281.255,1.14553,1.41785,1.33442,0.60098,0.32032,0.30682,0.20438,1.16389,2.19782,1.45788,0.009208,0.009208,0.009208
10,311.671,1.13425,1.39299,1.32567,0.52742,0.38394,0.33573,0.21518,1.29348,2.24854,1.64365,0.009109,0.009109,0.009109
11,342.278,1.13771,1.35416,1.32466,0.45897,0.58813,0.55061,0.34864,1.13655,1.55747,1.41298,0.00901,0.00901,0.00901
12,372.793,1.09985,1.28708,1.28825,0.48107,0.57387,0.55053,0.34702,1.11927,1.90872,1.40606,0.008911,0.008911,0.008911
13,402.781,1.09741,1.27202,1.29997,0.50218,0.59139,0.59704,0.39576,1.04469,1.50942,1.37632,0.008812,0.008812,0.008812
14,433.613,1.09899,1.20991,1.29558,0.50282,0.70012,0.65759,0.43897,1.07199,1.33113,1.37937,0.008713,0.008713,0.008713
15,463.013,1.07654,1.18122,1.27892,0.56759,0.60725,0.59781,0.40114,1.08326,1.37173,1.40412,0.008614,0.008614,0.008614
16,492.96,1.06663,1.15933,1.27153,0.55784,0.64258,0.65357,0.45365,1.00082,1.25121,1.31559,0.008515,0.008515,0.008515
