epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.0201,1.62357,3.05077,1.69993,0.49867,0.24039,0.21191,0.13794,1.56899,2.33063,1.75619,0.0669269,8.28901e-05,8.28901e-05
2,155.689,1.4963,2.28353,1.58832,0.56505,0.34307,0.36455,0.23248,1.54174,2.08862,1.71994,0.0336752,0.000164578,0.000164578
3,231.53,1.45171,2.07574,1.56014,0.60777,0.41208,0.43613,0.28706,1.46543,1.88809,1.658,0.00042192,0.000244616,0.000244616
4,306.905,1.42246,1.94367,1.53328,0.64712,0.45632,0.49094,0.33409,1.39185,1.73576,1.62978,0.000242575,0.000242575,0.000242575
5,382.425,1.37858,1.84682,1.50797,0.61949,0.51094,0.52233,0.35582,1.35991,1.61829,1.58383,0.0002401,0.0002401,0.0002401
6,457.783,1.3498,1.73192,1.48898,0.65598,0.49403,0.53039,0.36152,1.36195,1.59738,1.60613,0.000237625,0.000237625,0.000237625
7,533.919,1.31975,1.66489,1.46132,0.64326,0.51804,0.53973,0.37273,1.34683,1.56722,1.55693,0.00023515,0.00023515,0.00023515
8,609.145,1.28949,1.59965,1.44181,0.75186,0.51435,0.58605,0.40166,1.32534,1.48568,1.54694,0.000232675,0.000232675,0.000232675
9,684.283,1.28697,1.5818,1.43821,0.72214,0.54818,0.60217,0.42591,1.27322,1.39533,1.47177,0.0002302,0.0002302,0.0002302
10,759.74,1.27092,1.53329,1.42857,0.7577,0.56277,0.61925,0.44359,1.26291,1.36428,1.49282,0.000227725,0.000227725,0.000227725
11,835.143,1.24621,1.48352,1.41321,0.74504,0.54543,0.60865,0.43131,1.27402,1.36096,1.48343,0.00022525,0.00022525,0.00022525
12,910.492,1.23637,1.4494,1.40163,0.76116,0.56636,0.63426,0.45107,1.23771,1.30803,1.46957,0.000222775,0.000222775,0.000222775
13,985.168,1.23426,1.44058,1.40197,0.78415,0.58364,0.6413,0.45993,1.25677,1.319,1.46491,0.0002203,0.0002203,0.0002203
14,1060.11,1.20742,1.40059,1.38615,0.75456,0.60202,0.65039,0.47854,1.21333,1.29439,1.45163,0.000217825,0.000217825,0.000217825
15,1135.7,1.19527,1.38753,1.37475,0.80034,0.59444,0.65991,0.48285,1.19938,1.25502,1.43637,0.00021535,0.00021535,0.00021535
16,1212.05,1.17843,1.34528,1.36071,0.80591,0.60023,0.66183,0.48167,1.20779,1.26858,1.44976,0.000212875,0.000212875,0.000212875
17,1288.21,1.16535,1.31675,1.34865,0.81038,0.60533,0.66785,0.49186,1.18998,1.26548,1.44343,0.0002104,0.0002104,0.0002104
18,1363.48,1.15853,1.29944,1.35145,0.812,0.61884,0.67697,0.50363,1.16014,1.22069,1.42102,0.000207925,0.000207925,0.000207925
19,1439.14,1.125,1.24994,1.32638,0.82287,0.61101,0.67081,0.49476,1.18106,1.18032,1.42006,0.00020545,0.00020545,0.00020545
20,1515.49,1.14019,1.27077,1.34551,0.82622,0.59966,0.67089,0.49082,1.16239,1.20018,1.4191,0.000202975,0.000202975,0.000202975
21,1591.45,1.12798,1.2556,1.32632,0.81875,0.62685,0.68737,0.50738,1.14285,1.18025,1.4053,0.0002005,0.0002005,0.0002005
22,1667.44,1.11225,1.20043,1.31336,0.80921,0.60404,0.664,0.48775,1.17704,1.20867,1.40469,0.000198025,0.000198025,0.000198025
23,1743.34,1.11778,1.21153,1.317,0.8273,0.62019,0.68118,0.50962,1.14529,1.15165,1.39069,0.00019555,0.00019555,0.00019555
24,1819.6,1.09611,1.18856,1.31124,0.83348,0.63167,0.69092,0.51706,1.14098,1.14554,1.39947,0.000193075,0.000193075,0.000193075
25,1896.11,1.09203,1.17115,1.30246,0.81767,0.64612,0.69393,0.52161,1.14784,1.18237,1.42787,0.0001906,0.0001906,0.0001906
26,1973.12,1.08216,1.16359,1.29656,0.83313,0.63547,0.69426,0.52489,1.12795,1.15724,1.40485,0.000188125,0.000188125,0.000188125
27,2048.77,1.07298,1.14357,1.28867,0.87055,0.62935,0.69533,0.52673,1.1189,1.13408,1.38785,0.00018565,0.00018565,0.00018565
28,2125.3,1.06536,1.12464,1.28719,0.85787,0.63536,0.69958,0.52865,1.13165,1.13946,1.39888,0.000183175,0.000183175,0.000183175
29,2201.39,1.0534,1.10773,1.27631,0.83441,0.62995,0.69304,0.52495,1.11658,1.13211,1.3767,0.0001807,0.0001807,0.0001807
30,2277.58,1.04856,1.10167,1.27653,0.86988,0.63288,0.70607,0.53135,1.10067,1.10239,1.37048,0.000178225,0.000178225,0.000178225
31,2353.68,1.04602,1.08806,1.27544,0.84492,0.64387,0.70286,0.52838,1.10775,1.11792,1.377,0.00017575,0.00017575,0.00017575
32,2429.04,1.03822,1.09018,1.27546,0.86552,0.64335,0.71261,0.54144,1.09884,1.11139,1.38634,0.000173275,0.000173275,0.000173275
33,2504.43,1.04076,1.09412,1.27614,0.8724,0.64912,0.71493,0.54051,1.10541,1.08889,1.36806,0.0001708,0.0001708,0.0001708
34,2580.18,1.01683,1.04392,1.2561,0.84261,0.65946,0.71592,0.54521,1.08189,1.1029,1.36372,0.000168325,0.000168325,0.000168325
35,2656.03,1.02046,1.04441,1.25346,0.86962,0.65257,0.71166,0.54394,1.08744,1.0892,1.36236,0.00016585,0.00016585,0.00016585
36,2731.88,1.01272,1.03253,1.25034,0.87535,0.65014,0.71104,0.54778,1.09306,1.10882,1.37362,0.000163375,0.000163375,0.000163375
37,2808.13,0.99174,1.01262,1.23654,0.87685,0.66091,0.71709,0.55045,1.0881,1.08362,1.36691,0.0001609,0.0001609,0.0001609
38,2884.14,0.99163,1.01261,1.24193,0.88064,0.65842,0.72301,0.55203,1.07385,1.08042,1.34805,0.000158425,0.000158425,0.000158425
39,2960.11,0.99516,1.00662,1.24007,0.89002,0.6496,0.7208,0.551,1.0745,1.0595,1.35643,0.00015595,0.00015595,0.00015595
40,3035.72,0.98174,0.99165,1.23381,0.87293,0.65555,0.71728,0.55452,1.07396,1.08161,1.36034,0.000153475,0.000153475,0.000153475
41,3111.19,0.98098,0.98894,1.22824,0.87508,0.65563,0.71658,0.55157,1.07214,1.08677,1.36561,0.000151,0.000151,0.000151
42,3187.06,0.97727,0.97997,1.2293,0.88034,0.65586,0.71967,0.55708,1.07449,1.05825,1.35344,0.000148525,0.000148525,0.000148525
43,3262.66,0.9762,0.98231,1.22857,0.88765,0.65338,0.72188,0.55792,1.06515,1.06888,1.35135,0.00014605,0.00014605,0.00014605
44,3338.37,0.96257,0.96647,1.22536,0.87202,0.66124,0.72127,0.55737,1.05992,1.05208,1.34615,0.000143575,0.000143575,0.000143575
45,3413.99,0.95456,0.94807,1.21832,0.88349,0.66322,0.72454,0.56045,1.06058,1.05216,1.34197,0.0001411,0.0001411,0.0001411
46,3489.25,0.94665,0.93823,1.20288,0.88036,0.66694,0.72655,0.56495,1.0492,1.05694,1.33542,0.000138625,0.000138625,0.000138625
47,3565.5,0.94482,0.93031,1.20859,0.8808,0.66665,0.72,0.56034,1.05491,1.04971,1.34284,0.00013615,0.00013615,0.00013615
48,3642.06,0.93967,0.92033,1.20853,0.88996,0.65976,0.7228,0.5625,1.04715,1.04031,1.33906,0.000133675,0.000133675,0.000133675
49,3717.74,0.91958,0.89547,1.19238,0.89625,0.66038,0.72315,0.56504,1.04162,1.03342,1.33144,0.0001312,0.0001312,0.0001312
50,3793.82,0.91469,0.89151,1.18976,0.8859,0.67417,0.72862,0.56984,1.04,1.02926,1.32977,0.000128725,0.000128725,0.000128725
51,3870.28,0.92106,0.90054,1.1972,0.88051,0.67369,0.72815,0.5708,1.0425,1.03839,1.33515,0.00012625,0.00012625,0.00012625
52,3946.46,0.91005,0.8871,1.18766,0.88363,0.66659,0.72808,0.5706,1.04333,1.04033,1.33716,0.000123775,0.000123775,0.000123775
53,4022.78,0.91753,0.88727,1.19272,0.90356,0.66229,0.7299,0.56871,1.03711,1.03157,1.33742,0.0001213,0.0001213,0.0001213
54,4098.33,0.90826,0.88328,1.19083,0.87818,0.66817,0.72679,0.569,1.03761,1.02932,1.33048,0.000118825,0.000118825,0.000118825
55,4174.56,0.89524,0.85879,1.17525,0.91185,0.65898,0.7341,0.57477,1.03553,1.02781,1.34021,0.00011635,0.00011635,0.00011635
56,4250.14,0.89124,0.85354,1.17669,0.87768,0.67838,0.72998,0.56717,1.03579,1.01657,1.3276,0.000113875,0.000113875,0.000113875
57,4326.22,0.89207,0.85366,1.17646,0.9015,0.67324,0.73149,0.57748,1.02205,1.01851,1.32286,0.0001114,0.0001114,0.0001114
58,4402.59,0.88333,0.84042,1.16523,0.898,0.66285,0.72943,0.57496,1.02633,1.01981,1.32469,0.000108925,0.000108925,0.000108925
59,4478.39,0.86843,0.82479,1.16591,0.90369,0.67139,0.73318,0.57858,1.01885,1.01414,1.32569,0.00010645,0.00010645,0.00010645
60,4554.12,0.87592,0.8248,1.16416,0.88888,0.68022,0.73586,0.58126,1.02632,1.01254,1.33123,0.000103975,0.000103975,0.000103975
61,4629.72,0.86636,0.81278,1.15755,0.88191,0.68616,0.73695,0.584,1.01052,1.01633,1.32131,0.0001015,0.0001015,0.0001015
62,4705.49,0.85503,0.80418,1.15218,0.89291,0.67596,0.73735,0.58388,1.02219,1.02603,1.33283,9.9025e-05,9.9025e-05,9.9025e-05
63,4781.96,0.85396,0.80312,1.15327,0.91236,0.672,0.73106,0.58102,1.01723,1.02386,1.33005,9.655e-05,9.655e-05,9.655e-05
64,4857.98,0.85627,0.80096,1.15603,0.88032,0.68751,0.73001,0.58033,1.0138,1.01545,1.32744,9.4075e-05,9.4075e-05,9.4075e-05
65,4934.17,0.85278,0.79343,1.1524,0.90115,0.67805,0.73475,0.58685,1.01259,1.02091,1.32783,9.16e-05,9.16e-05,9.16e-05
66,5010.09,0.83757,0.78539,1.14689,0.907,0.67456,0.73863,0.58633,1.00897,1.01309,1.32845,8.9125e-05,8.9125e-05,8.9125e-05
67,5086.4,0.83924,0.77554,1.14229,0.89746,0.6816,0.7358,0.5831,1.01476,1.00909,1.32377,8.665e-05,8.665e-05,8.665e-05
68,5163.53,0.84408,0.7778,1.14844,0.8923,0.68508,0.73317,0.58371,1.01032,1.01565,1.31964,8.4175e-05,8.4175e-05,8.4175e-05
69,5239.82,0.82233,0.76479,1.13646,0.91646,0.66592,0.72825,0.5817,1.01323,1.01419,1.32587,8.17e-05,8.17e-05,8.17e-05
70,5315.81,0.82376,0.76193,1.13483,0.89978,0.68542,0.73555,0.58605,1.00593,1.01834,1.32193,7.9225e-05,7.9225e-05,7.9225e-05
71,5392.04,0.82437,0.75562,1.13343,0.91811,0.6816,0.74069,0.591,0.99832,1.01305,1.31722,7.675e-05,7.675e-05,7.675e-05
72,5470.21,0.82537,0.7572,1.13763,0.90307,0.68506,0.73516,0.59153,0.99186,1.00591,1.31824,7.4275e-05,7.4275e-05,7.4275e-05
73,5547.43,0.81273,0.74561,1.12797,0.91185,0.67456,0.73252,0.58653,0.99947,1.01678,1.31926,7.18e-05,7.18e-05,7.18e-05
74,5624.96,0.8079,0.73495,1.12469,0.91467,0.66984,0.73447,0.58691,0.99751,1.01481,1.31828,6.9325e-05,6.9325e-05,6.9325e-05
75,5702.72,0.80309,0.72884,1.12042,0.91453,0.66768,0.73324,0.58997,1.00142,1.02204,1.32131,6.685e-05,6.685e-05,6.685e-05
76,5780.33,0.79095,0.7157,1.1149,0.90574,0.67734,0.73549,0.59311,0.98962,1.00999,1.31094,6.4375e-05,6.4375e-05,6.4375e-05
77,5858.33,0.79979,0.73046,1.12164,0.90757,0.68122,0.73774,0.59415,0.98757,1.01167,1.31724,6.19e-05,6.19e-05,6.19e-05
78,5936.27,0.79167,0.7229,1.11111,0.92135,0.6733,0.73753,0.59384,0.99058,1.00642,1.31182,5.9425e-05,5.9425e-05,5.9425e-05
