epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.122,1.64473,3.14395,1.71134,0.48396,0.23617,0.2255,0.14781,1.56988,2.43006,1.76772,0.0669269,8.28901e-05,8.28901e-05
2,218.747,1.51728,2.30789,1.57595,0.58702,0.32989,0.33662,0.22156,1.45698,1.99831,1.61693,0.0336752,0.000164578,0.000164578
3,309.106,1.47961,2.11193,1.56031,0.61737,0.41466,0.43762,0.2902,1.39984,1.75492,1.59717,0.00042192,0.000244616,0.000244616
4,387.198,1.43244,2.00035,1.52904,0.65812,0.41981,0.45638,0.30526,1.37089,1.73609,1.59093,0.000242575,0.000242575,0.000242575
5,464.284,1.39661,1.87437,1.49759,0.63601,0.46871,0.50544,0.34214,1.35905,1.67818,1.57011,0.0002401,0.0002401,0.0002401
6,541.167,1.37013,1.79381,1.47345,0.69238,0.49843,0.54347,0.36406,1.34702,1.52504,1.5383,0.000237625,0.000237625,0.000237625
7,617.602,1.35257,1.77053,1.47193,0.68386,0.48609,0.54074,0.37401,1.30545,1.5095,1.52111,0.00023515,0.00023515,0.00023515
8,693.874,1.33175,1.68635,1.45014,0.68304,0.54582,0.58033,0.39927,1.28314,1.45924,1.49379,0.000232675,0.000232675,0.000232675
9,769.952,1.30987,1.65194,1.44617,0.72083,0.539,0.5847,0.40687,1.28305,1.39079,1.46592,0.0002302,0.0002302,0.0002302
10,845.513,1.31281,1.64042,1.43975,0.75089,0.54232,0.6148,0.4382,1.25096,1.36231,1.46153,0.000227725,0.000227725,0.000227725
11,921.901,1.28229,1.56586,1.41528,0.80034,0.53266,0.61466,0.43102,1.28907,1.41963,1.51905,0.00022525,0.00022525,0.00022525
12,998.571,1.26381,1.52071,1.40905,0.76789,0.57331,0.63223,0.44719,1.23235,1.29609,1.44377,0.000222775,0.000222775,0.000222775
13,1075.41,1.24738,1.50658,1.39566,0.77615,0.59451,0.65034,0.47125,1.21784,1.30173,1.43151,0.0002203,0.0002203,0.0002203
14,1151.72,1.24811,1.49193,1.39769,0.78026,0.56954,0.63369,0.46073,1.20575,1.27059,1.41523,0.000217825,0.000217825,0.000217825
15,1228.33,1.23055,1.45799,1.38087,0.78191,0.58985,0.65377,0.47283,1.2102,1.28436,1.44114,0.00021535,0.00021535,0.00021535
16,1304.79,1.21525,1.42714,1.36927,0.78522,0.59229,0.65814,0.47845,1.18309,1.24312,1.39787,0.000212875,0.000212875,0.000212875
17,1380.73,1.21609,1.42238,1.36728,0.84468,0.57889,0.66198,0.48423,1.18008,1.21633,1.41055,0.0002104,0.0002104,0.0002104
18,1457.09,1.19313,1.36961,1.35093,0.81142,0.6102,0.66895,0.49248,1.17189,1.18744,1.38963,0.000207925,0.000207925,0.000207925
19,1533.47,1.20202,1.38172,1.36076,0.80278,0.60186,0.66601,0.48519,1.18251,1.23353,1.42688,0.00020545,0.00020545,0.00020545
20,1609.7,1.1833,1.33627,1.33543,0.80668,0.60823,0.66825,0.49279,1.15618,1.17857,1.38251,0.000202975,0.000202975,0.000202975
21,1686.55,1.16522,1.32612,1.33291,0.83303,0.62272,0.6862,0.50529,1.15129,1.13675,1.36115,0.0002005,0.0002005,0.0002005
22,1762.54,1.16076,1.31455,1.32947,0.82741,0.61269,0.67739,0.49358,1.16446,1.212,1.40001,0.000198025,0.000198025,0.000198025
23,1838.64,1.15612,1.30014,1.32795,0.84603,0.61309,0.68607,0.5077,1.13365,1.16641,1.37356,0.00019555,0.00019555,0.00019555
