epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.643,1.64944,3.24093,1.75051,0.49475,0.22183,0.19517,0.12876,1.59584,2.61835,1.6906,0.0669269,8.28901e-05,8.28901e-05
2,230.156,1.51474,2.33583,1.60886,0.40831,0.36261,0.31199,0.20536,1.46652,2.18532,1.56936,0.0336752,0.000164578,0.000164578
3,308.542,1.45582,2.06727,1.55952,0.51444,0.41919,0.42195,0.27333,1.40127,1.81861,1.53187,0.00042192,0.000244616,0.000244616
4,385.588,1.40915,1.91544,1.52372,0.61801,0.44832,0.47439,0.32262,1.38102,1.71745,1.53223,0.000242575,0.000242575,0.000242575
5,462.708,1.35903,1.75001,1.48683,0.63438,0.50724,0.52943,0.36224,1.33778,1.5819,1.46769,0.0002401,0.0002401,0.0002401
6,538.29,1.32624,1.65293,1.45454,0.71985,0.4829,0.55479,0.38643,1.30417,1.49361,1.46019,0.000237625,0.000237625,0.000237625
7,615.09,1.308,1.61057,1.45293,0.6901,0.47982,0.534,0.37201,1.28143,1.493,1.43677,0.00023515,0.00023515,0.00023515
8,692.037,1.26977,1.5238,1.41968,0.73251,0.5351,0.58849,0.41761,1.28012,1.40138,1.41928,0.000232675,0.000232675,0.000232675
9,769.02,1.26043,1.47219,1.41839,0.75373,0.55905,0.60728,0.42302,1.27412,1.35779,1.40137,0.0002302,0.0002302,0.0002302
10,845.986,1.23609,1.42266,1.39412,0.73899,0.55373,0.60066,0.42944,1.24446,1.38011,1.42252,0.000227725,0.000227725,0.000227725
11,921.828,1.21822,1.39526,1.38793,0.7521,0.5736,0.61717,0.43943,1.22307,1.33113,1.39412,0.00022525,0.00022525,0.00022525
12,998.244,1.19984,1.32793,1.36055,0.80172,0.55737,0.63083,0.44711,1.23079,1.30156,1.37259,0.000222775,0.000222775,0.000222775
13,1074.91,1.1721,1.29913,1.35607,0.78142,0.56515,0.63035,0.45625,1.19486,1.30299,1.38215,0.0002203,0.0002203,0.0002203
14,1151.53,1.15879,1.26592,1.34545,0.76454,0.58691,0.63729,0.46467,1.18493,1.25837,1.35367,0.000217825,0.000217825,0.000217825
15,1228.25,1.14938,1.22246,1.33138,0.76974,0.59124,0.64857,0.47359,1.18458,1.24718,1.35952,0.00021535,0.00021535,0.00021535
16,1304.76,1.13173,1.20446,1.32478,0.80134,0.58873,0.64424,0.46796,1.17814,1.22529,1.35061,0.000212875,0.000212875,0.000212875
17,1380.82,1.11953,1.18847,1.31571,0.80586,0.59997,0.65757,0.48124,1.17507,1.21753,1.34515,0.0002104,0.0002104,0.0002104
18,1457.25,1.10958,1.15947,1.30699,0.7834,0.61142,0.65941,0.4915,1.15002,1.19407,1.33381,0.000207925,0.000207925,0.000207925
19,1534.07,1.08947,1.11213,1.28691,0.75702,0.60192,0.64896,0.48145,1.1481,1.19737,1.33792,0.00020545,0.00020545,0.00020545
20,1610.63,1.08004,1.11812,1.2911,0.82194,0.60937,0.66426,0.49098,1.15264,1.14657,1.32035,0.000202975,0.000202975,0.000202975
21,1686.71,1.07299,1.0921,1.27955,0.83881,0.60955,0.67919,0.50767,1.13073,1.15849,1.3219,0.0002005,0.0002005,0.0002005
22,1762.97,1.05703,1.0589,1.27091,0.84887,0.61768,0.68201,0.51034,1.12984,1.13036,1.31295,0.000198025,0.000198025,0.000198025
23,1839.83,1.04831,1.03455,1.26093,0.85515,0.60974,0.68162,0.51062,1.12208,1.15667,1.31836,0.00019555,0.00019555,0.00019555
24,1915.91,1.03166,1.00808,1.25156,0.85622,0.60727,0.68455,0.51342,1.1192,1.12266,1.30525,0.000193075,0.000193075,0.000193075
25,1992.24,1.03039,1.00973,1.25963,0.85926,0.62184,0.68894,0.5204,1.11425,1.12255,1.32113,0.0001906,0.0001906,0.0001906
26,2068.71,1.00179,0.98635,1.23905,0.83018,0.63163,0.68534,0.51979,1.10584,1.12363,1.30673,0.000188125,0.000188125,0.000188125
27,2145.22,1.00067,0.97864,1.23575,0.82291,0.62825,0.6842,0.51813,1.1054,1.10563,1.30176,0.00018565,0.00018565,0.00018565
28,2221.86,0.99603,0.95378,1.23185,0.85947,0.60708,0.68629,0.52012,1.10215,1.11638,1.30916,0.000183175,0.000183175,0.000183175
29,2297.71,0.98577,0.93674,1.22354,0.88585,0.61405,0.6935,0.52474,1.10764,1.11639,1.30632,0.0001807,0.0001807,0.0001807
30,2374.18,0.97155,0.92502,1.21926,0.86734,0.62338,0.69776,0.52824,1.0977,1.08572,1.29973,0.000178225,0.000178225,0.000178225
31,2449.82,0.9632,0.90795,1.21148,0.85845,0.63261,0.69681,0.53023,1.09532,1.09212,1.29603,0.00017575,0.00017575,0.00017575
32,2525.63,0.95544,0.90079,1.20741,0.82924,0.64521,0.70146,0.53232,1.09143,1.08271,1.2977,0.000173275,0.000173275,0.000173275
33,2601.97,0.93841,0.88463,1.19776,0.84444,0.63509,0.69569,0.53103,1.09446,1.08894,1.29556,0.0001708,0.0001708,0.0001708
34,2678.19,0.93402,0.86962,1.19434,0.85001,0.6327,0.70022,0.53703,1.08245,1.08043,1.29503,0.000168325,0.000168325,0.000168325
35,2754.39,0.92254,0.84926,1.18315,0.88725,0.62203,0.69745,0.53583,1.07477,1.06674,1.28433,0.00016585,0.00016585,0.00016585
36,2830.86,0.92155,0.82725,1.18014,0.84683,0.64956,0.702,0.54029,1.07416,1.08665,1.29489,0.000163375,0.000163375,0.000163375
37,2908.35,0.90377,0.82556,1.17603,0.86722,0.62746,0.69352,0.53489,1.08136,1.09713,1.30106,0.0001609,0.0001609,0.0001609
38,2984.82,0.90617,0.81034,1.17228,0.87122,0.63621,0.70274,0.54217,1.0684,1.08317,1.28696,0.000158425,0.000158425,0.000158425
39,3061.47,0.89309,0.80004,1.16953,0.88228,0.64003,0.70841,0.5528,1.06132,1.09378,1.28315,0.00015595,0.00015595,0.00015595
40,3137.78,0.87726,0.78046,1.16122,0.86803,0.65697,0.71341,0.55241,1.05648,1.08444,1.2812,0.000153475,0.000153475,0.000153475
41,3214.48,0.87065,0.76303,1.15312,0.88239,0.6449,0.70479,0.54893,1.05543,1.06999,1.27754,0.000151,0.000151,0.000151
42,3291.2,0.8667,0.75892,1.14803,0.85558,0.65058,0.69932,0.544,1.05979,1.08235,1.28411,0.000148525,0.000148525,0.000148525
43,3366.17,0.86034,0.75997,1.1492,0.87216,0.64381,0.70213,0.54793,1.05712,1.09137,1.29151,0.00014605,0.00014605,0.00014605
44,3442.49,0.85023,0.7454,1.14254,0.90348,0.63022,0.70406,0.55007,1.04755,1.0738,1.27879,0.000143575,0.000143575,0.000143575
45,3518.98,0.84243,0.73065,1.13733,0.89414,0.62841,0.70638,0.54794,1.04816,1.08468,1.27434,0.0001411,0.0001411,0.0001411
46,3595.49,0.83496,0.7216,1.13559,0.89571,0.64015,0.71127,0.55515,1.04907,1.0777,1.28862,0.000138625,0.000138625,0.000138625
47,3672.73,0.82275,0.71451,1.12151,0.8968,0.63808,0.70863,0.55219,1.04469,1.05993,1.28107,0.00013615,0.00013615,0.00013615
48,3748.16,0.82241,0.69527,1.11549,0.88805,0.63871,0.70532,0.55603,1.04862,1.07921,1.28682,0.000133675,0.000133675,0.000133675
49,3824.4,0.82056,0.69167,1.12151,0.88179,0.63814,0.70367,0.55119,1.04041,1.07147,1.28577,0.0001312,0.0001312,0.0001312
50,3900.77,0.80743,0.68674,1.11606,0.88728,0.64407,0.70953,0.55954,1.04074,1.06407,1.28394,0.000128725,0.000128725,0.000128725
51,3977.21,0.80074,0.67034,1.10774,0.87366,0.6496,0.70661,0.55582,1.0439,1.08064,1.28244,0.00012625,0.00012625,0.00012625
52,4053.27,0.79541,0.66647,1.1108,0.87996,0.63689,0.70376,0.55588,1.03506,1.06998,1.27934,0.000123775,0.000123775,0.000123775
53,4128.36,0.78523,0.65517,1.09619,0.89026,0.63389,0.70284,0.55147,1.03858,1.07382,1.28208,0.0001213,0.0001213,0.0001213
54,4204.33,0.77837,0.64668,1.09607,0.87636,0.64296,0.70844,0.56094,1.03219,1.07465,1.27366,0.000118825,0.000118825,0.000118825
55,4280.81,0.77307,0.63453,1.08909,0.88535,0.64428,0.70663,0.55685,1.03659,1.07232,1.28728,0.00011635,0.00011635,0.00011635
56,4356.46,0.76867,0.63385,1.0884,0.88623,0.64327,0.70725,0.56134,1.02534,1.06843,1.27845,0.000113875,0.000113875,0.000113875
57,4432.14,0.76117,0.62425,1.08804,0.87806,0.64797,0.70835,0.56124,1.02819,1.0731,1.28523,0.0001114,0.0001114,0.0001114
58,4506.93,0.75269,0.61413,1.08085,0.89644,0.63741,0.70296,0.55845,1.02558,1.06465,1.27595,0.000108925,0.000108925,0.000108925
59,4582.72,0.7479,0.60676,1.07514,0.88897,0.63954,0.70354,0.55711,1.03374,1.07811,1.28945,0.00010645,0.00010645,0.00010645
60,4658.22,0.74681,0.59893,1.07443,0.90287,0.63375,0.705,0.55788,1.01875,1.06393,1.27613,0.000103975,0.000103975,0.000103975
61,4733.56,0.73262,0.5848,1.06406,0.90954,0.63245,0.70253,0.56188,1.02038,1.07091,1.2806,0.0001015,0.0001015,0.0001015
62,4808.72,0.72437,0.57854,1.06192,0.88311,0.64743,0.70531,0.56613,1.01257,1.05723,1.27873,9.9025e-05,9.9025e-05,9.9025e-05
63,4884.54,0.7211,0.5674,1.05623,0.89816,0.64334,0.70956,0.56788,1.01394,1.07344,1.27733,9.655e-05,9.655e-05,9.655e-05
64,4960.47,0.71769,0.56965,1.05778,0.89807,0.64296,0.70844,0.56371,1.01955,1.06871,1.28879,9.4075e-05,9.4075e-05,9.4075e-05
65,5036.5,0.71045,0.56011,1.054,0.89734,0.64144,0.71054,0.57224,1.01574,1.07607,1.28812,9.16e-05,9.16e-05,9.16e-05
66,5112.06,0.69555,0.54665,1.0415,0.90221,0.64176,0.71136,0.5719,1.00952,1.07655,1.28329,8.9125e-05,8.9125e-05,8.9125e-05
67,5187.31,0.70336,0.54677,1.04482,0.90481,0.63441,0.70931,0.5731,1.00505,1.08339,1.28048,8.665e-05,8.665e-05,8.665e-05
