epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.7147,1.81071,3.37561,1.88353,0.45551,0.05743,0.04983,0.0306,2.0962,14.0775,2.73793,0.0685018,0.0016578,0.0016578
2,177.554,1.83691,3.11848,1.91474,0.56041,0.0645,0.04964,0.02986,2.01105,8.88221,2.25312,0.0368022,0.00329156,0.00329156
3,257.014,1.80987,3.02287,1.89638,0.31218,0.13405,0.06595,0.03786,1.85789,3.80057,2.15888,0.00506962,0.00489231,0.00489231
4,337.894,1.75783,2.85495,1.8428,0.26808,0.12721,0.06292,0.03634,1.88626,5.76582,2.17413,0.0048515,0.0048515,0.0048515
5,414.781,1.71208,2.75345,1.80897,0.47263,0.14726,0.10556,0.06351,1.74726,2.88605,2.02608,0.004802,0.004802,0.004802
6,492.325,1.68222,2.61884,1.76809,0.324,0.23188,0.14848,0.08859,1.72937,2.70766,1.97275,0.0047525,0.0047525,0.0047525
7,570.584,1.64176,2.53296,1.74636,0.37613,0.19124,0.16446,0.09799,1.68536,2.63466,1.90187,0.004703,0.004703,0.004703
8,648.512,1.61511,2.43164,1.72083,0.5081,0.24359,0.2261,0.1347,1.58711,2.2705,1.85727,0.0046535,0.0046535,0.0046535
9,726.347,1.60611,2.44002,1.72017,0.39465,0.15205,0.1233,0.07289,1.79336,5.52451,2.05962,0.004604,0.004604,0.004604
10,804.095,1.58891,2.3693,1.69927,0.38635,0.21842,0.1969,0.11269,1.70826,2.77895,2.01256,0.0045545,0.0045545,0.0045545
11,882.625,1.57455,2.33037,1.69375,0.36599,0.28592,0.22306,0.13881,1.54823,2.43019,1.80074,0.004505,0.004505,0.004505
12,964.174,1.55946,2.24441,1.67819,0.44306,0.30033,0.27453,0.16246,1.56541,2.293,1.85341,0.0044555,0.0044555,0.0044555
13,1042.99,1.55602,2.25032,1.67559,0.36236,0.33289,0.27063,0.16442,1.53122,2.0987,1.77922,0.004406,0.004406,0.004406
14,1131.23,1.53774,2.21631,1.66366,0.43762,0.31636,0.29928,0.1848,1.50993,1.95667,1.72913,0.0043565,0.0043565,0.0043565
15,1234.94,1.52629,2.18272,1.65433,0.44338,0.31912,0.30041,0.18143,1.50565,2.0701,1.75976,0.004307,0.004307,0.004307
16,1313.41,1.49303,2.11016,1.62757,0.5022,0.34238,0.3448,0.21627,1.48087,1.93151,1.73991,0.0042575,0.0042575,0.0042575
17,1397.26,1.47474,2.04633,1.6082,0.47528,0.37279,0.35802,0.22983,1.44811,1.86294,1.72036,0.004208,0.004208,0.004208
18,1481.51,1.46968,2.02954,1.60741,0.48973,0.35416,0.34376,0.21167,1.45729,1.91904,1.73326,0.0041585,0.0041585,0.0041585
19,1558.92,1.43775,1.96819,1.58155,0.47608,0.41446,0.38963,0.24364,1.43942,1.83872,1.70681,0.004109,0.004109,0.004109
20,1643.96,1.45897,1.99497,1.59567,0.51634,0.40025,0.39851,0.248,1.45485,1.87591,1.77225,0.0040595,0.0040595,0.0040595
21,1728.08,1.43531,1.9562,1.58208,0.52507,0.39311,0.4136,0.26265,1.42428,1.82486,1.6978,0.00401,0.00401,0.00401
22,1810.31,1.42191,1.90806,1.57103,0.46604,0.40358,0.37649,0.23073,1.49083,1.94255,1.76392,0.0039605,0.0039605,0.0039605
23,1887.56,1.42655,1.89969,1.56075,0.58115,0.41347,0.43783,0.28199,1.40675,1.72755,1.69034,0.003911,0.003911,0.003911
24,1971.29,1.40801,1.88814,1.5647,0.52125,0.43017,0.43689,0.28129,1.39271,1.71723,1.65428,0.0038615,0.0038615,0.0038615
25,2048.97,1.41066,1.87103,1.55578,0.58312,0.3939,0.42305,0.26931,1.42734,1.72752,1.68102,0.003812,0.003812,0.003812
26,2126.02,1.3878,1.85538,1.54299,0.55796,0.43648,0.44285,0.29459,1.37031,1.68484,1.62539,0.0037625,0.0037625,0.0037625
27,2209.67,1.37305,1.81476,1.5241,0.59961,0.41873,0.45036,0.2868,1.42981,1.7399,1.67744,0.003713,0.003713,0.003713
28,2287.72,1.37031,1.78954,1.52161,0.57088,0.42974,0.44986,0.29285,1.41022,1.79118,1.66823,0.0036635,0.0036635,0.0036635
29,2364.75,1.34103,1.73774,1.50647,0.59103,0.44528,0.4704,0.31073,1.37293,1.68136,1.6411,0.003614,0.003614,0.003614
30,2448.69,1.34697,1.75012,1.51082,0.65089,0.44342,0.4837,0.31596,1.35929,1.60263,1.63282,0.0035645,0.0035645,0.0035645
31,2531.4,1.34393,1.72754,1.50272,0.59671,0.48557,0.51122,0.34694,1.31053,1.53292,1.57916,0.003515,0.003515,0.003515
32,2620.04,1.33865,1.71065,1.50742,0.6241,0.48308,0.49917,0.32932,1.33212,1.54942,1.58279,0.0034655,0.0034655,0.0034655
33,2696.83,1.35024,1.73773,1.51848,0.64853,0.47596,0.5105,0.34948,1.32545,1.6245,1.59638,0.003416,0.003416,0.003416
34,2779.04,1.32837,1.67752,1.49309,0.63685,0.48252,0.52085,0.34983,1.30296,1.51074,1.575,0.0033665,0.0033665,0.0033665
35,2863.08,1.31587,1.66591,1.48194,0.62108,0.46434,0.50439,0.33934,1.31041,1.58366,1.59091,0.003317,0.003317,0.003317
36,2940.03,1.30849,1.64861,1.47569,0.65213,0.51074,0.54915,0.37791,1.2744,1.45056,1.54195,0.0032675,0.0032675,0.0032675
