epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.9167,1.63491,3.1095,1.69918,0.45099,0.19009,0.19072,0.11693,1.7146,2.64457,1.92303,0.0669269,8.28901e-05,8.28901e-05
2,158.766,1.50971,2.30008,1.59953,0.47371,0.36063,0.34464,0.22165,1.49501,2.0371,1.68472,0.0336752,0.000164578,0.000164578
3,235.382,1.45341,2.08947,1.56302,0.58496,0.37815,0.39227,0.25776,1.46628,1.94198,1.65979,0.00042192,0.000244616,0.000244616
4,311.644,1.42318,1.94955,1.53578,0.57905,0.47832,0.49119,0.3236,1.38757,1.67156,1.58893,0.000242575,0.000242575,0.000242575
5,387.362,1.38239,1.85969,1.50966,0.67377,0.45113,0.51259,0.3492,1.37135,1.64188,1.60108,0.0002401,0.0002401,0.0002401
6,463.083,1.35615,1.75118,1.48468,0.65691,0.48983,0.53411,0.36326,1.34186,1.5446,1.53794,0.000237625,0.000237625,0.000237625
7,539.467,1.32741,1.69432,1.46734,0.64578,0.51391,0.54643,0.3759,1.31254,1.5399,1.52835,0.00023515,0.00023515,0.00023515
8,615.667,1.28902,1.61097,1.44141,0.67084,0.51872,0.56221,0.38488,1.33108,1.55566,1.56414,0.000232675,0.000232675,0.000232675
9,692.32,1.2905,1.60602,1.44546,0.70536,0.55443,0.59776,0.41439,1.28408,1.45097,1.51833,0.0002302,0.0002302,0.0002302
10,769.623,1.27717,1.55709,1.43676,0.76618,0.54505,0.61614,0.42853,1.28649,1.3888,1.48471,0.000227725,0.000227725,0.000227725
11,847.976,1.26007,1.51366,1.42239,0.74091,0.52668,0.59585,0.42246,1.25744,1.37623,1.47848,0.00022525,0.00022525,0.00022525
12,924.277,1.2468,1.48294,1.41461,0.78878,0.56735,0.63837,0.45804,1.26415,1.37976,1.5074,0.000222775,0.000222775,0.000222775
13,1000.19,1.24141,1.46537,1.40894,0.74823,0.56705,0.63013,0.45089,1.23083,1.323,1.46304,0.0002203,0.0002203,0.0002203
14,1076.01,1.216,1.42966,1.39369,0.74855,0.59466,0.64066,0.45994,1.25056,1.33517,1.49224,0.000217825,0.000217825,0.000217825
15,1153.06,1.2092,1.414,1.38739,0.76525,0.60831,0.65071,0.46849,1.20844,1.30201,1.44959,0.00021535,0.00021535,0.00021535
16,1229.83,1.18815,1.37764,1.37287,0.81317,0.59728,0.65733,0.47333,1.20603,1.24976,1.45781,0.000212875,0.000212875,0.000212875
17,1307.94,1.16939,1.34506,1.35655,0.80419,0.60828,0.66392,0.48532,1.18304,1.25571,1.43472,0.0002104,0.0002104,0.0002104
18,1384.66,1.16263,1.32502,1.35722,0.79924,0.61613,0.66737,0.49123,1.18898,1.25194,1.44509,0.000207925,0.000207925,0.000207925
19,1462.87,1.14189,1.28211,1.34469,0.79923,0.61707,0.67763,0.49417,1.1798,1.2018,1.4272,0.00020545,0.00020545,0.00020545
20,1540.25,1.15448,1.29602,1.35274,0.79107,0.61444,0.66959,0.49181,1.18047,1.21293,1.43471,0.000202975,0.000202975,0.000202975
21,1617.09,1.13965,1.2756,1.34137,0.83038,0.61161,0.68106,0.50239,1.16046,1.18108,1.42316,0.0002005,0.0002005,0.0002005
22,1694.29,1.12428,1.23947,1.32717,0.8071,0.59621,0.66718,0.48371,1.18363,1.22027,1.41604,0.000198025,0.000198025,0.000198025
23,1771.1,1.12788,1.22772,1.32667,0.84118,0.62622,0.6923,0.51712,1.15053,1.16419,1.41438,0.00019555,0.00019555,0.00019555
24,1848.31,1.10597,1.20961,1.31894,0.8062,0.63436,0.68774,0.51176,1.14676,1.16654,1.40546,0.000193075,0.000193075,0.000193075
25,1924.72,1.0987,1.18703,1.30923,0.83898,0.62487,0.69505,0.51796,1.14287,1.16798,1.41709,0.0001906,0.0001906,0.0001906
26,2001.57,1.09557,1.18906,1.31311,0.84121,0.64581,0.70191,0.52556,1.13546,1.15282,1.41397,0.000188125,0.000188125,0.000188125
27,2078.05,1.08584,1.16767,1.29888,0.86239,0.63143,0.69822,0.52224,1.13062,1.13245,1.39066,0.00018565,0.00018565,0.00018565
28,2155.11,1.07755,1.14944,1.30196,0.84841,0.63777,0.70042,0.52587,1.12715,1.13025,1.39417,0.000183175,0.000183175,0.000183175
29,2232.46,1.06027,1.12039,1.28207,0.83964,0.63485,0.69567,0.51953,1.13611,1.15369,1.38347,0.0001807,0.0001807,0.0001807
30,2309.76,1.05829,1.12682,1.28644,0.83615,0.64955,0.70523,0.53163,1.11883,1.11603,1.38689,0.000178225,0.000178225,0.000178225
31,2386.6,1.0532,1.10988,1.28451,0.86181,0.65174,0.70998,0.53809,1.11224,1.10225,1.38156,0.00017575,0.00017575,0.00017575
32,2463.3,1.04948,1.11069,1.28722,0.84828,0.64459,0.71021,0.53877,1.10434,1.11468,1.39151,0.000173275,0.000173275,0.000173275
33,2540.12,1.04834,1.11424,1.28575,0.87606,0.63656,0.71415,0.53659,1.11631,1.10608,1.39026,0.0001708,0.0001708,0.0001708
34,2616.67,1.03669,1.07427,1.27273,0.85834,0.66754,0.72056,0.55082,1.09516,1.08277,1.37211,0.000168325,0.000168325,0.000168325
35,2693.43,1.02746,1.06766,1.26092,0.8543,0.6571,0.71069,0.53942,1.09944,1.12339,1.37702,0.00016585,0.00016585,0.00016585
36,2769.92,1.01788,1.05301,1.25928,0.88538,0.65754,0.72036,0.54774,1.09676,1.08942,1.3696,0.000163375,0.000163375,0.000163375
37,2846.7,1.01131,1.03638,1.25218,0.86482,0.66058,0.71765,0.54447,1.10344,1.07845,1.36899,0.0001609,0.0001609,0.0001609
38,2922.88,1.00947,1.03708,1.2577,0.8768,0.65248,0.72007,0.5484,1.09011,1.07829,1.3721,0.000158425,0.000158425,0.000158425
39,2998.46,1.01228,1.03459,1.24906,0.86872,0.65329,0.71845,0.54713,1.09528,1.06341,1.36504,0.00015595,0.00015595,0.00015595
40,3074.47,0.99872,1.02125,1.24584,0.86325,0.651,0.7127,0.54902,1.08796,1.08446,1.36644,0.000153475,0.000153475,0.000153475
41,3151.68,0.98891,1.01437,1.23853,0.88481,0.66332,0.72437,0.5528,1.08011,1.0608,1.35975,0.000151,0.000151,0.000151
42,3228.47,0.99044,1.00015,1.23881,0.87752,0.65747,0.72232,0.55305,1.07269,1.06973,1.35893,0.000148525,0.000148525,0.000148525
43,3304.04,0.98409,1.00637,1.23633,0.89252,0.65012,0.72134,0.55924,1.0668,1.06662,1.35334,0.00014605,0.00014605,0.00014605
44,3380.04,0.97307,0.98687,1.23308,0.88864,0.65712,0.71726,0.55445,1.06404,1.05986,1.35289,0.000143575,0.000143575,0.000143575
45,3456.71,0.96634,0.96907,1.2289,0.90204,0.66457,0.73031,0.56634,1.06415,1.06885,1.35806,0.0001411,0.0001411,0.0001411
46,3533.32,0.96186,0.95623,1.21639,0.88504,0.66975,0.72222,0.55865,1.06257,1.05456,1.34675,0.000138625,0.000138625,0.000138625
47,3609.38,0.95832,0.9571,1.21783,0.88112,0.66684,0.72201,0.56187,1.06642,1.04048,1.34636,0.00013615,0.00013615,0.00013615
48,3685.74,0.95112,0.94218,1.21853,0.89462,0.65828,0.72961,0.5618,1.06015,1.03821,1.35055,0.000133675,0.000133675,0.000133675
49,3763.13,0.93533,0.92098,1.20486,0.89067,0.66975,0.73126,0.56343,1.04914,1.03851,1.3415,0.0001312,0.0001312,0.0001312
50,3840.16,0.92916,0.91098,1.20122,0.87087,0.66513,0.72065,0.55436,1.06452,1.04717,1.35185,0.000128725,0.000128725,0.000128725
51,3917.03,0.93368,0.92786,1.20791,0.89675,0.66922,0.72887,0.56872,1.04264,1.02944,1.34658,0.00012625,0.00012625,0.00012625
52,3993.68,0.91827,0.90806,1.19704,0.89067,0.66557,0.72963,0.56828,1.05076,1.04079,1.34013,0.000123775,0.000123775,0.000123775
53,4070.82,0.93058,0.91381,1.20681,0.88608,0.67074,0.73138,0.57423,1.04644,1.04021,1.34079,0.0001213,0.0001213,0.0001213
54,4146.88,0.9201,0.91014,1.20348,0.87644,0.6748,0.72639,0.56799,1.0363,1.02519,1.33816,0.000118825,0.000118825,0.000118825
55,4223.61,0.90775,0.88006,1.18531,0.89733,0.67202,0.72816,0.57265,1.03812,1.02322,1.33986,0.00011635,0.00011635,0.00011635
56,4300.27,0.8964,0.87331,1.18376,0.89029,0.6738,0.72853,0.57449,1.03504,1.02886,1.3412,0.000113875,0.000113875,0.000113875
