epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.496,1.60025,3.45314,1.70398,0.36458,0.29057,0.24019,0.16437,1.44453,2.29546,1.64786,0.0701596,0.0033156,0.0033156
2,178.589,1.45424,2.26499,1.52592,0.57079,0.34436,0.36766,0.2353,1.47768,2.01479,1.63395,0.0400937,0.00658311,0.00658311
3,254.28,1.48289,2.19834,1.52868,0.53204,0.22969,0.23089,0.14273,1.60605,2.75215,1.78339,0.00996193,0.00978462,0.00978462
4,329.938,1.54033,2.24011,1.56313,0.42664,0.18682,0.15832,0.09839,1.66277,3.06076,1.8452,0.009703,0.009703,0.009703
5,406.53,1.52146,2.16272,1.56614,0.42664,0.3187,0.30246,0.18999,1.52155,2.22496,1.70625,0.009604,0.009604,0.009604
6,482.401,1.49994,2.0854,1.54248,0.48939,0.34919,0.34432,0.21655,1.51958,2.03839,1.68274,0.009505,0.009505,0.009505
7,557.786,1.45844,1.97242,1.51192,0.48779,0.24171,0.25811,0.15373,1.61333,2.71253,1.78964,0.009406,0.009406,0.009406
8,633.896,1.42405,1.8727,1.49279,0.59988,0.4018,0.42626,0.28111,1.43217,1.79609,1.60495,0.009307,0.009307,0.009307
9,709.14,1.42792,1.86807,1.50424,0.53487,0.39413,0.41052,0.26552,1.48551,1.88507,1.6587,0.009208,0.009208,0.009208
10,784.473,1.40139,1.80194,1.4814,0.62329,0.41762,0.439,0.27533,1.50881,1.84326,1.70559,0.009109,0.009109,0.009109
11,861.105,1.38934,1.7638,1.46662,0.58203,0.41449,0.44229,0.29268,1.40489,1.82854,1.57954,0.00901,0.00901,0.00901
12,936.923,1.36896,1.7091,1.45541,0.65448,0.50481,0.54143,0.36581,1.33069,1.53416,1.50917,0.008911,0.008911,0.008911
13,1012.33,1.35641,1.67083,1.44412,0.66108,0.4929,0.53122,0.36645,1.32939,1.51322,1.49908,0.008812,0.008812,0.008812
14,1087.51,1.33408,1.62933,1.43369,0.69957,0.50793,0.56041,0.38305,1.33339,1.51491,1.51548,0.008713,0.008713,0.008713
15,1163.2,1.32832,1.61076,1.41578,0.68255,0.51365,0.56372,0.39139,1.28992,1.47714,1.48232,0.008614,0.008614,0.008614
16,1238.88,1.30014,1.56936,1.40452,0.76813,0.48728,0.56259,0.38013,1.33828,1.52405,1.51547,0.008515,0.008515,0.008515
17,1315,1.2894,1.53327,1.39372,0.75354,0.54381,0.60758,0.4284,1.25723,1.37828,1.46174,0.008416,0.008416,0.008416
18,1389.43,1.27265,1.49146,1.38707,0.7547,0.52585,0.59432,0.41909,1.25784,1.35918,1.4525,0.008317,0.008317,0.008317
19,1464.24,1.25466,1.44165,1.36749,0.77135,0.55276,0.62081,0.43557,1.25645,1.32143,1.45187,0.008218,0.008218,0.008218
20,1539.78,1.25994,1.4586,1.37681,0.75859,0.56576,0.61815,0.43474,1.25179,1.31995,1.4446,0.008119,0.008119,0.008119
21,1615.18,1.24982,1.44698,1.3694,0.69642,0.56242,0.59942,0.42156,1.27139,1.42458,1.47211,0.00802,0.00802,0.00802
22,1690.67,1.23605,1.40898,1.35802,0.75867,0.55091,0.61198,0.43897,1.24406,1.34003,1.46227,0.007921,0.007921,0.007921
23,1766.39,1.23419,1.40831,1.35318,0.77286,0.56448,0.61327,0.44,1.21831,1.31233,1.42531,0.007822,0.007822,0.007822
24,1840.95,1.21426,1.37857,1.34699,0.76403,0.56475,0.63301,0.45477,1.20339,1.26875,1.40928,0.007723,0.007723,0.007723
25,1916.31,1.20293,1.34837,1.33388,0.77257,0.57287,0.64163,0.46432,1.2078,1.26781,1.41809,0.007624,0.007624,0.007624
26,1991.91,1.19388,1.34855,1.33421,0.75825,0.53333,0.58594,0.40685,1.28559,1.47482,1.50138,0.007525,0.007525,0.007525
27,2066.87,1.18624,1.30616,1.32111,0.8006,0.60098,0.65975,0.48018,1.18743,1.2321,1.39338,0.007426,0.007426,0.007426
28,2142.2,1.17584,1.29247,1.31585,0.81512,0.59812,0.66136,0.48761,1.18025,1.22659,1.39623,0.007327,0.007327,0.007327
29,2216.93,1.15801,1.27053,1.3064,0.82075,0.5966,0.6665,0.49135,1.17167,1.2068,1.38459,0.007228,0.007228,0.007228
30,2291.99,1.15884,1.26673,1.31125,0.78452,0.60188,0.66069,0.47882,1.18251,1.22153,1.40359,0.007129,0.007129,0.007129
31,2366.83,1.15509,1.24942,1.30464,0.83371,0.6037,0.67469,0.50084,1.15724,1.17621,1.3755,0.00703,0.00703,0.00703
32,2441.64,1.14666,1.23982,1.30577,0.81302,0.58659,0.64889,0.48039,1.15607,1.198,1.37788,0.006931,0.006931,0.006931
33,2516,1.14776,1.24647,1.31127,0.81936,0.61424,0.67838,0.49868,1.15963,1.15465,1.36751,0.006832,0.006832,0.006832
34,2590.76,1.13215,1.20295,1.28918,0.83568,0.60209,0.68117,0.50368,1.14828,1.14969,1.35792,0.006733,0.006733,0.006733
35,2665.97,1.12563,1.1951,1.28438,0.85781,0.60282,0.68488,0.50573,1.13704,1.14095,1.35867,0.006634,0.006634,0.006634
36,2741.03,1.1102,1.1717,1.27341,0.85853,0.60282,0.67968,0.49957,1.1589,1.1978,1.39066,0.006535,0.006535,0.006535
37,2815.85,1.10181,1.16866,1.26981,0.82844,0.61979,0.68768,0.50987,1.13418,1.1479,1.35626,0.006436,0.006436,0.006436
38,2889.77,1.09627,1.16193,1.27246,0.84709,0.61892,0.69545,0.52249,1.11852,1.12012,1.34471,0.006337,0.006337,0.006337
39,2964.82,1.09714,1.15891,1.26966,0.84023,0.5893,0.67822,0.5096,1.12331,1.15403,1.36359,0.006238,0.006238,0.006238
40,3039.07,1.08696,1.13097,1.26055,0.83422,0.608,0.67325,0.49509,1.14612,1.18853,1.38161,0.006139,0.006139,0.006139
41,3113.77,1.07765,1.13052,1.25734,0.84599,0.61754,0.69105,0.51946,1.10541,1.12375,1.34038,0.00604,0.00604,0.00604
42,3188.33,1.07245,1.11998,1.25366,0.84863,0.63336,0.70031,0.52803,1.11184,1.11527,1.34805,0.005941,0.005941,0.005941
43,3263.62,1.07898,1.12172,1.2566,0.87621,0.62294,0.70402,0.53139,1.10477,1.10718,1.33888,0.005842,0.005842,0.005842
44,3339.59,1.06378,1.10447,1.25456,0.85703,0.63434,0.70281,0.53252,1.09235,1.10103,1.33731,0.005743,0.005743,0.005743
45,3415.12,1.04803,1.07912,1.23706,0.85787,0.63935,0.70424,0.53409,1.09557,1.09643,1.33096,0.005644,0.005644,0.005644
46,3489.89,1.04098,1.06894,1.23005,0.864,0.63123,0.70782,0.53666,1.08914,1.10373,1.33625,0.005545,0.005545,0.005545
47,3564.33,1.04162,1.06451,1.23341,0.85702,0.62997,0.70594,0.53873,1.1032,1.10973,1.34632,0.005446,0.005446,0.005446
48,3639.17,1.03048,1.04786,1.23122,0.85253,0.63812,0.71056,0.54647,1.09163,1.0846,1.33674,0.005347,0.005347,0.005347
49,3714.38,1.00892,1.0119,1.21417,0.86634,0.64454,0.71611,0.54736,1.0846,1.07173,1.32464,0.005248,0.005248,0.005248
50,3789.69,1.00163,1.017,1.20984,0.87411,0.6462,0.71557,0.54948,1.07283,1.04951,1.308,0.005149,0.005149,0.005149
51,3864.7,1.007,1.02425,1.2186,0.87688,0.63504,0.71471,0.54726,1.08331,1.09199,1.34167,0.00505,0.00505,0.00505
52,3939.03,0.99331,0.99961,1.20667,0.88741,0.65115,0.7238,0.55786,1.05715,1.05288,1.30701,0.004951,0.004951,0.004951
53,4014.63,1.00012,1.00357,1.214,0.86541,0.65234,0.72036,0.55488,1.06124,1.05179,1.30878,0.004852,0.004852,0.004852
54,4089.96,0.99871,1.00085,1.21285,0.85435,0.65927,0.72354,0.56053,1.06113,1.05057,1.31257,0.004753,0.004753,0.004753
55,4165.3,0.98315,0.98051,1.19547,0.87145,0.65722,0.72313,0.55912,1.05936,1.0533,1.3245,0.004654,0.004654,0.004654
56,4240.11,0.97517,0.9722,1.19726,0.88317,0.65883,0.73026,0.56538,1.05226,1.02128,1.30169,0.004555,0.004555,0.004555
57,4314.31,0.975,0.96576,1.19855,0.87965,0.65568,0.72789,0.56427,1.0538,1.0483,1.31253,0.004456,0.004456,0.004456
58,4389.8,0.96155,0.94671,1.18513,0.89677,0.64676,0.72645,0.56425,1.04176,1.05333,1.3061,0.004357,0.004357,0.004357
59,4465.3,0.9489,0.92184,1.18375,0.89525,0.65897,0.72852,0.56822,1.0475,1.03377,1.31398,0.004258,0.004258,0.004258
60,4540.71,0.95409,0.9241,1.18196,0.89217,0.65963,0.72562,0.569,1.03801,1.0249,1.30022,0.004159,0.004159,0.004159
61,4615.15,0.94425,0.91705,1.17373,0.88473,0.65734,0.72837,0.56402,1.05854,1.06086,1.32687,0.00406,0.00406,0.00406
62,4689.15,0.92762,0.89556,1.16635,0.90749,0.65591,0.73284,0.57402,1.03373,1.01304,1.30292,0.003961,0.003961,0.003961
63,4763.14,0.93182,0.90707,1.17206,0.88614,0.66647,0.73107,0.57288,1.03531,1.01906,1.30746,0.003862,0.003862,0.003862
64,4837.62,0.93425,0.89705,1.17611,0.88918,0.66659,0.73165,0.57329,1.0242,1.01552,1.29375,0.003763,0.003763,0.003763
65,4910.78,0.92484,0.88876,1.1701,0.89914,0.66231,0.73713,0.57727,1.03034,1.01678,1.30861,0.003664,0.003664,0.003664
66,4985.19,0.91538,0.88043,1.16617,0.89561,0.6571,0.7333,0.57694,1.0229,1.00523,1.29709,0.003565,0.003565,0.003565
67,5059.4,0.9083,0.87044,1.1583,0.89236,0.6647,0.72917,0.57238,1.02576,1.00856,1.29721,0.003466,0.003466,0.003466
68,5133.51,0.90618,0.86514,1.15581,0.90361,0.66418,0.73436,0.57845,1.01784,1.01084,1.29258,0.003367,0.003367,0.003367
69,5206.95,0.89172,0.84257,1.14529,0.87149,0.67446,0.73061,0.58124,1.00943,1.00252,1.29035,0.003268,0.003268,0.003268
70,5281.9,0.89391,0.84631,1.1508,0.90855,0.66492,0.73685,0.58465,1.01362,1.00735,1.29558,0.003169,0.003169,0.003169
71,5356.68,0.89293,0.84004,1.14691,0.90411,0.67414,0.73924,0.58523,1.0182,1.00791,1.29509,0.00307,0.00307,0.00307
72,5431.51,0.88627,0.83892,1.14553,0.87847,0.67304,0.7354,0.58312,1.00794,0.98984,1.28161,0.002971,0.002971,0.002971
73,5505.62,0.87637,0.82726,1.14034,0.89667,0.67295,0.73764,0.5869,1.00558,0.99434,1.28828,0.002872,0.002872,0.002872
74,5580.57,0.86786,0.81197,1.13736,0.88384,0.68022,0.73682,0.58662,1.00338,0.99354,1.28729,0.002773,0.002773,0.002773
75,5655.64,0.86158,0.80478,1.13069,0.90871,0.66934,0.73837,0.58929,1.00213,0.99421,1.28898,0.002674,0.002674,0.002674
76,5730.63,0.8518,0.78534,1.1229,0.90316,0.66676,0.73882,0.59164,0.9898,0.99619,1.27885,0.002575,0.002575,0.002575
77,5805.86,0.8629,0.80629,1.13638,0.90655,0.66856,0.73912,0.59322,0.99627,0.99757,1.2852,0.002476,0.002476,0.002476
78,5881.7,0.8492,0.7932,1.12358,0.91051,0.66269,0.73511,0.59054,0.99567,1.00364,1.28202,0.002377,0.002377,0.002377
79,5956.85,0.8425,0.78138,1.12451,0.89844,0.67728,0.73856,0.59225,0.98968,0.9945,1.28381,0.002278,0.002278,0.002278
80,6032.99,0.83953,0.76926,1.11665,0.89372,0.68183,0.73943,0.59161,0.99004,0.98719,1.27931,0.002179,0.002179,0.002179
81,6108.36,0.83416,0.76767,1.12009,0.89916,0.6746,0.73969,0.59423,0.98208,0.97891,1.2758,0.00208,0.00208,0.00208
82,6182.88,0.83769,0.77183,1.11923,0.91229,0.67144,0.74141,0.59538,0.9787,0.98094,1.26538,0.001981,0.001981,0.001981
83,6257.22,0.82484,0.75481,1.11379,0.91001,0.68075,0.74324,0.59722,0.98115,0.97554,1.2766,0.001882,0.001882,0.001882
84,6331.71,0.81596,0.73906,1.10607,0.90899,0.67588,0.73948,0.5945,0.98382,0.97616,1.28484,0.001783,0.001783,0.001783
85,6406.71,0.81517,0.74724,1.11405,0.92352,0.67018,0.74177,0.59778,0.97567,0.98218,1.28078,0.001684,0.001684,0.001684
86,6481.75,0.80632,0.74384,1.1071,0.93278,0.66548,0.74164,0.59833,0.97093,0.9793,1.27158,0.001585,0.001585,0.001585
87,6555.92,0.80136,0.72378,1.1017,0.91446,0.68119,0.74309,0.60185,0.97296,0.97816,1.28102,0.001486,0.001486,0.001486
88,6628.99,0.78982,0.716,1.0974,0.90311,0.68419,0.74171,0.59716,0.97328,0.97827,1.27743,0.001387,0.001387,0.001387
89,6703.26,0.80218,0.72321,1.10396,0.91114,0.67493,0.74187,0.59578,0.96971,0.97202,1.27575,0.001288,0.001288,0.001288
90,6777.89,0.78344,0.70343,1.08754,0.91107,0.67142,0.73885,0.60036,0.9677,0.97599,1.27367,0.001189,0.001189,0.001189
91,6852.62,0.71495,0.61153,1.07943,0.90939,0.67627,0.73847,0.59815,0.97433,0.9728,1.28451,0.00109,0.00109,0.00109
92,6924.95,0.69849,0.58982,1.07164,0.92967,0.66604,0.73858,0.59942,0.96584,0.97259,1.27776,0.000991,0.000991,0.000991
93,6996.88,0.69375,0.57975,1.07182,0.92045,0.67741,0.74029,0.59984,0.9646,0.97261,1.27848,0.000892,0.000892,0.000892
94,7068.31,0.68551,0.56745,1.06785,0.91684,0.67318,0.74099,0.60254,0.96268,0.97501,1.28109,0.000793,0.000793,0.000793
95,7140.62,0.67851,0.56425,1.05966,0.90665,0.67287,0.73843,0.60132,0.9612,0.97705,1.27982,0.000694,0.000694,0.000694
96,7213.15,0.66631,0.54803,1.0533,0.92198,0.67003,0.73817,0.60098,0.95865,0.97421,1.27732,0.000595,0.000595,0.000595
97,7284.91,0.66521,0.54924,1.05178,0.90769,0.67755,0.73744,0.60071,0.95752,0.97157,1.27662,0.000496,0.000496,0.000496
98,7357.23,0.66206,0.54948,1.05518,0.91106,0.67542,0.73808,0.60359,0.95698,0.97201,1.27709,0.000397,0.000397,0.000397
99,7428.91,0.65361,0.53583,1.04687,0.92079,0.674,0.73699,0.60334,0.95564,0.97171,1.27682,0.000298,0.000298,0.000298
100,7501.66,0.65893,0.55245,1.05537,0.92118,0.67313,0.73604,0.60354,0.95392,0.97032,1.27648,0.000199,0.000199,0.000199
