epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.438,3.21485,7.12064,3.18071,0.3397,0.14598,0.13733,0.09342,3.05536,5.29969,3.342,0.0669269,8.28901e-05,8.28901e-05
2,210.444,3.03995,5.07061,3.01539,0.41115,0.26793,0.2365,0.15583,2.92402,4.34467,3.12321,0.0336752,0.000164578,0.000164578
3,299.799,2.94796,4.64475,2.95193,0.48075,0.31632,0.32285,0.21347,2.83186,4.03594,3.08935,0.00042192,0.000244616,0.000244616
4,388.728,2.89495,4.37013,2.90794,0.53383,0.34129,0.34329,0.22122,2.89435,3.98035,3.16967,0.000242575,0.000242575,0.000242575
5,477.906,2.83463,4.21777,2.88624,0.55655,0.3894,0.40413,0.27074,2.76997,3.68706,3.04817,0.0002401,0.0002401,0.0002401
6,567.287,2.78468,4.03268,2.84177,0.57671,0.39262,0.42602,0.28958,2.72596,3.71303,2.99242,0.000237625,0.000237625,0.000237625
7,657.213,2.73414,3.91865,2.8145,0.5507,0.45421,0.46779,0.31437,2.6945,3.58467,3.00745,0.00023515,0.00023515,0.00023515
8,746.473,2.6833,3.74888,2.79151,0.65436,0.45874,0.50034,0.34727,2.6463,3.33138,2.95492,0.000232675,0.000232675,0.000232675
9,834.572,2.66967,3.73914,2.79407,0.66136,0.48758,0.52617,0.37051,2.62282,3.30426,2.97409,0.0002302,0.0002302,0.0002302
10,923.357,2.65521,3.5973,2.76717,0.69455,0.51733,0.55793,0.38934,2.56515,3.11699,2.87398,0.000227725,0.000227725,0.000227725
11,1012.27,2.61305,3.52813,2.74225,0.66342,0.5212,0.54553,0.38194,2.5777,3.13555,2.86335,0.00022525,0.00022525,0.00022525
12,1100.97,2.58473,3.44948,2.736,0.67574,0.52054,0.56422,0.39565,2.55007,3.06326,2.85475,0.000222775,0.000222775,0.000222775
13,1189.81,2.58393,3.41256,2.72478,0.66625,0.54083,0.58882,0.41093,2.5328,2.96577,2.83508,0.0002203,0.0002203,0.0002203
14,1278.84,2.53629,3.31101,2.70255,0.73256,0.53654,0.5962,0.42227,2.50206,2.9853,2.84957,0.000217825,0.000217825,0.000217825
15,1367.8,2.53317,3.29378,2.6863,0.72584,0.54515,0.59644,0.42254,2.48622,2.94689,2.78393,0.00021535,0.00021535,0.00021535
16,1456.3,2.48731,3.20428,2.66598,0.77169,0.55856,0.61813,0.44534,2.43979,2.82829,2.78062,0.000212875,0.000212875,0.000212875
17,1546.21,2.44116,3.13876,2.62741,0.75213,0.55838,0.62046,0.45252,2.41856,2.88904,2.7759,0.0002104,0.0002104,0.0002104
18,1636.27,2.42175,3.0876,2.63869,0.72948,0.56902,0.6197,0.44925,2.42599,2.8538,2.79792,0.000207925,0.000207925,0.000207925
19,1726.28,2.37913,2.98587,2.60226,0.7675,0.57185,0.62551,0.44996,2.41504,2.77901,2.77272,0.00020545,0.00020545,0.00020545
20,1816.38,2.41491,3.03694,2.61654,0.78294,0.56998,0.63676,0.46637,2.41971,2.7856,2.78305,0.000202975,0.000202975,0.000202975
21,1907.14,2.39027,2.98523,2.60747,0.78469,0.57813,0.64079,0.47374,2.38784,2.71323,2.72967,0.0002005,0.0002005,0.0002005
22,1997.41,2.36079,2.91314,2.58727,0.76082,0.59196,0.63977,0.46768,2.41697,2.79195,2.79841,0.000198025,0.000198025,0.000198025
23,2087.81,2.37011,2.91703,2.58225,0.78261,0.58412,0.64838,0.47718,2.36379,2.73264,2.72893,0.00019555,0.00019555,0.00019555
24,2177.94,2.29524,2.83336,2.56449,0.80594,0.60458,0.65639,0.4871,2.33769,2.64572,2.70202,0.000193075,0.000193075,0.000193075
25,2268.39,2.3084,2.8003,2.55503,0.79038,0.61302,0.66731,0.49814,2.33728,2.66785,2.74755,0.0001906,0.0001906,0.0001906
26,2358.95,2.29017,2.80426,2.55238,0.81278,0.60893,0.67348,0.50771,2.31147,2.63749,2.73412,0.000188125,0.000188125,0.000188125
27,2449.72,2.26678,2.73985,2.53757,0.81222,0.59461,0.66626,0.49906,2.33254,2.5848,2.70342,0.00018565,0.00018565,0.00018565
28,2540.57,2.24608,2.68812,2.52352,0.80357,0.61239,0.67865,0.50824,2.29393,2.56542,2.69913,0.000183175,0.000183175,0.000183175
29,2630.83,2.21985,2.61633,2.50078,0.82191,0.59634,0.66851,0.49757,2.31947,2.57162,2.67113,0.0001807,0.0001807,0.0001807
30,2720.59,2.22156,2.63662,2.50686,0.80567,0.60886,0.67266,0.50826,2.29282,2.54155,2.68807,0.000178225,0.000178225,0.000178225
31,2810.47,2.21512,2.63123,2.51058,0.80749,0.6016,0.66568,0.5049,2.27618,2.56711,2.67278,0.00017575,0.00017575,0.00017575
32,2900.47,2.18013,2.59297,2.50073,0.81476,0.61444,0.68312,0.52034,2.2576,2.54529,2.68382,0.000173275,0.000173275,0.000173275
33,2993,2.18724,2.59437,2.51289,0.82386,0.62824,0.68889,0.52031,2.26346,2.53409,2.69489,0.0001708,0.0001708,0.0001708
34,3083.86,2.16644,2.5137,2.47344,0.80901,0.63403,0.68926,0.52139,2.25337,2.52726,2.66899,0.000168325,0.000168325,0.000168325
35,3174.06,2.16138,2.50114,2.47216,0.82718,0.62703,0.69116,0.52209,2.24341,2.48015,2.64717,0.00016585,0.00016585,0.00016585
36,3264.48,2.13216,2.45733,2.46064,0.84483,0.63033,0.69163,0.52764,2.2399,2.45399,2.65461,0.000163375,0.000163375,0.000163375
