epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.519,1.5936,3.59931,1.67379,0.50247,0.30967,0.30594,0.21048,1.44775,2.05305,1.60236,8.28901e-05,8.28901e-05,8.28901e-05
2,179.749,1.44738,2.21677,1.51145,0.56337,0.44677,0.44343,0.30076,1.40468,1.74789,1.56222,0.000164578,0.000164578,0.000164578
3,252.817,1.40545,1.96189,1.47441,0.59526,0.47911,0.49437,0.32687,1.42198,1.7338,1.5775,0.000244616,0.000244616,0.000244616
4,327.008,1.39452,1.85549,1.45835,0.69601,0.50978,0.55595,0.37448,1.38555,1.56957,1.5349,0.000242575,0.000242575,0.000242575
5,401.06,1.35518,1.74522,1.44374,0.68596,0.51439,0.55219,0.37985,1.34174,1.53377,1.513,0.0002401,0.0002401,0.0002401
6,474.86,1.32366,1.65643,1.4154,0.69699,0.54476,0.58227,0.40643,1.31145,1.48068,1.49354,0.000237625,0.000237625,0.000237625
7,547.748,1.29979,1.58833,1.39812,0.69605,0.5472,0.59211,0.41055,1.29907,1.41475,1.4562,0.00023515,0.00023515,0.00023515
8,621.465,1.268,1.51802,1.38351,0.73385,0.57679,0.62453,0.43999,1.28444,1.35062,1.4501,0.000232675,0.000232675,0.000232675
9,694.803,1.26301,1.50896,1.3865,0.76837,0.58074,0.63278,0.44663,1.2664,1.36257,1.46821,0.0002302,0.0002302,0.0002302
10,769.261,1.24488,1.45508,1.37125,0.78299,0.58013,0.63321,0.45148,1.23311,1.30168,1.42667,0.000227725,0.000227725,0.000227725
11,842.387,1.23253,1.43159,1.36469,0.7816,0.5859,0.63476,0.4566,1.2294,1.28828,1.42348,0.00022525,0.00022525,0.00022525
12,916.012,1.20988,1.3772,1.34999,0.76804,0.58414,0.64081,0.46049,1.22678,1.25673,1.40533,0.000222775,0.000222775,0.000222775
13,989.399,1.20765,1.36665,1.34338,0.78657,0.59665,0.65408,0.47119,1.20986,1.24194,1.39667,0.0002203,0.0002203,0.0002203
