epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.1796,1.23649,3.00196,1.46713,0.66691,0.26078,0.2721,0.18356,1.16997,2.40886,1.49831,0.0669358,8.28678e-05,8.28678e-05
2,132.272,1.1746,2.15082,1.37332,0.48048,0.38227,0.39567,0.25948,1.08072,1.81335,1.42788,0.0336841,0.000164556,0.000164556
3,169.748,1.14334,1.88441,1.35152,0.53858,0.50267,0.48927,0.31158,1.12912,1.62834,1.4422,0.000430813,0.000244594,0.000244594
4,207.219,1.12589,1.73873,1.34524,0.55267,0.47374,0.48823,0.32747,1.06894,1.45557,1.38998,0.000242575,0.000242575,0.000242575
5,244.755,1.12065,1.60592,1.33062,0.58044,0.51592,0.54539,0.37199,1.0748,1.39138,1.37602,0.0002401,0.0002401,0.0002401
6,281.809,1.10654,1.52323,1.33123,0.63591,0.57645,0.633,0.44551,1.04483,1.31442,1.37496,0.000237625,0.000237625,0.000237625
7,319.078,1.06319,1.41482,1.30857,0.67518,0.49613,0.60422,0.41181,1.01893,1.25762,1.34654,0.00023515,0.00023515,0.00023515
8,356.389,1.05646,1.41182,1.28939,0.56525,0.62002,0.63936,0.43586,1.02277,1.33869,1.33076,0.000232675,0.000232675,0.000232675
9,392.924,1.03217,1.3077,1.28103,0.53458,0.66848,0.65733,0.45309,1.01089,1.14828,1.33155,0.0002302,0.0002302,0.0002302
10,429.929,1.03811,1.24157,1.28458,0.58331,0.65931,0.70278,0.4829,1.01602,1.2162,1.35135,0.000227725,0.000227725,0.000227725
11,467.267,1.02246,1.20987,1.28475,0.66468,0.63703,0.72437,0.50841,0.98369,1.07294,1.31895,0.00022525,0.00022525,0.00022525
12,505.061,1.01846,1.18233,1.26886,0.68929,0.61006,0.69096,0.49836,0.97012,1.09101,1.31132,0.000222775,0.000222775,0.000222775
13,542.491,0.99497,1.11301,1.25192,0.58926,0.6905,0.72038,0.50796,0.9735,1.05059,1.3097,0.0002203,0.0002203,0.0002203
14,579.43,1.01291,1.12762,1.2561,0.59962,0.6261,0.65434,0.46492,0.97813,1.05648,1.31148,0.000217825,0.000217825,0.000217825
15,615.733,0.95658,1.06761,1.22514,0.64845,0.72513,0.72318,0.52575,0.94759,0.99106,1.28813,0.00021535,0.00021535,0.00021535
16,652.251,0.96649,1.03638,1.25138,0.62539,0.69495,0.73235,0.52582,0.97249,0.95898,1.31458,0.000212875,0.000212875,0.000212875
17,689.178,0.96504,1.03327,1.24067,0.58983,0.69232,0.70183,0.52608,0.92999,0.96887,1.28805,0.0002104,0.0002104,0.0002104
18,726.026,0.96458,1.02399,1.23973,0.78729,0.70972,0.76934,0.54589,0.94386,0.90398,1.28827,0.000207925,0.000207925,0.000207925
19,762.908,0.94977,0.98358,1.22867,0.74716,0.69359,0.75347,0.54219,0.94643,0.92893,1.28831,0.00020545,0.00020545,0.00020545
20,799.39,0.95062,0.99313,1.22198,0.70811,0.65668,0.76292,0.56491,0.91923,0.9109,1.27718,0.000202975,0.000202975,0.000202975
21,835.729,0.94191,0.9745,1.22104,0.71532,0.70966,0.78756,0.5829,0.91779,0.92056,1.26436,0.0002005,0.0002005,0.0002005
22,872.653,0.92769,0.93443,1.21949,0.74088,0.69126,0.74516,0.55639,0.91759,0.872,1.26402,0.000198025,0.000198025,0.000198025
23,909.525,0.92838,0.9229,1.21864,0.74184,0.68517,0.76161,0.55903,0.91135,0.89059,1.26765,0.00019555,0.00019555,0.00019555
24,946.548,0.90653,0.9093,1.20276,0.72235,0.72435,0.77161,0.57909,0.90826,0.87976,1.25435,0.000193075,0.000193075,0.000193075
25,983.177,0.89875,0.86832,1.18816,0.68439,0.74179,0.78035,0.57741,0.90063,0.86657,1.2466,0.0001906,0.0001906,0.0001906
26,1019,0.89948,0.87166,1.20423,0.71507,0.76385,0.787,0.59867,0.89234,0.83644,1.25015,0.000188125,0.000188125,0.000188125
27,1056.68,0.90082,0.87091,1.19418,0.76846,0.71972,0.81215,0.59689,0.89843,0.84665,1.26675,0.00018565,0.00018565,0.00018565
28,1093.76,0.89447,0.8787,1.19014,0.75748,0.70582,0.80293,0.5853,0.93509,0.84475,1.29131,0.000183175,0.000183175,0.000183175
29,1131.04,0.8817,0.85418,1.19081,0.78103,0.71794,0.80353,0.60277,0.92117,0.84937,1.27007,0.0001807,0.0001807,0.0001807
30,1168.57,0.88459,0.83459,1.20242,0.77457,0.7169,0.80829,0.58874,0.91723,0.84164,1.2608,0.000178225,0.000178225,0.000178225
31,1205.92,0.86487,0.80859,1.17589,0.73429,0.79558,0.80996,0.6126,0.91436,0.85132,1.2564,0.00017575,0.00017575,0.00017575
32,1248.51,0.8685,0.85334,1.17426,0.73312,0.76713,0.82085,0.60474,0.87501,0.7642,1.24513,0.000173275,0.000173275,0.000173275
33,1285.26,0.87127,0.79541,1.17333,0.67295,0.78555,0.81338,0.59532,0.91586,0.79153,1.26034,0.0001708,0.0001708,0.0001708
34,1321.47,0.86112,0.78674,1.16641,0.77283,0.74724,0.8222,0.60743,0.88334,0.81173,1.24648,0.000168325,0.000168325,0.000168325
35,1358.83,0.8678,0.76825,1.17915,0.74015,0.76706,0.80953,0.60749,0.88076,0.78369,1.23443,0.00016585,0.00016585,0.00016585
36,1399.22,0.86096,0.78111,1.15726,0.78428,0.76687,0.84258,0.62313,0.88567,0.75679,1.2445,0.000163375,0.000163375,0.000163375
37,1437.11,0.85057,0.77313,1.17519,0.79724,0.76625,0.82526,0.61476,0.89153,0.75244,1.23457,0.0001609,0.0001609,0.0001609
38,1474.13,0.82947,0.74654,1.15539,0.78816,0.82053,0.85808,0.64555,0.89681,0.7199,1.24673,0.000158425,0.000158425,0.000158425
39,1514.46,0.82881,0.72215,1.13865,0.75135,0.79417,0.82809,0.62018,0.89871,0.74518,1.24746,0.00015595,0.00015595,0.00015595
40,1550.84,0.81673,0.73517,1.13979,0.79389,0.7909,0.8557,0.64186,0.89715,0.74566,1.26027,0.000153475,0.000153475,0.000153475
41,1588.04,0.83548,0.72509,1.15554,0.77664,0.76079,0.82783,0.62775,0.90694,0.80139,1.27769,0.000151,0.000151,0.000151
42,1625.04,0.81902,0.72349,1.14101,0.7906,0.74623,0.82153,0.59944,0.91409,0.75912,1.27098,0.000148525,0.000148525,0.000148525
43,1662.08,0.81282,0.69982,1.13724,0.7297,0.76266,0.8114,0.60903,0.8961,0.76213,1.25271,0.00014605,0.00014605,0.00014605
44,1699.05,0.8136,0.69494,1.13952,0.75306,0.75755,0.79577,0.58865,0.89165,0.7991,1.24443,0.000143575,0.000143575,0.000143575
45,1735.27,0.80538,0.68671,1.14024,0.72303,0.78721,0.81523,0.62088,0.89627,0.73842,1.25973,0.0001411,0.0001411,0.0001411
46,1772.27,0.81401,0.70631,1.13135,0.80867,0.76858,0.8392,0.62357,0.87464,0.72614,1.22905,0.000138625,0.000138625,0.000138625
47,1809.32,0.7829,0.67045,1.11968,0.80271,0.77842,0.81173,0.61817,0.88982,0.75321,1.24171,0.00013615,0.00013615,0.00013615
48,1846.44,0.78849,0.67294,1.12726,0.84493,0.72056,0.82736,0.62784,0.91834,0.77446,1.28859,0.000133675,0.000133675,0.000133675
49,1883.55,0.78024,0.65834,1.12347,0.77212,0.77409,0.79959,0.61158,0.87785,0.74421,1.25795,0.0001312,0.0001312,0.0001312
50,1919.94,0.77567,0.64482,1.12243,0.75175,0.81056,0.83119,0.62567,0.88742,0.73022,1.2548,0.000128725,0.000128725,0.000128725
51,1955.79,0.77661,0.63944,1.12164,0.77212,0.76663,0.84938,0.64384,0.88232,0.7382,1.25228,0.00012625,0.00012625,0.00012625
52,1992.53,0.77574,0.65093,1.11837,0.79781,0.79749,0.84812,0.64665,0.87948,0.72488,1.23901,0.000123775,0.000123775,0.000123775
53,2051.06,0.76323,0.61566,1.11666,0.753,0.76963,0.81166,0.6161,0.87419,0.75023,1.22994,0.0001213,0.0001213,0.0001213
54,2088.69,0.77356,0.64143,1.11865,0.77201,0.76579,0.80027,0.59836,0.8673,0.74473,1.24056,0.000118825,0.000118825,0.000118825
55,2126.32,0.75829,0.63246,1.10739,0.77766,0.78324,0.84207,0.63091,0.86506,0.71749,1.23681,0.00011635,0.00011635,0.00011635
56,2162.63,0.74439,0.61154,1.09851,0.79874,0.76471,0.83315,0.62878,0.86794,0.73476,1.23531,0.000113875,0.000113875,0.000113875
57,2199.68,0.75923,0.61373,1.10219,0.78527,0.73385,0.81264,0.61869,0.87029,0.7651,1.22971,0.0001114,0.0001114,0.0001114
58,2236.73,0.75779,0.61737,1.10997,0.78321,0.76074,0.83352,0.62181,0.86377,0.74692,1.21857,0.000108925,0.000108925,0.000108925
59,2274.07,0.74474,0.61476,1.0936,0.83358,0.73826,0.82975,0.64306,0.85952,0.70571,1.2162,0.00010645,0.00010645,0.00010645
60,2311.09,0.7351,0.58717,1.09883,0.7805,0.74049,0.81714,0.61673,0.86302,0.74807,1.22537,0.000103975,0.000103975,0.000103975
61,2346.85,0.72947,0.58853,1.08825,0.76149,0.84329,0.86219,0.64793,0.86965,0.70784,1.2395,0.0001015,0.0001015,0.0001015
62,2388.69,0.73344,0.58119,1.0872,0.74847,0.82005,0.82346,0.61957,0.86991,0.68468,1.23922,9.9025e-05,9.9025e-05,9.9025e-05
63,2425.05,0.72953,0.57741,1.09499,0.71909,0.81576,0.84571,0.64475,0.86943,0.72422,1.23144,9.655e-05,9.655e-05,9.655e-05
64,2461.56,0.72394,0.57763,1.08329,0.79962,0.7394,0.81863,0.61742,0.85707,0.71709,1.22619,9.4075e-05,9.4075e-05,9.4075e-05
65,2498.47,0.72429,0.56642,1.0884,0.71667,0.82332,0.82396,0.63679,0.86775,0.7216,1.2254,9.16e-05,9.16e-05,9.16e-05
66,2535.79,0.71416,0.55742,1.07956,0.74555,0.82517,0.85611,0.65273,0.8625,0.70676,1.22651,8.9125e-05,8.9125e-05,8.9125e-05
67,2578.07,0.72329,0.56469,1.08316,0.80978,0.75686,0.84327,0.64358,0.86876,0.7064,1.23381,8.665e-05,8.665e-05,8.665e-05
68,2615.48,0.70842,0.5655,1.07989,0.6987,0.84362,0.83354,0.633,0.88177,0.73634,1.24182,8.4175e-05,8.4175e-05,8.4175e-05
69,2652.67,0.70773,0.54959,1.08128,0.75318,0.85117,0.85176,0.65492,0.86333,0.71774,1.22996,8.17e-05,8.17e-05,8.17e-05
70,2694.4,0.68836,0.52964,1.07335,0.72341,0.8367,0.82281,0.63217,0.88538,0.72073,1.24756,7.9225e-05,7.9225e-05,7.9225e-05
71,2732.26,0.70546,0.56383,1.07938,0.75417,0.80356,0.83662,0.64078,0.88259,0.71003,1.2383,7.675e-05,7.675e-05,7.675e-05
72,2769.63,0.68933,0.54893,1.06265,0.78027,0.82116,0.84845,0.634,0.85923,0.70219,1.23006,7.4275e-05,7.4275e-05,7.4275e-05
73,2807.22,0.68117,0.51763,1.05921,0.78,0.81511,0.83378,0.63486,0.86459,0.70514,1.23548,7.18e-05,7.18e-05,7.18e-05
74,2843.89,0.68347,0.54292,1.06967,0.70821,0.86371,0.85661,0.65447,0.85805,0.72108,1.23014,6.9325e-05,6.9325e-05,6.9325e-05
75,2881.22,0.68115,0.51805,1.05754,0.76331,0.82155,0.85718,0.66149,0.85885,0.69796,1.23818,6.685e-05,6.685e-05,6.685e-05
76,2922.7,0.67471,0.51938,1.05824,0.72869,0.84004,0.8562,0.64024,0.86897,0.70727,1.2486,6.4375e-05,6.4375e-05,6.4375e-05
77,2961.61,0.67988,0.52523,1.06203,0.82539,0.74126,0.84438,0.62404,0.86728,0.72526,1.23076,6.19e-05,6.19e-05,6.19e-05
78,2997.67,0.66571,0.50431,1.05624,0.84115,0.75534,0.83593,0.63168,0.8754,0.72504,1.24123,5.9425e-05,5.9425e-05,5.9425e-05
79,3034.69,0.68156,0.52291,1.06131,0.8267,0.78262,0.84479,0.63744,0.86346,0.71594,1.23407,5.695e-05,5.695e-05,5.695e-05
80,3071.85,0.65617,0.50136,1.05615,0.83827,0.7631,0.85455,0.64689,0.8726,0.70737,1.2566,5.4475e-05,5.4475e-05,5.4475e-05
81,3109.29,0.64918,0.503,1.04861,0.85802,0.78013,0.86323,0.63847,0.87247,0.70262,1.25658,5.2e-05,5.2e-05,5.2e-05
