epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6639,1.25596,3.21454,1.47757,0.72716,0.12724,0.15921,0.10279,1.29627,2.85284,1.62752,0.0671194,8.24074e-05,8.24074e-05
2,71.5674,1.14923,2.01901,1.35461,0.44131,0.44013,0.32425,0.20465,1.09075,2.04155,1.40764,0.0338678,0.0001641,0.0001641
3,102.8,1.13002,1.79207,1.33709,0.37727,0.43142,0.36922,0.25088,1.02649,1.69965,1.37477,0.000614513,0.000244142,0.000244142
4,134.673,1.12316,1.61174,1.34195,0.41094,0.6013,0.50724,0.3248,1.00753,1.43703,1.34387,0.000242575,0.000242575,0.000242575
5,166.458,1.08351,1.45514,1.30138,0.5477,0.48646,0.53565,0.35601,1.0611,1.3798,1.34927,0.0002401,0.0002401,0.0002401
6,198.612,1.07555,1.38038,1.29854,0.66986,0.49408,0.55392,0.3762,1.0119,1.33827,1.31346,0.000237625,0.000237625,0.000237625
7,229.904,1.05312,1.3077,1.27456,0.64101,0.56589,0.64569,0.45191,0.99453,1.16389,1.29561,0.00023515,0.00023515,0.00023515
8,261.748,1.04891,1.29852,1.27713,0.60759,0.58621,0.60863,0.41768,0.99709,1.33741,1.28983,0.000232675,0.000232675,0.000232675
9,292.607,1.02997,1.26138,1.26516,0.50401,0.65821,0.60854,0.4344,0.97755,1.13368,1.29696,0.0002302,0.0002302,0.0002302
10,324.437,1.03214,1.15718,1.27121,0.69685,0.61057,0.69047,0.47434,0.98903,1.06836,1.27111,0.000227725,0.000227725,0.000227725
11,355.281,1.02528,1.13479,1.25556,0.60968,0.65745,0.69624,0.49463,0.95677,1.03616,1.25805,0.00022525,0.00022525,0.00022525
12,386.622,0.98614,1.08621,1.23103,0.68616,0.67178,0.69346,0.49583,0.9642,1.01628,1.27511,0.000222775,0.000222775,0.000222775
13,417.899,0.98631,1.08816,1.23511,0.51842,0.76104,0.71876,0.51548,0.92544,1.01644,1.24429,0.0002203,0.0002203,0.0002203
14,448.79,0.97911,1.1116,1.22975,0.74756,0.67251,0.74634,0.53107,0.92738,0.95933,1.23751,0.000217825,0.000217825,0.000217825
15,480.453,0.95795,1.0011,1.22259,0.68301,0.69316,0.71586,0.53392,0.90229,0.94307,1.21882,0.00021535,0.00021535,0.00021535
16,511.192,0.95308,1.00806,1.2158,0.62608,0.78584,0.78173,0.5511,0.89792,0.91705,1.2134,0.000212875,0.000212875,0.000212875
17,542.888,0.93826,0.94696,1.20352,0.71647,0.7584,0.79444,0.57347,0.90403,0.84967,1.22856,0.0002104,0.0002104,0.0002104
18,573.453,0.93344,0.92458,1.20185,0.79835,0.67075,0.78756,0.56358,0.91451,0.85863,1.23076,0.000207925,0.000207925,0.000207925
19,604.796,0.93035,0.93762,1.20532,0.70538,0.75044,0.77933,0.55029,0.92239,0.89175,1.22761,0.00020545,0.00020545,0.00020545
20,635.55,0.92757,0.95208,1.20568,0.65377,0.76261,0.77264,0.55878,0.90382,0.89153,1.23198,0.000202975,0.000202975,0.000202975
21,666.606,0.92379,0.90511,1.20117,0.69581,0.74363,0.7771,0.57245,0.91958,0.84396,1.26292,0.0002005,0.0002005,0.0002005
22,697.808,0.90394,0.873,1.18177,0.69811,0.75291,0.77068,0.56372,0.90758,0.88942,1.22925,0.000198025,0.000198025,0.000198025
23,728.555,0.91161,0.92239,1.20648,0.72687,0.74013,0.7718,0.58008,0.89412,0.82916,1.211,0.00019555,0.00019555,0.00019555
24,760.136,0.89765,0.83515,1.18979,0.71796,0.75604,0.76098,0.5559,0.91341,0.80821,1.24285,0.000193075,0.000193075,0.000193075
25,790.913,0.90382,0.86212,1.18882,0.76057,0.75166,0.81198,0.60334,0.88874,0.8167,1.20733,0.0001906,0.0001906,0.0001906
26,822.213,0.87989,0.83719,1.16973,0.77239,0.73772,0.77844,0.57352,0.89251,0.80696,1.19704,0.000188125,0.000188125,0.000188125
27,852.783,0.87385,0.84636,1.15847,0.67146,0.81044,0.82181,0.60693,0.8933,0.75758,1.21206,0.00018565,0.00018565,0.00018565
28,883.633,0.87457,0.79874,1.16768,0.64427,0.78304,0.80238,0.58747,0.8957,0.80191,1.21831,0.000183175,0.000183175,0.000183175
29,914.958,0.86445,0.77369,1.15813,0.72902,0.8169,0.8026,0.60573,0.88988,0.82745,1.21241,0.0001807,0.0001807,0.0001807
30,946.204,0.85133,0.76214,1.1614,0.77947,0.71727,0.77982,0.57426,0.88592,0.74711,1.21997,0.000178225,0.000178225,0.000178225
31,977.439,0.86855,0.76691,1.15542,0.79489,0.70921,0.78429,0.59712,0.88258,0.80257,1.20933,0.00017575,0.00017575,0.00017575
32,1008.19,0.85234,0.76892,1.16657,0.77114,0.80781,0.84541,0.64552,0.86876,0.74097,1.20119,0.000173275,0.000173275,0.000173275
33,1039.3,0.83871,0.73458,1.14656,0.68085,0.83224,0.81089,0.61063,0.87136,0.75919,1.1918,0.0001708,0.0001708,0.0001708
34,1070.07,0.84786,0.74486,1.14681,0.71012,0.79951,0.80471,0.61007,0.8579,0.72827,1.18551,0.000168325,0.000168325,0.000168325
35,1101.2,0.85181,0.73939,1.14872,0.75066,0.7686,0.78316,0.59829,0.87518,0.7371,1.19977,0.00016585,0.00016585,0.00016585
36,1132.19,0.82124,0.7222,1.12449,0.72271,0.82589,0.80338,0.61033,0.85441,0.75301,1.18869,0.000163375,0.000163375,0.000163375
37,1162.78,0.8282,0.7183,1.14681,0.70809,0.79482,0.77784,0.58631,0.86972,0.73797,1.22076,0.0001609,0.0001609,0.0001609
38,1194.22,0.81362,0.71202,1.13374,0.76942,0.80037,0.81121,0.61837,0.8603,0.7142,1.17296,0.000158425,0.000158425,0.000158425
39,1225.17,0.80859,0.69017,1.11885,0.8016,0.75371,0.82119,0.61647,0.8723,0.76761,1.1837,0.00015595,0.00015595,0.00015595
40,1256.75,0.8108,0.69119,1.12291,0.7926,0.80597,0.8112,0.59587,0.87287,0.72893,1.20313,0.000153475,0.000153475,0.000153475
41,1287.64,0.80209,0.67615,1.12612,0.78998,0.76666,0.81362,0.61766,0.87426,0.77553,1.18837,0.000151,0.000151,0.000151
42,1319.01,0.79858,0.67355,1.10833,0.7258,0.79318,0.8244,0.62528,0.87251,0.71635,1.18871,0.000148525,0.000148525,0.000148525
43,1349.97,0.80232,0.6616,1.11706,0.77879,0.80249,0.8171,0.608,0.88733,0.7672,1.20262,0.00014605,0.00014605,0.00014605
44,1380.9,0.79749,0.67453,1.11795,0.72184,0.83203,0.82312,0.61224,0.85657,0.72371,1.18325,0.000143575,0.000143575,0.000143575
45,1412.5,0.7853,0.66095,1.11438,0.75972,0.77355,0.81679,0.62743,0.85549,0.72629,1.18482,0.0001411,0.0001411,0.0001411
46,1443.44,0.76546,0.62323,1.09938,0.85052,0.72521,0.84912,0.64855,0.85672,0.74026,1.19239,0.000138625,0.000138625,0.000138625
47,1475.26,0.78923,0.68617,1.113,0.8243,0.76029,0.83454,0.62504,0.86561,0.71071,1.20669,0.00013615,0.00013615,0.00013615
48,1506.02,0.77199,0.64459,1.1046,0.76557,0.82887,0.83137,0.61847,0.88409,0.74609,1.19994,0.000133675,0.000133675,0.000133675
49,1537.84,0.76115,0.61386,1.09547,0.78139,0.77844,0.80904,0.6099,0.85139,0.7402,1.18485,0.0001312,0.0001312,0.0001312
50,1568.39,0.74395,0.62984,1.08598,0.73946,0.82067,0.81324,0.60659,0.8525,0.72995,1.18749,0.000128725,0.000128725,0.000128725
51,1599.63,0.75092,0.61982,1.09555,0.79698,0.76893,0.81114,0.60939,0.85818,0.73361,1.18506,0.00012625,0.00012625,0.00012625
52,1630.38,0.73842,0.62067,1.08439,0.77306,0.8077,0.83275,0.62454,0.86253,0.77786,1.19239,0.000123775,0.000123775,0.000123775
53,1661.11,0.75493,0.61859,1.09677,0.82503,0.7988,0.8465,0.63237,0.85055,0.68819,1.18849,0.0001213,0.0001213,0.0001213
54,1692.79,0.73694,0.5749,1.08054,0.82548,0.78022,0.83996,0.6441,0.83947,0.68598,1.17758,0.000118825,0.000118825,0.000118825
55,1723.9,0.71989,0.58239,1.07501,0.76144,0.81924,0.84705,0.62936,0.84517,0.73718,1.18375,0.00011635,0.00011635,0.00011635
56,1755.66,0.73252,0.58642,1.08871,0.77069,0.77053,0.80021,0.61041,0.84551,0.72394,1.18746,0.000113875,0.000113875,0.000113875
57,1786.98,0.7231,0.56396,1.06248,0.78909,0.80813,0.8353,0.63103,0.85526,0.72406,1.18101,0.0001114,0.0001114,0.0001114
58,1818.68,0.70225,0.57729,1.0683,0.8396,0.77366,0.82628,0.61975,0.85791,0.70614,1.17983,0.000108925,0.000108925,0.000108925
59,1849.43,0.71285,0.56436,1.07018,0.82962,0.77697,0.8345,0.63363,0.86185,0.71605,1.20232,0.00010645,0.00010645,0.00010645
60,1880.6,0.71429,0.5653,1.06689,0.80337,0.74292,0.82525,0.63629,0.85173,0.73571,1.18262,0.000103975,0.000103975,0.000103975
61,1911.56,0.70694,0.56378,1.05932,0.83666,0.77058,0.82022,0.62428,0.84722,0.70265,1.1866,0.0001015,0.0001015,0.0001015
62,1942.46,0.70138,0.5464,1.05819,0.8398,0.76732,0.85444,0.6208,0.85719,0.71028,1.18448,9.9025e-05,9.9025e-05,9.9025e-05
63,1973.94,0.70855,0.53712,1.06964,0.7807,0.80161,0.85933,0.65841,0.84339,0.71612,1.18223,9.655e-05,9.655e-05,9.655e-05
64,2004.72,0.7142,0.57855,1.07237,0.79394,0.80571,0.84636,0.64604,0.84127,0.69574,1.18257,9.4075e-05,9.4075e-05,9.4075e-05
65,2036.29,0.69504,0.51879,1.05761,0.74264,0.86294,0.86754,0.65452,0.85043,0.68739,1.18729,9.16e-05,9.16e-05,9.16e-05
66,2067.4,0.70005,0.53528,1.05821,0.82496,0.786,0.85071,0.64607,0.83578,0.72163,1.17939,8.9125e-05,8.9125e-05,8.9125e-05
67,2098.9,0.70108,0.54405,1.06073,0.79902,0.79809,0.86241,0.65033,0.8469,0.71011,1.18736,8.665e-05,8.665e-05,8.665e-05
68,2129.49,0.69192,0.51974,1.05955,0.82358,0.76946,0.85708,0.64883,0.84911,0.70466,1.18334,8.4175e-05,8.4175e-05,8.4175e-05
69,2160.33,0.68096,0.53557,1.05556,0.81013,0.80457,0.86668,0.64484,0.85317,0.70814,1.20407,8.17e-05,8.17e-05,8.17e-05
70,2191.52,0.6584,0.52434,1.03787,0.82295,0.80661,0.86876,0.65175,0.85253,0.71456,1.20962,7.9225e-05,7.9225e-05,7.9225e-05
71,2222.18,0.67091,0.5011,1.04325,0.79973,0.80403,0.85283,0.64587,0.85359,0.72421,1.20268,7.675e-05,7.675e-05,7.675e-05
72,2253.78,0.65996,0.52689,1.04602,0.83698,0.79036,0.8505,0.64459,0.84807,0.71734,1.19481,7.4275e-05,7.4275e-05,7.4275e-05
73,2284.42,0.66596,0.51977,1.04793,0.82465,0.79765,0.8718,0.665,0.85439,0.71468,1.20399,7.18e-05,7.18e-05,7.18e-05
74,2315.78,0.65214,0.48544,1.03322,0.83097,0.77704,0.86983,0.65542,0.84135,0.69916,1.18337,6.9325e-05,6.9325e-05,6.9325e-05
75,2346.8,0.64448,0.5436,1.03893,0.81413,0.82115,0.83244,0.62977,0.85134,0.73246,1.19604,6.685e-05,6.685e-05,6.685e-05
76,2377.48,0.64906,0.47899,1.02995,0.81986,0.81634,0.84238,0.6383,0.83235,0.70571,1.17852,6.4375e-05,6.4375e-05,6.4375e-05
77,2409.08,0.65946,0.51425,1.03831,0.81707,0.82611,0.85584,0.65013,0.84279,0.68945,1.19483,6.19e-05,6.19e-05,6.19e-05
78,2439.66,0.64768,0.48297,1.03736,0.78017,0.84375,0.85787,0.65403,0.85278,0.71214,1.19891,5.9425e-05,5.9425e-05,5.9425e-05
79,2471.09,0.66129,0.52152,1.04426,0.82057,0.82163,0.84996,0.64683,0.84764,0.71642,1.18853,5.695e-05,5.695e-05,5.695e-05
80,2501.92,0.63177,0.46171,1.03464,0.85222,0.77327,0.86458,0.65704,0.84525,0.7447,1.18493,5.4475e-05,5.4475e-05,5.4475e-05
81,2533.26,0.63916,0.48278,1.03098,0.86354,0.76675,0.86663,0.65862,0.84803,0.73716,1.18949,5.2e-05,5.2e-05,5.2e-05
82,2563.66,0.63172,0.4758,1.02545,0.81867,0.80261,0.86007,0.6605,0.84711,0.74232,1.19341,4.9525e-05,4.9525e-05,4.9525e-05
83,2594.43,0.62058,0.47981,1.01207,0.8844,0.78734,0.87808,0.6731,0.85241,0.69257,1.19459,4.705e-05,4.705e-05,4.705e-05
84,2625.84,0.63682,0.4746,1.031,0.86116,0.80171,0.86806,0.66232,0.85471,0.70428,1.1925,4.4575e-05,4.4575e-05,4.4575e-05
85,2656.58,0.62246,0.47634,1.02411,0.87522,0.78846,0.87666,0.67677,0.85363,0.7365,1.18926,4.21e-05,4.21e-05,4.21e-05
86,2687.91,0.62078,0.44734,1.02963,0.83766,0.81386,0.87363,0.66617,0.85064,0.72586,1.18975,3.9625e-05,3.9625e-05,3.9625e-05
87,2718.54,0.61794,0.46151,1.02293,0.83223,0.80465,0.87184,0.66178,0.84608,0.71324,1.19158,3.715e-05,3.715e-05,3.715e-05
88,2749.18,0.61462,0.45851,1.01095,0.87625,0.78131,0.8581,0.66212,0.8459,0.73427,1.19963,3.4675e-05,3.4675e-05,3.4675e-05
89,2780.3,0.60391,0.45042,1.02163,0.87487,0.78266,0.85444,0.65789,0.84587,0.73846,1.20433,3.22e-05,3.22e-05,3.22e-05
90,2810.72,0.60142,0.44782,1.00735,0.87054,0.77892,0.85045,0.65468,0.84238,0.74146,1.19923,2.9725e-05,2.9725e-05,2.9725e-05
91,2843.47,0.54912,0.40767,0.97435,0.83318,0.78354,0.84751,0.64479,0.8409,0.72354,1.19785,2.725e-05,2.725e-05,2.725e-05
92,2873.29,0.51818,0.39697,0.96183,0.86393,0.78129,0.85416,0.65777,0.83754,0.71055,1.1957,2.4775e-05,2.4775e-05,2.4775e-05
93,2903.94,0.49554,0.33741,0.94719,0.85123,0.78764,0.85112,0.65392,0.84047,0.72347,1.20334,2.23e-05,2.23e-05,2.23e-05
94,2933.64,0.49938,0.33058,0.95028,0.86262,0.77886,0.85005,0.65159,0.84271,0.71826,1.20285,1.9825e-05,1.9825e-05,1.9825e-05
95,2963.61,0.48373,0.32282,0.94483,0.83839,0.78828,0.85693,0.64778,0.84537,0.71459,1.20078,1.735e-05,1.735e-05,1.735e-05
96,2994.07,0.48668,0.32533,0.93972,0.82959,0.79122,0.85689,0.65247,0.84207,0.71696,1.19864,1.4875e-05,1.4875e-05,1.4875e-05
97,3023.77,0.48928,0.33652,0.93966,0.84594,0.78691,0.85841,0.65915,0.84774,0.71636,1.20304,1.24e-05,1.24e-05,1.24e-05
98,3053.5,0.4787,0.31429,0.93653,0.85265,0.78633,0.85983,0.66002,0.84236,0.70668,1.20116,9.925e-06,9.925e-06,9.925e-06
99,3083.93,0.47609,0.31666,0.94024,0.86561,0.78117,0.85753,0.65786,0.84382,0.70644,1.20448,7.45e-06,7.45e-06,7.45e-06
100,3113.82,0.48986,0.34282,0.94454,0.87043,0.77956,0.85927,0.66011,0.84408,0.70531,1.20387,4.975e-06,4.975e-06,4.975e-06
