epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.9462,1.73467,3.93515,1.92401,0,0,0,0,nan,nan,nan,0.0703333,0.0032963,0.0032963
2,100.464,1.69386,3.40677,1.89753,0.14566,0.03901,0.00184,0.00084,2.78126,inf,4.55149,0.0402677,0.006564,0.006564
3,131.65,1.65919,3.25987,1.8548,0.75202,0.03306,0.01679,0.00623,2.35312,23.8548,2.84655,0.0101361,0.0097657,0.0097657
4,162.636,1.62541,3.13373,1.83557,0.16204,0.1819,0.02558,0.01282,1.91226,11.9295,2.36682,0.009703,0.009703,0.009703
5,194.152,1.5853,2.95173,1.78048,0.66555,0.10365,0.05825,0.03159,1.66329,6.36779,2.10894,0.009604,0.009604,0.009604
6,224.629,1.55168,2.91167,1.7503,0.70416,0.10237,0.05874,0.0332,1.72547,3.41211,2.11269,0.009505,0.009505,0.009505
7,255.957,1.52468,2.81958,1.72483,0.25858,0.17533,0.04414,0.02339,1.57589,6.84667,1.93659,0.009406,0.009406,0.009406
8,286.206,1.4957,2.73892,1.72815,0.60217,0.14939,0.08057,0.04948,1.49419,2.91993,1.93421,0.009307,0.009307,0.009307
9,316.652,1.47762,2.73061,1.67491,0.56631,0.14057,0.0831,0.04765,1.52624,3.3862,1.84215,0.009208,0.009208,0.009208
10,347.534,1.48825,2.71158,1.70895,0.59676,0.13611,0.08528,0.04888,1.46703,3.5697,1.87015,0.009109,0.009109,0.009109
11,377.617,1.46085,2.59254,1.67941,0.60752,0.17597,0.13743,0.0799,1.39572,3.08741,1.76471,0.00901,0.00901,0.00901
12,408.707,1.41884,2.51341,1.63653,0.63985,0.18091,0.14699,0.092,1.3893,2.51517,1.83058,0.008911,0.008911,0.008911
13,438.917,1.40741,2.44036,1.64249,0.34969,0.34536,0.20047,0.11819,1.34211,2.51715,1.78657,0.008812,0.008812,0.008812
14,469.349,1.39134,2.45682,1.62078,0.50901,0.27066,0.18274,0.10335,1.33209,2.37103,1.7355,0.008713,0.008713,0.008713
15,500.409,1.41427,2.41406,1.62852,0.46045,0.2211,0.10916,0.06229,1.49342,2.99352,1.83888,0.008614,0.008614,0.008614
16,530.483,1.39053,2.36374,1.62207,0.47853,0.23243,0.18421,0.10557,1.38723,2.35991,1.79178,0.008515,0.008515,0.008515
17,561.375,1.34962,2.23632,1.58811,0.57815,0.25623,0.19645,0.12339,1.30809,2.13468,1.70665,0.008416,0.008416,0.008416
18,591.599,1.35459,2.22696,1.58346,0.59709,0.23795,0.19598,0.12119,1.33753,2.23145,1.74359,0.008317,0.008317,0.008317
19,621.793,1.3834,2.31943,1.61015,0.4747,0.21688,0.1681,0.09473,1.35279,2.44434,1.75122,0.008218,0.008218,0.008218
20,652.995,1.35525,2.3074,1.59745,0.5118,0.22775,0.19341,0.11614,1.28846,2.21901,1.67398,0.008119,0.008119,0.008119
21,682.974,1.35312,2.18935,1.59086,0.42328,0.25271,0.20011,0.11735,1.41276,2.41969,1.81472,0.00802,0.00802,0.00802
