epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9988,1.42729,5.03452,1.67003,0.29837,0.0679,0.04189,0.0313,1.10642,3.35061,1.51572,0.0673667,0.00032963,0.00032963
2,74.237,1.17604,3.48115,1.47762,0.62925,0.20695,0.20401,0.14659,0.97369,2.39593,1.38907,0.0343601,0.0006564,0.0006564
3,106.459,1.09904,2.54134,1.38284,0.50844,0.39432,0.34099,0.24445,0.95348,1.77492,1.35013,0.00134694,0.00097657,0.00097657
4,137.188,1.05916,1.96815,1.33125,0.76298,0.40289,0.46911,0.34442,0.92729,1.36316,1.30125,0.0009703,0.0009703,0.0009703
5,168.61,1.02184,1.62996,1.27738,0.62651,0.51134,0.53685,0.40221,0.93887,1.20606,1.28038,0.0009604,0.0009604,0.0009604
6,199.41,1.001,1.41199,1.26371,0.59394,0.62046,0.68261,0.50157,0.90694,1.00821,1.26153,0.0009505,0.0009505,0.0009505
7,230.638,0.96773,1.30599,1.23147,0.7355,0.70284,0.74021,0.55989,0.89146,0.89166,1.20954,0.0009406,0.0009406,0.0009406
8,261.6,0.95398,1.21948,1.20591,0.68286,0.64797,0.71469,0.54104,0.87849,0.96702,1.19286,0.0009307,0.0009307,0.0009307
9,292.355,0.94951,1.16031,1.20629,0.62774,0.73656,0.73388,0.54743,0.87365,0.85015,1.20344,0.0009208,0.0009208,0.0009208
10,324.055,0.95408,1.0823,1.21121,0.62936,0.80513,0.76128,0.56909,0.8803,0.84114,1.19889,0.0009109,0.0009109,0.0009109
11,354.874,0.92836,1.0364,1.1917,0.7152,0.74949,0.77434,0.58481,0.87979,0.83052,1.18923,0.000901,0.000901,0.000901
12,386.206,0.91165,0.95062,1.18029,0.71057,0.77936,0.77046,0.57925,0.85013,0.77088,1.17975,0.0008911,0.0008911,0.0008911
13,416.733,0.90454,0.96312,1.18273,0.78202,0.68906,0.76094,0.5752,0.84758,0.79208,1.17833,0.0008812,0.0008812,0.0008812
14,447.339,0.9002,0.94822,1.16829,0.72025,0.67421,0.75511,0.56985,0.85067,0.78841,1.17041,0.0008713,0.0008713,0.0008713
15,478.5,0.88186,0.90458,1.16025,0.72055,0.80295,0.81002,0.59961,0.85346,0.7823,1.16739,0.0008614,0.0008614,0.0008614
