epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3222,1.33992,3.51948,1.522,0.60832,0.06938,0.05226,0.02625,1.66012,3.8464,2.07744,0.0677333,0.000325926,0.000325926
2,89.522,1.2549,2.18821,1.4232,0.49281,0.257,0.14766,0.08721,1.34922,4.03676,1.7396,0.0347268,0.000652733,0.000652733
3,119.802,1.23609,1.9025,1.41038,0.34257,0.23053,0.10996,0.06003,1.42039,4.99172,1.74891,0.00171368,0.000972939,0.000972939
4,149.759,1.25968,1.92885,1.42566,0.43677,0.13962,0.08119,0.04851,1.5131,5.21397,1.81048,0.0009703,0.0009703,0.0009703
5,180.172,1.26545,1.87524,1.42322,0.58727,0.1819,0.11523,0.06843,1.47746,5.30172,1.75714,0.0009604,0.0009604,0.0009604
6,210.326,1.24127,1.80349,1.4162,0.25329,0.29428,0.19433,0.11569,1.42183,3.04755,1.71543,0.0009505,0.0009505,0.0009505
7,240.029,1.19892,1.63889,1.3655,0.55646,0.26341,0.286,0.16418,1.26116,2.41217,1.55468,0.0009406,0.0009406,0.0009406
8,270.082,1.16824,1.60669,1.35753,0.4542,0.28325,0.28386,0.17427,1.29076,2.17148,1.65487,0.0009307,0.0009307,0.0009307
9,299.616,1.15572,1.48751,1.35383,0.43843,0.38872,0.36038,0.23584,1.16804,2.10125,1.436,0.0009208,0.0009208,0.0009208
10,329.432,1.13533,1.48312,1.3386,0.57304,0.42953,0.46167,0.28732,1.13094,1.7873,1.41243,0.0009109,0.0009109,0.0009109
11,359.82,1.13953,1.47527,1.34315,0.47606,0.34589,0.36194,0.22325,1.12141,2.08174,1.41918,0.000901,0.000901,0.000901
12,389.589,1.11134,1.36206,1.31103,0.43603,0.44796,0.40528,0.23972,1.18918,2.12046,1.46775,0.0008911,0.0008911,0.0008911
13,419.114,1.10512,1.31571,1.31163,0.42142,0.532,0.47776,0.30971,1.09896,1.50132,1.38225,0.0008812,0.0008812,0.0008812
14,449.446,1.10154,1.30066,1.3026,0.49303,0.68878,0.60814,0.39538,1.10184,1.53295,1.38094,0.0008713,0.0008713,0.0008713
15,479.275,1.08284,1.2292,1.29228,0.40009,0.53866,0.4414,0.28077,1.14003,1.66152,1.42819,0.0008614,0.0008614,0.0008614
16,509.165,1.06983,1.21377,1.29215,0.53619,0.49325,0.52039,0.33318,1.0952,1.47138,1.38971,0.0008515,0.0008515,0.0008515
17,539.396,1.04499,1.21449,1.27923,0.60135,0.5183,0.58763,0.38844,1.04025,1.26923,1.32677,0.0008416,0.0008416,0.0008416
18,568.893,1.03529,1.16479,1.26959,0.50417,0.65731,0.61513,0.41663,1.01886,1.17858,1.32265,0.0008317,0.0008317,0.0008317
19,598.381,1.04029,1.1882,1.26622,0.55219,0.60089,0.61818,0.40753,1.05537,1.43222,1.34826,0.0008218,0.0008218,0.0008218
20,628.588,1.05676,1.16364,1.27751,0.6329,0.63018,0.65329,0.4394,1.01766,1.35342,1.30821,0.0008119,0.0008119,0.0008119
21,658.152,1.02554,1.10822,1.25507,0.65321,0.59116,0.63308,0.42748,1.03059,1.11644,1.33201,0.000802,0.000802,0.000802
22,687.214,1.01818,1.11682,1.25336,0.65354,0.56809,0.65687,0.45575,0.97919,1.11184,1.27724,0.0007921,0.0007921,0.0007921
23,717.024,0.99371,1.08807,1.23786,0.5834,0.60183,0.59697,0.42007,0.99119,1.1342,1.2962,0.0007822,0.0007822,0.0007822
24,746.782,0.99469,1.03236,1.23143,0.58423,0.62414,0.65748,0.45637,1.03547,1.15316,1.34626,0.0007723,0.0007723,0.0007723
25,776.402,1.0014,1.0366,1.24071,0.66753,0.66731,0.69135,0.46963,0.98452,1.00095,1.27009,0.0007624,0.0007624,0.0007624
26,806.482,0.9941,1.01253,1.22833,0.63847,0.58943,0.6833,0.45025,1.02611,1.10083,1.31868,0.0007525,0.0007525,0.0007525
27,835.965,0.98072,1.00096,1.2224,0.59128,0.70749,0.7197,0.49679,0.96859,1.18912,1.27229,0.0007426,0.0007426,0.0007426
28,865.003,0.9883,1.01919,1.23146,0.74441,0.59618,0.69929,0.49034,1.03643,1.01532,1.32369,0.0007327,0.0007327,0.0007327
29,894.002,0.96859,0.97793,1.2192,0.65117,0.65301,0.69968,0.49688,0.94256,1.02232,1.24807,0.0007228,0.0007228,0.0007228
30,923.647,0.97055,0.9651,1.22223,0.45998,0.60917,0.5742,0.38752,0.99806,1.31869,1.30508,0.0007129,0.0007129,0.0007129
31,952.968,0.966,0.93746,1.21871,0.65165,0.59691,0.66422,0.47748,0.94955,1.01317,1.25238,0.000703,0.000703,0.000703
32,982.077,0.93819,0.91741,1.20739,0.67353,0.66357,0.7038,0.4962,0.97647,0.98218,1.26821,0.0006931,0.0006931,0.0006931
33,1012.18,0.95981,0.92217,1.21605,0.67923,0.65929,0.68706,0.47117,0.96503,1.01104,1.27952,0.0006832,0.0006832,0.0006832
34,1041.88,0.93776,0.92036,1.18942,0.77271,0.6155,0.72501,0.5101,0.9552,0.8933,1.25011,0.0006733,0.0006733,0.0006733
35,1071.74,0.92331,0.88371,1.18977,0.60964,0.78171,0.74824,0.54599,0.93676,0.87371,1.26303,0.0006634,0.0006634,0.0006634
36,1102.09,0.92337,0.88832,1.18213,0.75763,0.66996,0.73148,0.52844,0.92068,0.86272,1.23183,0.0006535,0.0006535,0.0006535
37,1131.62,0.91707,0.86791,1.1799,0.72031,0.71825,0.79476,0.56309,0.93178,0.92144,1.23942,0.0006436,0.0006436,0.0006436
38,1160.93,0.91376,0.84774,1.18686,0.61624,0.76163,0.74695,0.53201,0.91179,0.87314,1.23131,0.0006337,0.0006337,0.0006337
39,1190.4,0.90926,0.8331,1.17826,0.68979,0.72013,0.76082,0.54346,0.92877,0.85468,1.24852,0.0006238,0.0006238,0.0006238
40,1220.3,0.90615,0.84668,1.17573,0.7427,0.69379,0.78968,0.5687,0.91181,0.84784,1.23453,0.0006139,0.0006139,0.0006139
41,1249.83,0.90016,0.86207,1.16895,0.83736,0.66323,0.79813,0.5775,0.92906,0.86912,1.22845,0.000604,0.000604,0.000604
42,1279.21,0.87759,0.79441,1.16106,0.65875,0.73609,0.76074,0.54762,0.91049,0.83418,1.2401,0.0005941,0.0005941,0.0005941
43,1309.5,0.90041,0.817,1.17733,0.74678,0.66792,0.76275,0.5581,0.91094,0.84632,1.23423,0.0005842,0.0005842,0.0005842
44,1339.18,0.89446,0.79688,1.1686,0.69836,0.75071,0.78607,0.58416,0.90202,0.82513,1.2002,0.0005743,0.0005743,0.0005743
45,1368.49,0.89627,0.80815,1.17075,0.72225,0.75941,0.78717,0.58945,0.91583,0.86694,1.21664,0.0005644,0.0005644,0.0005644
46,1398.43,0.86791,0.78438,1.15541,0.77952,0.69211,0.76413,0.54828,0.90091,0.82592,1.21887,0.0005545,0.0005545,0.0005545
47,1427.8,0.8683,0.77716,1.15781,0.65096,0.75495,0.76673,0.5722,0.90726,0.84767,1.22183,0.0005446,0.0005446,0.0005446
48,1457.06,0.859,0.77027,1.14758,0.78741,0.75188,0.80236,0.59137,0.8829,0.80461,1.19888,0.0005347,0.0005347,0.0005347
49,1486.51,0.86026,0.7641,1.15126,0.66998,0.79675,0.77773,0.55611,0.89998,0.82279,1.21691,0.0005248,0.0005248,0.0005248
50,1515.89,0.85867,0.75507,1.1485,0.73685,0.68144,0.76512,0.56612,0.90836,0.81887,1.20362,0.0005149,0.0005149,0.0005149
51,1545.12,0.84848,0.72859,1.13487,0.72196,0.7267,0.77633,0.57857,0.89066,0.82676,1.21417,0.000505,0.000505,0.000505
52,1574.88,0.84459,0.71951,1.13328,0.69955,0.73159,0.78313,0.56782,0.89272,0.76594,1.20088,0.0004951,0.0004951,0.0004951
53,1605.01,0.8264,0.70986,1.1313,0.72903,0.75921,0.8039,0.59533,0.90442,0.7989,1.19029,0.0004852,0.0004852,0.0004852
54,1634.73,0.84196,0.71814,1.13348,0.79083,0.69477,0.80086,0.56631,0.88874,0.77463,1.1958,0.0004753,0.0004753,0.0004753
55,1664.77,0.81797,0.69106,1.11889,0.70931,0.78081,0.81496,0.58948,0.91291,0.80203,1.22119,0.0004654,0.0004654,0.0004654
56,1694.99,0.82363,0.70431,1.12574,0.74297,0.74173,0.80929,0.60884,0.88212,0.78537,1.20471,0.0004555,0.0004555,0.0004555
57,1724.73,0.81408,0.68546,1.11532,0.78263,0.77485,0.83003,0.61496,0.86799,0.73532,1.19751,0.0004456,0.0004456,0.0004456
58,1754.65,0.81945,0.6858,1.12366,0.79847,0.75426,0.80982,0.59009,0.87728,0.7406,1.20236,0.0004357,0.0004357,0.0004357
59,1784.7,0.81716,0.68701,1.11721,0.78443,0.77243,0.82255,0.60034,0.86441,0.76247,1.19749,0.0004258,0.0004258,0.0004258
60,1813.81,0.79935,0.66619,1.11537,0.75202,0.77695,0.80501,0.59173,0.8761,0.7586,1.19685,0.0004159,0.0004159,0.0004159
61,1842.96,0.7957,0.671,1.10609,0.83418,0.72211,0.79923,0.59211,0.87236,0.73419,1.18362,0.000406,0.000406,0.000406
62,1873.01,0.79421,0.67062,1.106,0.76827,0.72935,0.82122,0.60165,0.88102,0.74018,1.20619,0.0003961,0.0003961,0.0003961
63,1902.55,0.78756,0.64417,1.10028,0.72067,0.79916,0.80306,0.59862,0.87476,0.75115,1.19234,0.0003862,0.0003862,0.0003862
64,1931.64,0.77995,0.63928,1.09189,0.7234,0.80222,0.83435,0.59998,0.88819,0.79076,1.20244,0.0003763,0.0003763,0.0003763
