epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.745,1.33319,3.52044,1.51238,0.25468,0.16694,0.06492,0.03975,1.53502,5.77215,1.9165,0.0677333,0.000325926,0.000325926
2,77.2929,1.27421,2.21456,1.42563,0.39827,0.19759,0.12511,0.07602,1.40084,3.72606,1.82819,0.0347268,0.000652733,0.000652733
3,109.05,1.23957,1.9044,1.41258,0.47475,0.15837,0.12758,0.07123,1.50543,3.85782,1.91851,0.00171368,0.000972939,0.000972939
4,139.523,1.24431,1.90805,1.41035,0.40374,0.24452,0.09728,0.0519,1.44892,4.30572,1.76199,0.0009703,0.0009703,0.0009703
5,170.004,1.24266,1.8275,1.41144,0.59468,0.22101,0.20716,0.12722,1.39286,3.23098,1.66361,0.0009604,0.0009604,0.0009604
6,201.888,1.23428,1.76641,1.40903,0.63702,0.25189,0.20285,0.12346,1.30855,3.04517,1.57494,0.0009505,0.0009505,0.0009505
7,231.406,1.20587,1.63491,1.36566,0.50823,0.31628,0.26991,0.15831,1.22889,2.88543,1.52574,0.0009406,0.0009406,0.0009406
8,262.542,1.1617,1.61429,1.35258,0.45022,0.3161,0.35119,0.21502,1.20888,2.30675,1.53495,0.0009307,0.0009307,0.0009307
9,293.008,1.15925,1.4875,1.35293,0.54355,0.43088,0.40572,0.24035,1.15938,1.51016,1.42815,0.0009208,0.0009208,0.0009208
10,323.344,1.16295,1.48682,1.34856,0.58367,0.37176,0.3768,0.24617,1.15845,1.79854,1.44098,0.0009109,0.0009109,0.0009109
11,353.926,1.14081,1.39668,1.33155,0.64424,0.46528,0.49223,0.31847,1.10724,1.51542,1.40926,0.000901,0.000901,0.000901
12,384.525,1.1167,1.34932,1.31128,0.32789,0.52133,0.38726,0.25037,1.16855,1.84061,1.4395,0.0008911,0.0008911,0.0008911
13,414.774,1.11576,1.3452,1.31094,0.49154,0.49465,0.52608,0.34124,1.10359,1.4663,1.428,0.0008812,0.0008812,0.0008812
14,445.312,1.10697,1.29797,1.30324,0.43655,0.44303,0.35845,0.23116,1.14861,1.92429,1.43822,0.0008713,0.0008713,0.0008713
15,475.442,1.09716,1.27389,1.28876,0.55554,0.51621,0.54085,0.35237,1.06004,1.42112,1.3442,0.0008614,0.0008614,0.0008614
16,505.421,1.07737,1.23936,1.28592,0.63608,0.43228,0.53685,0.34178,1.09098,1.61923,1.38761,0.0008515,0.0008515,0.0008515
17,535.816,1.07271,1.24208,1.29178,0.52033,0.60471,0.57403,0.38359,1.09268,1.31209,1.37565,0.0008416,0.0008416,0.0008416
18,566.012,1.04778,1.17609,1.27474,0.54127,0.5826,0.56342,0.3483,1.11328,1.35333,1.41214,0.0008317,0.0008317,0.0008317
19,595.756,1.05482,1.19826,1.26152,0.60016,0.59096,0.66057,0.45663,1.01712,1.25614,1.30335,0.0008218,0.0008218,0.0008218
20,625.563,1.04668,1.16382,1.26807,0.54575,0.58949,0.58701,0.41256,1.01641,1.50533,1.31174,0.0008119,0.0008119,0.0008119
21,655.526,1.02408,1.12192,1.24717,0.58416,0.58098,0.60534,0.40375,1.00119,1.18656,1.29659,0.000802,0.000802,0.000802
22,685.025,1.02455,1.11869,1.25671,0.59953,0.51475,0.55972,0.36786,1.0621,1.48536,1.35016,0.0007921,0.0007921,0.0007921
23,714.959,1.0118,1.10928,1.24591,0.62198,0.62233,0.67423,0.47157,0.9673,1.02315,1.2689,0.0007822,0.0007822,0.0007822
24,745.409,1.01072,1.03705,1.24368,0.59626,0.72426,0.70911,0.49259,0.96599,1.05683,1.27136,0.0007723,0.0007723,0.0007723
25,774.991,1.00262,1.05314,1.23264,0.66509,0.54842,0.63471,0.42854,0.98626,1.107,1.30135,0.0007624,0.0007624,0.0007624
26,804.408,1.0004,1.03799,1.23057,0.56128,0.71749,0.70594,0.48081,0.98873,0.97231,1.29901,0.0007525,0.0007525,0.0007525
27,834.373,0.99668,1.03609,1.22678,0.70665,0.66298,0.67514,0.46667,0.984,0.99616,1.2763,0.0007426,0.0007426,0.0007426
28,863.852,1.00126,1.05452,1.23868,0.78358,0.53726,0.66554,0.46326,0.98747,1.03548,1.26766,0.0007327,0.0007327,0.0007327
29,893.188,0.97334,0.9979,1.22246,0.58834,0.64295,0.67097,0.47104,0.96494,1.12069,1.24887,0.0007228,0.0007228,0.0007228
30,923.091,0.97536,0.98254,1.22081,0.65823,0.64823,0.69589,0.49039,1.01691,1.11739,1.29611,0.0007129,0.0007129,0.0007129
31,953.096,0.96158,0.94959,1.20988,0.62077,0.68737,0.70216,0.50744,0.93687,1.04152,1.25874,0.000703,0.000703,0.000703
32,982.832,0.94084,0.94272,1.20543,0.71823,0.60981,0.68539,0.47249,1.00108,1.07692,1.28153,0.0006931,0.0006931,0.0006931
33,1015.52,0.95756,0.956,1.21238,0.6408,0.62658,0.6907,0.48299,0.93483,1.17784,1.24255,0.0006832,0.0006832,0.0006832
34,1050.25,0.9375,0.93416,1.18936,0.75838,0.67517,0.76325,0.54689,0.93119,0.90661,1.24515,0.0006733,0.0006733,0.0006733
