epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9928,1.37938,4.48462,1.60068,0.48766,0.17967,0.13864,0.10025,0.97511,2.75518,1.35272,0.069037,0.00162963,0.00162963
2,65.5142,1.09357,2.26197,1.35021,0.65717,0.33876,0.35841,0.25547,0.98471,2.11843,1.28604,0.0373377,0.00326366,0.00326366
3,94.9845,1.04697,1.60734,1.28192,0.61362,0.41389,0.47686,0.33075,1.00158,1.69792,1.33461,0.00560544,0.0048647,0.0048647
4,124.747,1.05305,1.4554,1.27643,0.46324,0.47962,0.47342,0.32673,1.01581,1.73739,1.33259,0.0048515,0.0048515,0.0048515
5,154.534,1.06933,1.38627,1.27442,0.56453,0.44477,0.47107,0.30517,1.07251,2.08312,1.39896,0.004802,0.004802,0.004802
6,184.57,1.05836,1.32902,1.27803,0.58024,0.44317,0.47369,0.32554,1.05576,1.90918,1.34229,0.0047525,0.0047525,0.0047525
7,214.07,1.04543,1.1981,1.24802,0.6529,0.50123,0.57983,0.39864,1.03973,1.46158,1.3687,0.004703,0.004703,0.004703
8,243.686,1.0191,1.16312,1.2382,0.60683,0.37907,0.54494,0.35694,1.06764,1.99666,1.33854,0.0046535,0.0046535,0.0046535
9,274.455,1.01805,1.10851,1.2445,0.58501,0.58243,0.65264,0.45677,0.97566,1.23124,1.27443,0.004604,0.004604,0.004604
10,304.105,1.01304,1.0913,1.23918,0.64227,0.60709,0.62934,0.43957,1.01862,1.35315,1.32193,0.0045545,0.0045545,0.0045545
11,334.314,1.00471,1.04836,1.23817,0.64025,0.59569,0.63848,0.4318,1.00346,1.23007,1.30243,0.004505,0.004505,0.004505
12,364.397,0.98742,1.0142,1.2291,0.62495,0.67307,0.71613,0.52473,0.96405,1.03292,1.24903,0.0044555,0.0044555,0.0044555
13,394.499,0.97278,0.97556,1.22042,0.62042,0.55352,0.63383,0.44707,0.98071,1.56632,1.30844,0.004406,0.004406,0.004406
14,424.466,0.97848,0.97641,1.2166,0.59713,0.77357,0.75255,0.54942,0.95028,0.96259,1.2626,0.0043565,0.0043565,0.0043565
15,454.458,0.9557,0.93507,1.20339,0.63713,0.67888,0.72853,0.49765,1.00019,1.06011,1.32728,0.004307,0.004307,0.004307
16,484.265,0.95359,0.9353,1.20097,0.62061,0.72085,0.72088,0.5132,0.95206,1.00911,1.26453,0.0042575,0.0042575,0.0042575
17,513.666,0.94093,0.90098,1.20074,0.71564,0.69181,0.76309,0.54964,0.93557,0.98669,1.24864,0.004208,0.004208,0.004208
18,543.802,0.93295,0.90165,1.20138,0.77275,0.68878,0.80879,0.55446,0.92742,0.90461,1.25313,0.0041585,0.0041585,0.0041585
19,573.289,0.9282,0.87781,1.19079,0.70666,0.70608,0.78911,0.57436,0.9187,0.90352,1.24077,0.004109,0.004109,0.004109
20,602.695,0.9257,0.88173,1.19703,0.66433,0.74406,0.76719,0.53118,0.95408,1.01602,1.25588,0.0040595,0.0040595,0.0040595
21,632.279,0.9242,0.84337,1.17898,0.61992,0.73819,0.77334,0.55172,0.91796,0.89186,1.23634,0.00401,0.00401,0.00401
22,661.789,0.91043,0.8382,1.18147,0.66286,0.75625,0.77514,0.57031,0.89728,0.86894,1.20642,0.0039605,0.0039605,0.0039605
23,691.574,0.89245,0.81678,1.17054,0.71429,0.759,0.81548,0.59404,0.88192,0.83087,1.20827,0.003911,0.003911,0.003911
24,721.408,0.89372,0.80336,1.16952,0.70169,0.76319,0.7883,0.58216,0.90767,0.88688,1.22681,0.0038615,0.0038615,0.0038615
25,751.96,0.89567,0.79351,1.16619,0.66341,0.68152,0.74897,0.54492,0.89609,0.88734,1.21881,0.003812,0.003812,0.003812
26,781.674,0.88781,0.78911,1.15399,0.7574,0.66597,0.7381,0.54821,0.91827,0.94265,1.23836,0.0037625,0.0037625,0.0037625
27,811.289,0.88023,0.77076,1.14458,0.72648,0.66576,0.76482,0.54093,0.98381,1.0768,1.29539,0.003713,0.003713,0.003713
28,841.503,0.87929,0.78607,1.15235,0.77671,0.71626,0.80492,0.58651,0.91196,0.85407,1.2082,0.0036635,0.0036635,0.0036635
29,870.91,0.86638,0.76551,1.13968,0.77986,0.72135,0.80642,0.57685,0.91008,0.87493,1.19242,0.003614,0.003614,0.003614
30,900.418,0.8712,0.75154,1.13898,0.81204,0.69582,0.79829,0.58926,0.89688,0.8909,1.18721,0.0035645,0.0035645,0.0035645
31,929.933,0.86083,0.73151,1.13336,0.82078,0.71024,0.80736,0.61607,0.86959,0.79055,1.19989,0.003515,0.003515,0.003515
32,959.806,0.83891,0.71465,1.13346,0.83655,0.76063,0.84666,0.60585,0.90939,0.80796,1.20659,0.0034655,0.0034655,0.0034655
33,989.25,0.84812,0.71321,1.13969,0.80181,0.70035,0.79995,0.58849,0.88477,0.87054,1.18914,0.003416,0.003416,0.003416
34,1019.14,0.83844,0.70528,1.12393,0.74634,0.78751,0.83794,0.61111,0.88314,0.8159,1.19696,0.0033665,0.0033665,0.0033665
35,1049.06,0.82414,0.69015,1.12305,0.72166,0.8102,0.82442,0.6219,0.86686,0.77693,1.18512,0.003317,0.003317,0.003317
36,1078.61,0.82433,0.68454,1.12004,0.77982,0.80726,0.82394,0.58247,0.87227,0.76706,1.18895,0.0032675,0.0032675,0.0032675
37,1108,0.81778,0.67583,1.11672,0.66525,0.78848,0.78491,0.56864,0.89239,0.82593,1.20042,0.003218,0.003218,0.003218
38,1137.64,0.81948,0.66488,1.117,0.75404,0.75827,0.81126,0.60473,0.88244,0.79414,1.20774,0.0031685,0.0031685,0.0031685
39,1166.94,0.80878,0.65393,1.11226,0.75931,0.78485,0.81921,0.59963,0.8928,0.79479,1.22677,0.003119,0.003119,0.003119
40,1195.84,0.80735,0.66487,1.10424,0.76367,0.74471,0.80283,0.5916,0.87263,0.812,1.17935,0.0030695,0.0030695,0.0030695
41,1225.93,0.80189,0.64489,1.09848,0.79317,0.77404,0.81368,0.61623,0.85645,0.77191,1.17591,0.00302,0.00302,0.00302
