epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1927,1.25967,4.04145,1.52739,0.41194,0.26147,0.25081,0.17422,1.0385,2.17611,1.39692,8.24074e-05,8.24074e-05,8.24074e-05
2,70.4139,1.08779,2.19834,1.32723,0.58401,0.43504,0.43393,0.2884,1.02929,1.59763,1.36391,0.000163006,0.000163006,0.000163006
3,103.505,1.07845,1.80149,1.29623,0.47405,0.47916,0.49481,0.33463,0.99805,1.40366,1.31456,0.000240855,0.000240855,0.000240855
4,135.881,1.08239,1.56621,1.30143,0.63345,0.50201,0.57111,0.39297,0.9826,1.28611,1.24746,0.000237625,0.000237625,0.000237625
5,168.969,1.05414,1.43858,1.27062,0.57354,0.62436,0.63176,0.43239,0.99051,1.22299,1.26137,0.0002335,0.0002335,0.0002335
6,201.155,1.03322,1.3053,1.25678,0.6831,0.58629,0.64816,0.41783,0.98828,1.25874,1.28517,0.000229375,0.000229375,0.000229375
7,233.566,1.0152,1.23951,1.25546,0.59948,0.61032,0.65426,0.44024,0.96523,1.06392,1.24278,0.00022525,0.00022525,0.00022525
8,265.857,1.00517,1.22296,1.24056,0.65717,0.60137,0.65448,0.44372,0.965,1.07422,1.24384,0.000221125,0.000221125,0.000221125
9,297.986,0.99145,1.14401,1.22473,0.73367,0.69044,0.73142,0.51489,0.91716,0.92877,1.19554,0.000217,0.000217,0.000217
10,330.181,0.99775,1.07072,1.23706,0.67443,0.70038,0.73712,0.52717,0.9366,0.90787,1.21868,0.000212875,0.000212875,0.000212875
11,362.268,0.97754,1.04893,1.20831,0.66284,0.75986,0.75782,0.53296,0.9392,1.03895,1.21788,0.00020875,0.00020875,0.00020875
12,395.377,0.95537,0.97915,1.20276,0.68745,0.68653,0.72263,0.51441,0.94403,0.92065,1.22876,0.000204625,0.000204625,0.000204625
13,427.149,0.9426,0.98462,1.20195,0.73796,0.68129,0.74238,0.53436,0.91959,0.87518,1.20914,0.0002005,0.0002005,0.0002005
14,460.045,0.94503,0.97344,1.18646,0.68661,0.73425,0.78208,0.55356,0.92914,0.83825,1.20238,0.000196375,0.000196375,0.000196375
15,492.031,0.92194,0.92541,1.18564,0.77794,0.63601,0.79017,0.57568,0.91332,0.87727,1.19722,0.00019225,0.00019225,0.00019225
16,524.802,0.91964,0.91695,1.18523,0.75131,0.73747,0.77714,0.55095,0.89134,0.84412,1.18121,0.000188125,0.000188125,0.000188125
17,556.725,0.89886,0.84383,1.16905,0.68205,0.75856,0.77243,0.56431,0.88112,0.82599,1.17297,0.000184,0.000184,0.000184
18,589.518,0.89635,0.8278,1.16556,0.78374,0.78796,0.79988,0.58655,0.92527,0.78243,1.19594,0.000179875,0.000179875,0.000179875
19,621.187,0.88371,0.83868,1.16705,0.78452,0.79934,0.81513,0.60308,0.9313,0.77501,1.21042,0.00017575,0.00017575,0.00017575
