epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5154,1.25967,4.04145,1.52739,0.41194,0.26147,0.25081,0.17422,1.0385,2.17611,1.39692,8.24074e-05,8.24074e-05,8.24074e-05
2,70.0274,1.08733,2.20227,1.33098,0.60082,0.4533,0.44513,0.2975,1.01073,1.60885,1.34973,0.000160271,0.000160271,0.000160271
3,103.447,1.07762,1.7948,1.29926,0.50115,0.47455,0.51327,0.33172,1.02899,1.32314,1.32986,0.000232635,0.000232635,0.000232635
4,135.294,1.06993,1.55637,1.29118,0.59984,0.58262,0.59419,0.40841,0.98046,1.21509,1.27891,0.00022525,0.00022525,0.00022525
5,167.749,1.05209,1.42297,1.27593,0.55141,0.63014,0.64108,0.42474,1.00287,1.23512,1.28305,0.000217,0.000217,0.000217
6,199.224,1.03307,1.28551,1.25601,0.67508,0.58843,0.60746,0.42375,0.94228,1.19402,1.22991,0.00020875,0.00020875,0.00020875
7,231.589,1.00842,1.23796,1.2497,0.70056,0.67081,0.72737,0.48876,0.95095,0.97498,1.22752,0.0002005,0.0002005,0.0002005
8,263.604,0.98801,1.17257,1.22804,0.71815,0.65915,0.71104,0.50133,0.92572,0.95238,1.20335,0.00019225,0.00019225,0.00019225
9,296.457,0.97281,1.12634,1.21702,0.64463,0.67804,0.68607,0.49254,0.92172,0.99763,1.21117,0.000184,0.000184,0.000184
10,328.365,0.97321,1.04517,1.22429,0.68483,0.71015,0.76486,0.54273,0.90023,0.88262,1.16188,0.00017575,0.00017575,0.00017575
11,360.738,0.95472,1.00349,1.19931,0.72522,0.75805,0.78777,0.55997,0.91389,0.91912,1.19798,0.0001675,0.0001675,0.0001675
12,392.673,0.92997,0.94367,1.18718,0.68823,0.71156,0.73813,0.54246,0.90145,0.83189,1.18523,0.00015925,0.00015925,0.00015925
13,425.018,0.9134,0.92723,1.1783,0.64252,0.79479,0.77453,0.57075,0.86081,0.8013,1.16355,0.000151,0.000151,0.000151
14,457.455,0.90973,0.89828,1.17067,0.74881,0.72746,0.78072,0.57066,0.90247,0.78227,1.17492,0.00014275,0.00014275,0.00014275
15,490.253,0.89268,0.84981,1.15526,0.68508,0.81791,0.81318,0.58756,0.89867,0.79055,1.19148,0.0001345,0.0001345,0.0001345
16,522.187,0.88241,0.83354,1.16031,0.70111,0.7211,0.75242,0.55277,0.87966,0.74405,1.16813,0.00012625,0.00012625,0.00012625
17,554.76,0.87075,0.77268,1.14281,0.76843,0.71239,0.7905,0.58404,0.86188,0.78813,1.14031,0.000118,0.000118,0.000118
18,586.84,0.86311,0.75297,1.14279,0.84483,0.71326,0.81172,0.59833,0.88376,0.7571,1.15419,0.00010975,0.00010975,0.00010975
19,619.371,0.84715,0.76106,1.14106,0.63948,0.82239,0.79836,0.58725,0.87239,0.76158,1.14249,0.0001015,0.0001015,0.0001015
20,651.521,0.82516,0.763,1.13217,0.77205,0.76869,0.83638,0.62797,0.84148,0.7097,1.14447,9.325e-05,9.325e-05,9.325e-05
21,685.084,0.75058,0.62642,1.07354,0.75648,0.80186,0.83151,0.63141,0.84209,0.72245,1.11193,8.5e-05,8.5e-05,8.5e-05
22,716.128,0.73671,0.61482,1.08025,0.77051,0.77995,0.8517,0.65752,0.8198,0.70238,1.1173,7.675e-05,7.675e-05,7.675e-05
23,748.161,0.713,0.57977,1.06151,0.81271,0.81102,0.85961,0.63889,0.82332,0.67847,1.12276,6.85e-05,6.85e-05,6.85e-05
24,779.522,0.70158,0.53247,1.05356,0.82774,0.76138,0.83938,0.63328,0.83402,0.67908,1.13128,6.025e-05,6.025e-05,6.025e-05
25,811.004,0.68632,0.53854,1.04583,0.81287,0.79428,0.85649,0.64834,0.82872,0.68848,1.13527,5.2e-05,5.2e-05,5.2e-05
26,842.537,0.6851,0.51014,1.0459,0.75285,0.75902,0.82646,0.62997,0.81438,0.67649,1.11362,4.375e-05,4.375e-05,4.375e-05
27,874.077,0.66869,0.48173,1.03637,0.78946,0.76558,0.83347,0.63102,0.82428,0.65672,1.10952,3.55e-05,3.55e-05,3.55e-05
28,906.072,0.6523,0.4762,1.01948,0.74844,0.83799,0.8627,0.6424,0.81628,0.65685,1.1224,2.725e-05,2.725e-05,2.725e-05
29,937.018,0.64398,0.4655,1.01471,0.72163,0.81898,0.83365,0.63742,0.81402,0.65739,1.12306,1.9e-05,1.9e-05,1.9e-05
30,968.618,0.63152,0.4537,1.00561,0.84537,0.76118,0.8635,0.65061,0.8129,0.65093,1.12597,1.075e-05,1.075e-05,1.075e-05
